"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"1991-11-01","David Mackenzie","Generalista",0,1,0,1
"1992-06-01","Richard M. Stallman","Generalista",0,2,0,2
"1993-04-01","David Mackenzie","Generalista",0,2,0,2
"1995-10-01","Richard M. Stallman","Generalista",0,2,0,2
"1998-11-01","Jesse Thilo","Misto",0,2,1,3
"2000-03-01","Akim Demaille","Misto",0,2,2,4
"2000-04-01","Akim Demaille","Misto",0,2,2,4
"2000-09-01","Akim Demaille","Misto",0,2,2,4
"2000-10-01","Akim Demaille","Misto",0,2,2,4
"2000-11-01","Akim Demaille","Misto",0,2,2,4
"2000-12-01","Akim Demaille","Misto",0,2,2,4
"2001-01-01","Akim Demaille","Misto",0,2,2,4
"2001-01-01","Jesse Thilo","Misto",0,2,2,4
"2001-02-01","Akim Demaille","Misto",0,2,2,4
"2001-03-01","Akim Demaille","Misto",0,2,2,4
"2001-07-01","Akim Demaille","Misto",0,2,2,4
"2001-08-01","Akim Demaille","Misto",0,2,2,4
"2001-08-01","Pascal Bart","Generalista",0,2,4,6
"2001-08-01","Robert Anisko","Misto",0,2,4,6
"2001-09-01","Pascal Bart","Misto",0,2,4,6
"2001-10-01","Akim Demaille","Misto",0,2,4,6
"2001-10-01","Paul Eggert","Misto",0,2,5,7
"2001-11-01","Akim Demaille","Misto",0,2,5,7
"2001-12-01","Akim Demaille","Misto",0,2,5,7
"2002-01-01","Akim Demaille","Misto",0,2,5,7
"2002-02-01","Akim Demaille","Misto",0,2,5,7
"2002-03-01","Akim Demaille","Misto",0,2,5,7
"2002-04-01","Akim Demaille","Misto",0,2,5,7
"2002-05-01","Akim Demaille","Misto",0,2,5,7
"2002-06-01","Akim Demaille","Misto",0,2,5,7
"2002-07-01","Akim Demaille","Misto",0,2,5,7
"2002-08-01","Akim Demaille","Misto",0,2,5,7
"2002-08-01","Paul Eggert","Misto",0,2,5,7
"2002-09-01","Akim Demaille","Misto",0,2,5,7
"2002-10-01","Akim Demaille","Misto",0,2,5,7
"2002-10-01","Paul Eggert","Misto",0,2,5,7
"2002-11-01","Akim Demaille","Misto",0,2,5,7
"2002-11-01","Paul Eggert","Misto",0,2,5,7
"2002-12-01","Paul Eggert","Misto",0,2,5,7
"2003-01-01","Paul Eggert","Misto",0,2,5,7
"2003-02-01","Akim Demaille","Misto",0,2,5,7
"2003-02-01","Paul Eggert","Misto",0,2,5,7
"2003-03-01","Akim Demaille","Misto",0,2,5,7
"2003-03-01","Paul Eggert","Misto",0,2,5,7
"2003-04-01","Akim Demaille","Misto",0,2,5,7
"2003-05-01","Paul Eggert","Misto",0,2,5,7
"2003-06-01","Paul Eggert","Misto",0,2,5,7
"2003-08-01","Akim Demaille","Misto",0,2,5,7
"2003-10-01","Akim Demaille","Misto",0,2,5,7
"2004-03-01","Paul Eggert","Misto",0,2,5,7
"2004-04-01","Paul Eggert","Misto",0,2,5,7
"2004-05-01","Paul Eggert","Misto",0,2,5,7
"2004-08-01","Akim Demaille","Misto",0,2,5,7
"2004-09-01","Akim Demaille","Misto",0,2,5,7
"2004-10-01","Akim Demaille","Misto",0,2,5,7
"2004-10-01","Paul Eggert","Misto",0,2,5,7
"2004-11-01","Paul Eggert","Misto",0,2,5,7
"2004-12-01","Akim Demaille","Misto",0,2,5,7
"2004-12-01","Paul Eggert","Misto",0,2,5,7
"2005-01-01","Paul Eggert","Misto",0,2,5,7
"2005-03-01","Paul Eggert","Misto",0,2,5,7
"2005-05-01","Paul Eggert","Misto",0,2,5,7
"2005-07-01","Akim Demaille","Misto",0,2,5,7
"2005-07-01","Paul Eggert","Misto",0,2,5,7
"2005-09-01","Akim Demaille","Misto",0,2,5,7
"2005-09-01","Paul Eggert","Misto",0,2,5,7
"2005-10-01","Akim Demaille","Misto",0,2,5,7
"2005-10-01","Juan Manuel Guerrero","Misto",0,2,6,8
"2005-10-01","Paul Eggert","Misto",0,2,6,8
"2005-11-01","Akim Demaille","Misto",0,2,6,8
"2005-12-01","Akim Demaille","Misto",0,2,6,8
"2005-12-01","Paul Eggert","Misto",0,2,6,8
"2006-01-01","Akim Demaille","Misto",0,2,6,8
"2006-01-01","Paul Eggert","Misto",0,2,6,8
"2006-03-01","Akim Demaille","Misto",0,2,6,8
"2006-05-01","Akim Demaille","Misto",0,2,6,8
"2006-06-01","Akim Demaille","Misto",0,2,6,8
"2006-06-01","Joel E. Denny","Especialista",1,2,6,9
"2006-07-01","Akim Demaille","Misto",1,2,6,9
"2006-08-01","Paul Eggert","Misto",1,2,6,9
"2006-09-01","Paul Eggert","Misto",1,2,6,9
"2006-10-01","Joel E. Denny","Misto",0,2,7,9
"2006-10-01","Paul Eggert","Misto",0,2,7,9
"2006-11-01","Joel E. Denny","Misto",0,2,7,9
"2006-11-01","Paul Eggert","Misto",0,2,7,9
"2006-12-01","Joel E. Denny","Misto",0,2,7,9
"2007-01-01","Joel E. Denny","Misto",0,2,7,9
"2007-02-01","Joel E. Denny","Misto",0,2,7,9
"2007-03-01","Joel E. Denny","Misto",0,2,7,9
"2007-05-01","Joel E. Denny","Misto",0,2,7,9
"2007-07-01","Joel E. Denny","Misto",0,2,7,9
"2007-08-01","Joel E. Denny","Misto",0,2,7,9
"2007-08-01","Paul Eggert","Misto",0,2,7,9
"2007-09-01","Joel E. Denny","Misto",0,2,7,9
"2007-10-01","Joel E. Denny","Misto",0,2,7,9
"2007-11-01","Akim Demaille","Misto",0,2,7,9
"2008-02-01","Akim Demaille","Misto",0,2,7,9
"2008-02-01","Joel E. Denny","Misto",0,2,7,9
"2008-02-01","Juan Manuel Guerrero","Misto",0,2,7,9
"2008-07-01","Akim Demaille","Misto",0,2,7,9
"2008-08-01","Akim Demaille","Misto",0,2,7,9
"2008-09-01","Akim Demaille","Misto",0,2,7,9
"2008-10-01","Akim Demaille","Misto",0,2,7,9
"2008-11-01","Akim Demaille","Misto",0,2,7,9
"2008-12-01","Akim Demaille","Misto",0,2,7,9
"2009-02-01","Akim Demaille","Misto",0,2,7,9
"2009-04-01","Akim Demaille","Misto",0,2,7,9
"2009-04-01","Joel E. Denny","Misto",0,2,7,9
"2009-05-01","Akim Demaille","Misto",0,2,7,9
"2009-05-01","Alex Rozenman","Generalista",0,3,7,10
"2009-05-01","Joel E. Denny","Misto",0,3,7,10
"2009-06-01","Akim Demaille","Misto",0,3,7,10
"2009-07-01","Alex Rozenman","Generalista",0,3,7,10
"2009-07-01","Joel E. Denny","Misto",0,3,7,10
"2009-08-01","Akim Demaille","Misto",0,3,7,10
"2009-08-01","Joel E. Denny","Misto",0,3,7,10
"2009-09-01","Akim Demaille","Misto",0,3,7,10
"2009-09-01","Joel E. Denny","Misto",0,3,7,10
"2009-10-01","Joel E. Denny","Misto",0,3,7,10
"2009-12-01","Joel E. Denny","Misto",0,3,7,10
"2010-01-01","Joel E. Denny","Misto",0,3,7,10
"2010-04-01","Akim Demaille","Misto",0,3,7,10
"2010-06-01","Paul Eggert","Misto",0,3,7,10
"2010-09-01","Akim Demaille","Misto",0,3,7,10
"2011-01-01","Akim Demaille","Misto",0,3,7,10
"2011-01-01","Joel E. Denny","Misto",0,3,7,10
"2011-03-01","Akim Demaille","Misto",0,3,7,10
"2011-07-01","Joel E. Denny","Misto",0,3,7,10
"2012-01-01","Akim Demaille","Misto",0,3,7,10
"2012-02-01","Akim Demaille","Misto",0,3,7,10
"2012-03-01","Akim Demaille","Misto",0,3,7,10
"2012-04-01","Akim Demaille","Misto",0,3,7,10
"2012-05-01","Akim Demaille","Misto",0,3,7,10
"2012-06-01","Akim Demaille","Misto",0,3,7,10
"2012-07-01","Akim Demaille","Misto",0,3,7,10
"2012-08-01","Akim Demaille","Misto",0,3,7,10
"2012-09-01","Akim Demaille","Misto",0,3,7,10
"2012-10-01","Akim Demaille","Misto",0,3,7,10
"2012-11-01","Akim Demaille","Misto",0,3,7,10
"2012-12-01","Akim Demaille","Misto",0,3,7,10
"2013-01-01","Akim Demaille","Misto",0,3,7,10
"2013-02-01","Akim Demaille","Misto",0,3,7,10
"2013-03-01","Akim Demaille","Misto",0,3,7,10
"2013-04-01","Akim Demaille","Misto",0,3,7,10
"2013-05-01","Akim Demaille","Misto",0,3,7,10
"2013-06-01","Akim Demaille","Misto",0,3,7,10
"2013-07-01","Akim Demaille","Misto",0,3,7,10
"2013-09-01","Akim Demaille","Misto",0,3,7,10
"2013-10-01","Akim Demaille","Misto",0,3,7,10
"2013-11-01","Akim Demaille","Misto",0,3,7,10
"2013-12-01","Akim Demaille","Misto",0,3,7,10
"2014-02-01","Akim Demaille","Misto",0,3,7,10
"2014-12-01","Akim Demaille","Misto",0,3,7,10
"2015-01-01","Akim Demaille","Misto",0,3,7,10
"2015-08-01","Akim Demaille","Misto",0,3,7,10
"2018-05-01","Akim Demaille","Misto",0,3,7,10
"2018-06-01","Akim Demaille","Misto",0,3,7,10
"2018-07-01","Akim Demaille","Misto",0,3,7,10
"2018-08-01","Akim Demaille","Misto",0,3,7,10
"2018-09-01","Akim Demaille","Misto",0,3,7,10
"2018-10-01","Akim Demaille","Misto",0,3,7,10
"2018-11-01","Akim Demaille","Misto",0,3,7,10
"2018-12-01","Akim Demaille","Misto",0,3,7,10
"2019-01-01","Akim Demaille","Misto",0,3,7,10
"2019-02-01","Akim Demaille","Misto",0,3,7,10
"2019-03-01","Akim Demaille","Misto",0,3,7,10
"2019-04-01","Akim Demaille","Misto",0,3,7,10
"2019-05-01","Akim Demaille","Misto",0,3,7,10
"2019-06-01","Akim Demaille","Misto",0,3,7,10
"2019-07-01","Akim Demaille","Misto",0,3,7,10
"2019-08-01","Akim Demaille","Misto",0,3,7,10
"2019-09-01","Akim Demaille","Misto",0,3,7,10
"2019-10-01","Akim Demaille","Misto",0,3,7,10
"2019-10-01","Paul Eggert","Misto",0,3,7,10
"2019-11-01","Akim Demaille","Misto",0,3,7,10
"2019-12-01","Akim Demaille","Misto",0,3,7,10
"2020-01-01","Akim Demaille","Misto",0,3,7,10
"2020-02-01","Akim Demaille","Misto",0,3,7,10
"2020-03-01","Akim Demaille","Misto",0,3,7,10
"2020-04-01","Akim Demaille","Misto",0,3,7,10
"2020-05-01","Akim Demaille","Misto",0,3,7,10
"2020-05-01","Vincent Imbimbo","Generalista",0,4,7,11
"2020-06-01","Akim Demaille","Misto",0,4,7,11
"2020-06-01","Vincent Imbimbo","Generalista",0,4,7,11
"2020-07-01","Akim Demaille","Misto",0,4,7,11
"2020-08-01","Akim Demaille","Misto",0,4,7,11
"2020-09-01","Akim Demaille","Misto",0,4,7,11
"2020-10-01","Akim Demaille","Misto",0,4,7,11
"2020-11-01","Akim Demaille","Misto",0,4,7,11
"2020-12-01","Akim Demaille","Misto",0,4,7,11
"2021-01-01","Akim Demaille","Misto",0,4,7,11
