"Desenvolvedor","Data","Commits","Total"
"David Mackenzie","1991-11-01",1,2004
"Richard M. Stallman","1992-06-01",1,2004
"David Mackenzie","1993-04-01",2,2004
"Richard M. Stallman","1995-10-01",1,2004
"Jesse Thilo","1998-11-01",1,2004
"Akim Demaille","2000-03-01",16,2004
"Akim Demaille","2000-04-01",1,2004
"Akim Demaille","2000-09-01",6,2004
"Akim Demaille","2000-10-01",31,2004
"Akim Demaille","2000-11-01",11,2004
"Akim Demaille","2000-12-01",16,2004
"Akim Demaille","2001-01-01",5,2004
"Jesse Thilo","2001-01-01",1,2004
"Akim Demaille","2001-02-01",4,2004
"Akim Demaille","2001-03-01",3,2004
"Akim Demaille","2001-07-01",2,2004
"Akim Demaille","2001-08-01",19,2004
"Pascal Bart","2001-08-01",4,2004
"Robert Anisko","2001-08-01",4,2004
"Pascal Bart","2001-09-01",2,2004
"Akim Demaille","2001-10-01",4,2004
"Paul Eggert","2001-10-01",1,2004
"Akim Demaille","2001-11-01",66,2004
"Akim Demaille","2001-12-01",126,2004
"Akim Demaille","2002-01-01",10,2004
"Akim Demaille","2002-02-01",11,2004
"Akim Demaille","2002-03-01",24,2004
"Akim Demaille","2002-04-01",30,2004
"Akim Demaille","2002-05-01",18,2004
"Akim Demaille","2002-06-01",71,2004
"Akim Demaille","2002-07-01",30,2004
"Akim Demaille","2002-08-01",4,2004
"Paul Eggert","2002-08-01",12,2004
"Akim Demaille","2002-09-01",10,2004
"Akim Demaille","2002-10-01",20,2004
"Paul Eggert","2002-10-01",29,2004
"Akim Demaille","2002-11-01",21,2004
"Paul Eggert","2002-11-01",13,2004
"Paul Eggert","2002-12-01",11,2004
"Paul Eggert","2003-01-01",3,2004
"Akim Demaille","2003-02-01",1,2004
"Paul Eggert","2003-02-01",2,2004
"Akim Demaille","2003-03-01",4,2004
"Paul Eggert","2003-03-01",3,2004
"Akim Demaille","2003-04-01",1,2004
"Paul Eggert","2003-05-01",1,2004
"Paul Eggert","2003-06-01",9,2004
"Akim Demaille","2003-08-01",2,2004
"Akim Demaille","2003-10-01",2,2004
"Paul Eggert","2004-03-01",1,2004
"Paul Eggert","2004-04-01",4,2004
"Paul Eggert","2004-05-01",1,2004
"Akim Demaille","2004-08-01",1,2004
