desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Paul Eggert,!  (YYFPRINTF),0,1.609,1.386,0.693,1,glr.c,3,0,75.0,1.0,75.0,1.0,3,0.03125,0.08539709649871904,0.9542673571213689,1.0
Paul Hilfinger,!  (YYFPRINTF),1,1.609,0.693,1.386,1,glr.c,1,1,25.0,0.333,25.0,0.333,4,0.041666666666666664,0.1138627953316254,0.43330634757976727,0.4540722726667229
Akim Demaille,!  (YYLTYPE) && !  (YYLTYPE_IS_DECLARED),0,1.946,0.693,1.792,2,glr.c,1,0,25.0,0.5,16.667,0.25,5,0.052083333333333336,0.14232849416453175,0.48971941869192337,0.5290533620390372
Paul Eggert,!  (YYLTYPE) && !  (YYLTYPE_IS_DECLARED),1,1.946,1.609,1.099,2,glr.c,2,1,50.0,1.0,66.667,1.0,7,0.07291666666666667,0.19925989183034443,0.9256522192855633,1.0
Paul Eggert,!  (YYLTYPE) && !  (YYLTYPE_IS_DECLARED),1,1.946,1.609,1.099,2,parse-gram.c,2,1,100.0,1.0,66.667,1.0,2,0.007220216606498195,0.009704027171276079,0.9256522192855633,1.0
Paul Hilfinger,!  (YYLTYPE) && !  (YYLTYPE_IS_DECLARED),0,1.946,0.693,1.792,2,glr.c,1,0,25.0,0.5,16.667,0.25,8,0.08333333333333333,0.2277255906632508,0.48971941869192337,0.5290533620390372
Akim Demaille,!  (YYSIZE_T),1,1.792,0.693,1.609,2,parse-gram.c,1,1,33.333,0.5,20.0,0.25,3,0.010830324909747292,0.01455604075691412,0.5093463342807926,0.5254782332429396
Paul Eggert,!  (YYSIZE_T),0,1.792,1.609,0.693,2,yacc.c,2,1,100.0,1.0,80.0,1.0,2,0.0125,0.025743338911056766,0.9693005381734072,1.0
Paul Eggert,!  (YYSIZE_T),0,1.792,1.609,0.693,2,parse-gram.c,2,0,66.667,1.0,80.0,1.0,5,0.018050541516245487,0.024260067928190198,0.9693005381734072,1.0
Akim Demaille,!  (YYSIZE_T) &&  (__SIZE_TYPE__),1,1.792,0.693,1.609,2,parse-gram.c,1,1,33.333,0.5,20.0,0.25,6,0.021660649819494584,0.02911208151382824,0.5093463342807926,0.5254782332429396
Paul Eggert,!  (YYSIZE_T) &&  (__SIZE_TYPE__),0,1.792,1.609,0.693,2,yacc.c,2,1,100.0,1.0,80.0,1.0,4,0.025,0.05148667782211353,0.9693005381734072,1.0
Paul Eggert,!  (YYSIZE_T) &&  (__SIZE_TYPE__),0,1.792,1.609,0.693,2,parse-gram.c,2,0,66.667,1.0,80.0,1.0,8,0.02888086642599278,0.038816108685104316,0.9693005381734072,1.0
Akim Demaille,!  (YYSIZE_T) &&  (size_t),1,1.792,0.693,1.609,2,parse-gram.c,1,1,33.333,0.5,20.0,0.25,9,0.032490974729241874,0.043668122270742356,0.5093463342807926,0.5254782332429396
Paul Eggert,!  (YYSIZE_T) &&  (size_t),0,1.792,1.609,0.693,2,yacc.c,2,1,100.0,1.0,80.0,1.0,6,0.0375,0.07723001673317029,0.9693005381734072,1.0
Paul Eggert,!  (YYSIZE_T) &&  (size_t),0,1.792,1.609,0.693,2,parse-gram.c,2,0,66.667,1.0,80.0,1.0,11,0.039711191335740074,0.053372149442018436,0.9693005381734072,1.0
Paul Eggert,!  (YYSIZE_T) && ( (__STDC__) ||  (__cplusplus)),1,1.609,1.609,0.0,2,yacc.c,2,1,100.0,1.0,100.0,1.0,8,0.05,0.10297335564422706,1.0439178321606852,1.0
Paul Eggert,!  (YYSIZE_T) && ( (__STDC__) ||  (__cplusplus)),1,1.609,1.609,0.0,2,parse-gram.c,2,1,100.0,1.0,100.0,1.0,13,0.04693140794223827,0.06307617661329452,1.0439178321606852,1.0
Paul Eggert,!  (YYSTACKEXPANDABLE) \,0,1.099,0.693,0.693,1,glr.c,1,0,50.0,1.0,50.0,1.0,9,0.09375,0.2561912894961571,0.9075700315670454,1.0
Paul Hilfinger,!  (YYSTACKEXPANDABLE) \,1,1.099,0.693,0.693,1,glr.c,1,1,50.0,1.0,50.0,1.0,10,0.10416666666666667,0.2846569883290635,0.9075700315670454,1.0
Akim Demaille,!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED),0,2.079,0.693,1.946,3,glr.c,1,0,33.333,0.5,14.286,0.167,11,0.11458333333333333,0.31312268716196984,0.473125098008519,0.4769556851979077
Paul Eggert,!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED),1,2.079,1.946,0.693,3,glr.c,2,1,66.667,1.0,85.714,1.0,13,0.13541666666666666,0.3700540848277825,0.9919686727545783,1.0
Paul Eggert,!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED),1,2.079,1.946,0.693,3,yacc.c,2,1,100.0,1.0,85.714,1.0,10,0.0625,0.1287166945552838,0.9919686727545783,1.0
Paul Eggert,!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED),1,2.079,1.946,0.693,3,parse-gram.c,2,1,100.0,1.0,85.714,1.0,15,0.05415162454873646,0.07278020378457059,0.9919686727545783,1.0
Akim Demaille,!  (__GNUC__),1,1.099,0.693,0.693,1,glr.c,1,1,50.0,1.0,50.0,1.0,14,0.14583333333333334,0.39851978366068885,0.9075700315670454,1.0
Paul Eggert,!  (__GNUC__),0,1.099,0.693,0.693,1,glr.c,1,0,50.0,1.0,50.0,1.0,15,0.15625,0.4269854824935952,0.9075700315670454,1.0
Paul Eggert,!  (__cplusplus),0,1.099,0.693,0.693,1,glr.c,1,0,50.0,1.0,50.0,1.0,16,0.16666666666666666,0.4554511813265016,0.9075700315670454,1.0
Paul Hilfinger,!  (__cplusplus),1,1.099,0.693,0.693,1,glr.c,1,1,50.0,1.0,50.0,1.0,17,0.17708333333333334,0.4839168801594079,0.9075700315670454,1.0
Akim Demaille,!  (yy__GNUC__),0,1.099,0.693,0.693,1,glr.c,1,0,50.0,1.0,50.0,1.0,18,0.1875,0.5123825789923142,0.9075700315670454,1.0
Paul Hilfinger,!  (yy__GNUC__),1,1.099,0.693,0.693,1,glr.c,1,1,50.0,1.0,50.0,1.0,19,0.19791666666666666,0.5408482778252206,0.9075700315670454,1.0
Akim Demaille,!  (yyoverflow) ||  (YYERROR_VERBOSE),1,1.609,1.609,0.0,1,parse-gram.c,4,1,100.0,1.0,100.0,1.0,19,0.06859205776173286,0.09218825812712275,1.0439178321606852,1.0
Akim Demaille,!  (yyoverflow) || YYERROR_VERBOSE,1,2.303,1.792,1.609,2,parse-gram.c,5,1,71.429,1.0,55.556,1.0,24,0.08664259927797834,0.11644832605531295,0.8829448441683632,1.0
Paul Eggert,!  (yyoverflow) || YYERROR_VERBOSE,0,2.303,1.609,1.792,2,yacc.c,2,1,100.0,1.0,44.444,0.8,12,0.075,0.15446003346634057,0.8510349252982852,0.9638596690599246
Paul Eggert,!  (yyoverflow) || YYERROR_VERBOSE,0,2.303,1.609,1.792,2,parse-gram.c,2,0,28.571,0.4,44.444,0.8,26,0.09386281588447654,0.12615235322658905,0.49153292529828524,0.5566972031659069
Akim Demaille,!  GRAM_LTYPE && !  GRAM_LTYPE_IS_DECLARED,1,1.386,1.386,0.0,1,parse-gram.c,3,1,100.0,1.0,100.0,1.0,29,0.10469314079422383,0.14070839398350315,1.028884651108647,1.0
Akim Demaille,!  GRAM_STYPE && !  GRAM_STYPE_IS_DECLARED,1,1.386,1.386,0.0,1,parse-gram.c,3,1,100.0,1.0,100.0,1.0,32,0.11552346570397112,0.15526443474041726,1.028884651108647,1.0
Joel E. Denny,!  SIGCHLD &&  SIGCLD,0,1.386,1.099,0.693,1,subpipe.c,2,0,66.667,1.0,66.667,1.0,2,0.05263157894736842,0.3853564547206166,0.9348862159002924,1.0
Paul Eggert,!  SIGCHLD &&  SIGCLD,1,1.386,0.693,1.099,1,subpipe.c,1,1,33.333,0.5,33.333,0.5,3,0.07894736842105263,0.5780346820809249,0.5643367126792015,0.6036421364237862
Akim Demaille,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,0,2.639,2.197,1.792,4,glr.c,1,0,50.0,1.0,61.538,1.0,20,0.20833333333333334,0.569313976658127,0.890634112912741,1.0
Akim Demaille,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,0,2.639,2.197,1.792,4,yacc.c,1,0,50.0,1.0,61.538,1.0,13,0.08125,0.16733170292186897,0.890634112912741,1.0
Akim Demaille,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,0,2.639,2.197,1.792,4,parse-gram.c,6,0,85.714,1.0,61.538,1.0,38,0.1371841155234657,0.1843765162542455,0.890634112912741,1.0
Joel E. Denny,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,0,2.639,1.386,2.398,4,push.c,2,1,100.0,1.0,23.077,0.375,2,0.03389830508474576,0.13063357282821686,0.7707512249919024,0.8653960294325892
Joel E. Denny,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,0,2.639,1.386,2.398,4,yacc.c,1,1,50.0,1.0,23.077,0.375,14,0.0875,0.18020337237739734,0.7707512249919024,0.8653960294325892
Paul Eggert,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,1,2.639,1.099,2.485,4,glr.c,1,1,50.0,1.0,15.385,0.25,21,0.21875,0.5977796754910333,0.7420033090378924,0.8331179979298519
Paul Eggert,!  YYLTYPE && !  YYLTYPE_IS_DECLARED,1,2.639,1.099,2.485,4,parse-gram.c,1,1,14.286,0.167,15.385,0.25,39,0.1407942238267148,0.18922852983988356,0.24289469903789232,0.27272108211028034
Akim Demaille,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,0,2.708,2.079,2.079,4,yacc.c,1,0,33.333,1.0,50.0,1.0,15,0.09375,0.19307504183292573,0.8517300947011363,1.0
Akim Demaille,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,0,2.708,2.079,2.079,4,parse-gram.c,6,0,85.714,1.0,50.0,1.0,45,0.1624548736462094,0.2183406113537118,0.8517300947011363,1.0
Joel E. Denny,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,0,2.708,1.386,2.485,4,glr.c,1,0,50.0,1.0,21.429,0.429,22,0.22916666666666666,0.6262453743239397,0.7613844502589688,0.8939269082961442
Joel E. Denny,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,0,2.708,1.386,2.485,4,yacc.c,1,0,33.333,1.0,21.429,0.429,16,0.1,0.20594671128845413,0.7613844502589688,0.8939269082961442
