"Desenvolvedor","Data","Commits","Total"
"Alobbs","2006-04-01",19,1845
"Alobbs","2006-05-01",2,1845
"Alobbs","2006-06-01",17,1845
"Alobbs","2006-07-01",3,1845
"Alobbs","2006-08-01",28,1845
"Alobbs","2006-09-01",25,1845
"Alobbs","2006-10-01",12,1845
"Alobbs","2006-11-01",29,1845
"Alobbs","2006-12-01",47,1845
"Alobbs","2007-01-01",43,1845
"Alobbs","2007-02-01",18,1845
"Alobbs","2007-03-01",11,1845
"Alobbs","2007-04-01",13,1845
"Alobbs","2007-05-01",7,1845
"Adf","2007-06-01",2,1845
"Alobbs","2007-06-01",7,1845
"Adf","2007-07-01",8,1845
"Alobbs","2007-07-01",35,1845
"Alobbs","2007-08-01",13,1845
"Alobbs","2007-09-01",17,1845
"Alobbs","2007-10-01",6,1845
"Alobbs","2007-11-01",1,1845
"Adf","2007-12-01",1,1845
"Alobbs","2007-12-01",5,1845
"Alobbs","2008-01-01",6,1845
"Alobbs","2008-02-01",13,1845
"Alobbs","2008-03-01",22,1845
"Alobbs","2008-04-01",12,1845
"Adf","2008-05-01",1,1845
"Alobbs","2008-05-01",26,1845
"Alobbs","2008-06-01",43,1845
"Alobbs","2008-07-01",45,1845
"Alobbs","2008-08-01",73,1845
"Alobbs","2008-09-01",67,1845
"Alobbs","2008-10-01",62,1845
"Alobbs","2008-11-01",86,1845
"Alobbs","2008-12-01",31,1845
"Alobbs","2009-01-01",45,1845
"Skarcha","2009-01-01",1,1845
"Alobbs","2009-02-01",42,1845
"Alobbs","2009-03-01",64,1845
"Alobbs","2009-04-01",64,1845
"Alobbs","2009-05-01",33,1845
"Alobbs","2009-06-01",32,1845
"Alobbs","2009-07-01",43,1845
"Alobbs","2009-08-01",31,1845
"Alobbs","2009-09-01",7,1845
"Roberto De Ioris","2009-09-01",1,1845
"Taher","2009-09-01",1,1845
"Alobbs","2009-10-01",14,1845
"Alobbs","2009-11-01",51,1845
"Alobbs","2009-12-01",28,1845
"Roberto De Ioris","2009-12-01",1,1845
"Taher","2009-12-01",1,1845
"Alobbs","2010-01-01",25,1845
"Roberto De Ioris","2010-01-01",1,1845
"Skarcha","2010-01-01",3,1845
"Alobbs","2010-02-01",6,1845
"Skarcha","2010-02-01",1,1845
"Alobbs","2010-03-01",7,1845
"Alobbs","2010-04-01",8,1845
"Alobbs","2010-05-01",19,1845
"Alobbs","2010-06-01",21,1845
"Alobbs","2010-07-01",34,1845
"Alobbs","2010-08-01",25,1845
"Alobbs","2010-09-01",23,1845
"Alobbs","2010-10-01",6,1845
"Alobbs","2010-11-01",23,1845
"Skarcha","2010-11-01",2,1845
"Alobbs","2010-12-01",57,1845
"Alobbs","2011-01-01",45,1845
"Alobbs","2011-02-01",18,1845
"Alobbs","2011-03-01",3,1845
"Alobbs","2011-04-01",12,1845
"Alobbs","2011-05-01",99,1845
"Alobbs","2011-06-01",13,1845
"Alobbs","2011-07-01",2,1845
"Alobbs","2011-08-01",3,1845
"Skinkie","2011-08-01",3,1845
"Alobbs","2011-09-01",18,1845
"Alobbs","2011-10-01",19,1845
"Alobbs","2012-01-01",1,1845
"Borkason","2012-12-01",1,1845
"Skinkie","2013-01-01",6,1845
"Alobbs","2013-03-01",1,1845
"Alobbs","2013-07-01",1,1845
"Skinkie","2013-12-01",1,1845
"Skinkie","2014-01-01",12,1845
"Daniel Silverstone","2014-02-01",2,1845
"Skinkie","2014-09-01",5,1845
"Skinkie","2017-05-01",3,1845
"Skinkie","2019-11-01",1,1845
