desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Alobbs,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.099,1.099,0.0,2,getopt.c,1,1,100.0,1.0,100.0,1.0,1,0.07142857142857142,0.9900990099009901,1.0095035098875704,1.0
Alobbs,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.099,1.099,0.0,2,getopt1.c,1,1,100.0,1.0,100.0,1.0,1,0.125,3.225806451612903,1.0095035098875704,1.0
Alobbs,!(CHEROKEE_EMBEDDED),1,1.099,1.099,0.0,1,win32_misc.c,2,1,100.0,1.0,100.0,1.0,2,0.125,2.7777777777777777,1.0095035098875704,1.0
Alobbs,!(HAVE_CRYPT_R) && (HAVE_PTHREAD),1,0.693,0.693,0.0,1,validator_htpasswd.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Alobbs,!(HAVE_PTHREAD) || ((HAVE_PTHREAD) && !(HAVE_GETHOSTBYNAME_R)),1,1.099,1.099,0.0,1,util.c,2,1,100.0,1.0,100.0,1.0,2,0.014285714285714285,0.033681374200067365,1.0095035098875704,1.0
Sylvain Munaut,!(OPENSSL_NO_EC) && OPENSSL_VERSION_NUMBER >= 0x0090800L && OPENSSL_VERSION_NUMBER < 0x10002000L,1,0.693,0.693,0.0,1,cryptor_libssl.c,1,1,100.0,1.0,100.0,1.0,1,0.05263157894736842,0.5555555555555556,0.9821873255543234,1.0
Alan Swanson,!(OPENSSL_NO_EC) && OPENSSL_VERSION_NUMBER >= 0x10000000L && OPENSSL_VERSION_NUMBER < 0x10002000L,1,1.099,0.693,0.693,1,cryptor_libssl.c,1,1,50.0,1.0,50.0,1.0,2,0.10526315789473684,1.1111111111111112,0.9075700315670454,1.0
Sylvain Munaut,!(OPENSSL_NO_EC) && OPENSSL_VERSION_NUMBER >= 0x10000000L && OPENSSL_VERSION_NUMBER < 0x10002000L,0,1.099,0.693,0.693,1,cryptor_libssl.c,1,0,50.0,1.0,50.0,1.0,3,0.15789473684210525,1.6666666666666667,0.9075700315670454,1.0
Alan Swanson,!(OPENSSL_NO_EC) && OPENSSL_VERSION_NUMBER >= 0x10002000L,1,0.693,0.693,0.0,1,cryptor_libssl.c,1,1,100.0,1.0,100.0,1.0,4,0.21052631578947367,2.2222222222222223,0.9821873255543234,1.0
Alobbs,!(TCP_CORK) && (TCP_NOPUSH),1,1.099,1.099,0.0,1,socket.c,2,1,100.0,1.0,100.0,1.0,2,0.02040816326530612,0.07707129094412331,1.0095035098875704,1.0
Alobbs,!(WORDS_BIGENDIAN) || (_CRAY),1,0.693,0.693,0.0,1,sha512.c,1,1,100.0,1.0,100.0,1.0,1,1.0,100.0,0.9821873255543234,1.0
Alobbs,!defined (_WIN32) /* every other system but Windows */,1,1.099,0.693,0.693,1,ncpus.c,1,1,50.0,1.0,50.0,1.0,1,0.125,2.7777777777777777,0.9075700315670454,1.0
Borkason,!defined (_WIN32) /* every other system but Windows */,0,1.099,0.693,0.693,1,ncpus.c,1,0,50.0,1.0,50.0,1.0,2,0.25,5.555555555555555,0.9075700315670454,1.0
Sylvain Munaut,!defined(OPENSSL_NO_EC) && OPENSSL_VERSION_NUMBER >= 0x0090800L,1,0.693,0.693,0.0,1,cryptor_libssl.c,1,1,100.0,1.0,100.0,1.0,5,0.2631578947368421,2.7777777777777777,0.9821873255543234,1.0
