"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2005-12-01","Niki","Generalista",0,1,0,1
"2005-12-01","Octo","Misto",0,2,1,3
"2005-12-01","Tokkee","Generalista",0,2,1,3
"2006-01-01","Octo","Misto",0,2,1,3
"2006-02-01","Octo","Misto",0,2,1,3
"2006-03-01","Octo","Misto",0,2,1,3
"2006-04-01","Octo","Misto",0,2,1,3
"2006-05-01","Octo","Misto",0,2,1,3
"2006-06-01","Florian Forster","Misto",0,2,2,4
"2006-06-01","Octo","Misto",0,2,2,4
"2006-07-01","Florian Forster","Misto",0,2,2,4
"2006-09-01","Florian Forster","Misto",0,2,2,4
"2006-10-01","Florian Forster","Misto",0,2,2,4
"2006-11-01","Florian Forster","Misto",0,2,2,4
"2006-11-01","Lubos Stanek","Generalista",0,3,3,6
"2006-11-01","Sebastian Harl","Misto",0,3,3,6
"2006-12-01","Florian Forster","Misto",0,3,3,6
"2006-12-01","Sebastian Harl","Misto",0,3,3,6
"2007-01-01","Florian Forster","Misto",0,3,3,6
"2007-02-01","Florian Forster","Misto",0,3,3,6
"2007-03-01","Florian Forster","Misto",0,3,3,6
"2007-03-01","Sebastian Harl","Misto",0,3,4,7
"2007-03-01","Sjoerd Van Der Berg","Misto",0,3,4,7
"2007-04-01","Florian Forster","Misto",0,3,4,7
"2007-04-01","Sebastian Harl","Misto",0,3,4,7
"2007-05-01","Florian Forster","Misto",0,3,4,7
"2007-05-01","Sebastian Harl","Misto",0,3,4,7
"2007-06-01","Florian Forster","Misto",0,3,4,7
"2007-06-01","Sebastian Harl","Misto",0,3,4,7
"2007-07-01","Florian Forster","Misto",0,3,4,7
"2007-08-01","Florian Forster","Misto",0,3,4,7
"2007-08-01","Sebastian Harl","Misto",0,3,4,7
"2007-09-01","Florian Forster","Misto",0,3,4,7
"2007-09-01","Sebastian Harl","Misto",0,3,4,7
"2007-10-01","Florian Forster","Misto",0,3,4,7
"2007-10-01","Sebastian Harl","Misto",0,3,4,7
"2007-11-01","Florian Forster","Misto",0,3,4,7
"2007-11-01","Richard Jones","Generalista",0,4,4,8
"2007-11-01","Sebastian Harl","Misto",0,4,4,8
"2007-12-01","Florian Forster","Misto",0,4,4,8
"2007-12-01","Luke Heberling","Generalista",0,5,4,9
"2008-01-01","Florian Forster","Misto",0,5,4,9
"2008-01-01","Richard Jones","Generalista",0,5,4,9
"2008-01-01","Sebastian Harl","Misto",0,5,4,9
"2008-02-01","Florian Forster","Misto",0,5,4,9
"2008-02-01","Luke Heberling","Generalista",0,5,4,9
"2008-02-01","Sebastian Harl","Misto",0,5,4,9
"2008-03-01","Florian Forster","Misto",0,5,4,9
"2008-03-01","Sebastian Harl","Misto",0,5,4,9
"2008-04-01","Florian Forster","Misto",0,5,4,9
"2008-04-01","Sebastian Harl","Misto",0,6,4,10
"2008-04-01","Stefan Hacker","Generalista",0,6,4,10
"2008-05-01","Florian Forster","Misto",0,6,4,10
"2008-05-01","Sebastian Harl","Misto",0,6,4,10
"2008-06-01","Florian Forster","Misto",0,6,4,10
"2008-06-01","Michal Miroslaw","Generalista",0,9,4,13
"2008-06-01","Oleg King","Generalista",0,9,4,13
"2008-06-01","Sebastian Harl","Misto",0,9,4,13
"2008-07-01","Alessandro Iurlano","Generalista",0,9,4,13
"2008-07-01","Florian Forster","Misto",0,9,4,13
"2008-07-01","Sebastian Harl","Misto",0,9,4,13
"2008-08-01","Florian Forster","Misto",0,9,4,13
"2008-08-01","Sebastian Harl","Misto",0,9,4,13
"2008-09-01","Florian Forster","Misto",0,9,4,13
"2008-09-01","Sebastian Harl","Misto",0,9,4,13
"2008-10-01","Florian Forster","Misto",0,9,4,13
"2008-10-01","Sebastian Harl","Misto",0,9,4,13
"2008-11-01","Florian Forster","Misto",0,9,4,13
"2008-12-01","Florian Forster","Misto",0,9,4,13
"2008-12-01","Sebastian Harl","Misto",0,9,4,13
"2009-01-01","Florian Forster","Misto",0,9,4,13
"2009-01-01","Sebastian Harl","Misto",0,9,4,13
"2009-02-01","Florian Forster","Misto",0,9,4,13
"2009-02-01","Sebastian Harl","Misto",0,10,4,14
"2009-03-01","Bruno Premont","Generalista",0,10,4,14
"2009-03-01","Eric Reed","Generalista",0,13,5,18
"2009-03-01","Florian Forster","Misto",0,13,5,18
"2009-03-01","Marco Chiappero","Misto",0,13,5,18
"2009-03-01","Sebastian Harl","Misto",0,13,5,18
"2009-03-01","Tomasz Pala","Generalista",0,13,5,18
"2009-04-01","Edward Koko Konetzko","Generalista",0,13,5,18
"2009-04-01","Florian Forster","Misto",0,14,5,19
"2009-04-01","Marco Chiappero","Misto",0,14,5,19
"2009-05-01","Doug Maceachern","Generalista",0,14,5,19
"2009-05-01","Florian Forster","Misto",0,14,5,19
"2009-05-01","Sebastian Harl","Misto",0,14,5,19
"2009-06-01","Florian Forster","Misto",0,14,5,19
"2009-06-01","Paul Sadauskas","Generalista",0,16,5,21
"2009-07-01","Anthony Dewhurst","Generalista",0,16,5,21
