"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Niki","2005-12-01","Major",1,0,1,100,0
"Octo","2005-12-01","Major",3,0,3,100,0
"Tokkee","2005-12-01","Major",3,0,3,100,0
"Octo","2006-01-01","Major",3,0,3,100,0
"Octo","2006-02-01","Major",3,0,3,100,0
"Octo","2006-03-01","Major",3,0,3,100,0
"Octo","2006-04-01","Major",3,0,3,100,0
"Octo","2006-05-01","Major",3,0,3,100,0
"Florian Forster","2006-06-01","Major",4,0,4,100,0
"Octo","2006-06-01","Major",4,0,4,100,0
"Florian Forster","2006-07-01","Major",4,0,4,100,0
"Florian Forster","2006-09-01","Major",4,0,4,100,0
"Florian Forster","2006-10-01","Major",4,0,4,100,0
"Florian Forster","2006-11-01","Major",4,0,4,100,0
"Lubos Stanek","2006-11-01","Major",6,0,6,100,0
"Sebastian Harl","2006-11-01","Major",6,0,6,100,0
"Florian Forster","2006-12-01","Major",6,0,6,100,0
"Sebastian Harl","2006-12-01","Major",6,0,6,100,0
"Florian Forster","2007-01-01","Major",6,0,6,100,0
"Florian Forster","2007-02-01","Major",6,0,6,100,0
"Florian Forster","2007-03-01","Major",6,0,6,100,0
"Sebastian Harl","2007-03-01","Major",7,0,7,100,0
"Sjoerd Van Der Berg","2007-03-01","Major",7,0,7,100,0
"Florian Forster","2007-04-01","Major",7,0,7,100,0
"Sebastian Harl","2007-04-01","Major",7,0,7,100,0
"Florian Forster","2007-05-01","Major",7,0,7,100,0
"Sebastian Harl","2007-05-01","Major",7,0,7,100,0
"Florian Forster","2007-06-01","Major",7,0,7,100,0
"Sebastian Harl","2007-06-01","Major",7,0,7,100,0
"Florian Forster","2007-07-01","Major",7,0,7,100,0
"Florian Forster","2007-08-01","Major",7,0,7,100,0
"Sebastian Harl","2007-08-01","Major",7,0,7,100,0
"Florian Forster","2007-09-01","Major",7,0,7,100,0
"Sebastian Harl","2007-09-01","Major",7,0,7,100,0
"Florian Forster","2007-10-01","Major",7,0,7,100,0
"Sebastian Harl","2007-10-01","Major",7,0,7,100,0
"Florian Forster","2007-11-01","Major",7,0,7,100,0
"Richard Jones","2007-11-01","Major",8,0,8,100,0
"Sebastian Harl","2007-11-01","Major",8,0,8,100,0
"Florian Forster","2007-12-01","Major",8,0,8,100,0
"Luke Heberling","2007-12-01","Major",9,0,9,100,0
"Florian Forster","2008-01-01","Major",9,0,9,100,0
"Richard Jones","2008-01-01","Major",9,0,9,100,0
"Sebastian Harl","2008-01-01","Major",9,0,9,100,0
"Florian Forster","2008-02-01","Major",9,0,9,100,0
"Luke Heberling","2008-02-01","Major",9,0,9,100,0
"Sebastian Harl","2008-02-01","Major",9,0,9,100,0
"Florian Forster","2008-03-01","Major",9,0,9,100,0
"Sebastian Harl","2008-03-01","Major",9,0,9,100,0
"Florian Forster","2008-04-01","Major",9,0,9,100,0
"Sebastian Harl","2008-04-01","Major",10,0,10,100,0
"Stefan Hacker","2008-04-01","Major",10,0,10,100,0
"Florian Forster","2008-05-01","Major",10,0,10,100,0
