"Desenvolvedor","Data","Commits","Total"
"Niki","2005-12-01",2,3922
"Octo","2005-12-01",29,3922
"Tokkee","2005-12-01",2,3922
"Octo","2006-01-01",13,3922
"Octo","2006-02-01",5,3922
"Octo","2006-03-01",12,3922
"Octo","2006-04-01",29,3922
"Octo","2006-05-01",8,3922
"Florian Forster","2006-06-01",11,3922
"Octo","2006-06-01",4,3922
"Florian Forster","2006-07-01",15,3922
"Florian Forster","2006-09-01",1,3922
"Florian Forster","2006-10-01",16,3922
"Florian Forster","2006-11-01",18,3922
"Lubos Stanek","2006-11-01",2,3922
"Sebastian Harl","2006-11-01",4,3922
"Florian Forster","2006-12-01",20,3922
"Sebastian Harl","2006-12-01",13,3922
"Florian Forster","2007-01-01",56,3922
"Florian Forster","2007-02-01",41,3922
"Florian Forster","2007-03-01",43,3922
"Sebastian Harl","2007-03-01",1,3922
"Sjoerd Van Der Berg","2007-03-01",1,3922
"Florian Forster","2007-04-01",22,3922
"Sebastian Harl","2007-04-01",6,3922
"Florian Forster","2007-05-01",40,3922
"Sebastian Harl","2007-05-01",3,3922
"Florian Forster","2007-06-01",20,3922
"Sebastian Harl","2007-06-01",1,3922
"Florian Forster","2007-07-01",8,3922
"Florian Forster","2007-08-01",10,3922
"Sebastian Harl","2007-08-01",1,3922
"Florian Forster","2007-09-01",24,3922
"Sebastian Harl","2007-09-01",2,3922
"Florian Forster","2007-10-01",32,3922
"Sebastian Harl","2007-10-01",17,3922
"Florian Forster","2007-11-01",15,3922
"Richard Jones","2007-11-01",2,3922
"Sebastian Harl","2007-11-01",15,3922
"Florian Forster","2007-12-01",20,3922
"Luke Heberling","2007-12-01",2,3922
"Florian Forster","2008-01-01",15,3922
"Richard Jones","2008-01-01",1,3922
"Sebastian Harl","2008-01-01",6,3922
"Florian Forster","2008-02-01",37,3922
"Luke Heberling","2008-02-01",2,3922
"Sebastian Harl","2008-02-01",4,3922
"Florian Forster","2008-03-01",25,3922
"Sebastian Harl","2008-03-01",10,3922
"Florian Forster","2008-04-01",29,3922
"Sebastian Harl","2008-04-01",6,3922
"Stefan Hacker","2008-04-01",1,3922
"Florian Forster","2008-05-01",24,3922
"Sebastian Harl","2008-05-01",6,3922
"Florian Forster","2008-06-01",26,3922
"Michal Miroslaw","2008-06-01",3,3922
"Oleg King","2008-06-01",1,3922
"Sebastian Harl","2008-06-01",3,3922
"Alessandro Iurlano","2008-07-01",1,3922
"Florian Forster","2008-07-01",17,3922
"Sebastian Harl","2008-07-01",9,3922
"Florian Forster","2008-08-01",36,3922
"Sebastian Harl","2008-08-01",14,3922
"Florian Forster","2008-09-01",7,3922
"Sebastian Harl","2008-09-01",2,3922
"Florian Forster","2008-10-01",18,3922
"Sebastian Harl","2008-10-01",7,3922
"Florian Forster","2008-11-01",30,3922
"Florian Forster","2008-12-01",13,3922
"Sebastian Harl","2008-12-01",2,3922
"Florian Forster","2009-01-01",17,3922
"Sebastian Harl","2009-01-01",1,3922
"Florian Forster","2009-02-01",80,3922
"Sebastian Harl","2009-02-01",26,3922
"Bruno Premont","2009-03-01",1,3922
"Eric Reed","2009-03-01",3,3922
"Florian Forster","2009-03-01",36,3922
"Marco Chiappero","2009-03-01",1,3922
"Sebastian Harl","2009-03-01",2,3922
"Tomasz Pala","2009-03-01",1,3922
"Edward Koko Konetzko","2009-04-01",1,3922
"Florian Forster","2009-04-01",46,3922
"Marco Chiappero","2009-04-01",1,3922
"Doug Maceachern","2009-05-01",1,3922
"Florian Forster","2009-05-01",23,3922
"Sebastian Harl","2009-05-01",1,3922
"Florian Forster","2009-06-01",4,3922
"Paul Sadauskas","2009-06-01",12,3922
"Anthony Dewhurst","2009-07-01",1,3922
"Florian Forster","2009-07-01",29,3922
"Paul Sadauskas","2009-07-01",5,3922
"Sebastian Harl","2009-07-01",1,3922
"Florian Forster","2009-08-01",45,3922
"Florian Forster","2009-09-01",77,3922
"Florian Forster","2009-10-01",14,3922
"Patrik Weiskircher","2009-10-01",1,3922
"Sven Trenkel","2009-10-01",9,3922
"Florian Forster","2009-11-01",8,3922
"Sebastian Harl","2009-11-01",1,3922
"Sven Trenkel","2009-11-01",11,3922
"Ben Knight","2009-12-01",1,3922
"Florian Forster","2009-12-01",18,3922
"Sven Trenkel","2009-12-01",18,3922
"Florian Forster","2010-01-01",22,3922
"Sebastian Harl","2010-01-01",1,3922
"Sven Trenkel","2010-01-01",7,3922
"Florian Forster","2010-02-01",4,3922
"Florian Forster","2010-03-01",35,3922
"Sebastian Harl","2010-03-01",10,3922
"Florian Forster","2010-04-01",36,3922
"Sven Trenkel","2010-04-01",1,3922
"Florian Forster","2010-05-01",9,3922
"Sven Trenkel","2010-05-01",2,3922
"Florian Forster","2010-06-01",20,3922
"Jerome Renard","2010-06-01",17,3922
"Marc Fournier","2010-06-01",5,3922
"Sven Trenkel","2010-06-01",1,3922
"Florian Forster","2010-07-01",13,3922
"Marc Fournier","2010-07-01",1,3922
"Aurelien Reynaud","2010-08-01",1,3922
"Florian Forster","2010-08-01",63,3922
"Hakon-Dugstad.Johnsen@Telenor.Com","2010-08-01",1,3922
"Sebastian Harl","2010-08-01",16,3922
"Aurelien Reynaud","2010-09-01",2,3922
"Florian Forster","2010-09-01",22,3922
"Akkarit Sangpetch","2010-10-01",1,3922
"Aurelien Reynaud","2010-10-01",3,3922
"Florian Forster","2010-10-01",18,3922
"Sven Trenkel","2010-10-01",1,3922
"Akkarit Sangpetch","2010-11-01",1,3922
"Florian Forster","2010-11-01",20,3922
"Sven Trenkel","2010-11-01",1,3922
"Florian Forster","2010-12-01",24,3922
"Florian Forster","2011-01-01",19,3922
"Florian Forster","2011-02-01",7,3922
"Michael Hanselmann","2011-02-01",1,3922
"Andres J. Diaz","2011-03-01",2,3922
"Florian Forster","2011-03-01",3,3922
"Florian Forster","2011-04-01",1,3922
"Stefan Rinkes","2011-04-01",19,3922
"Florian Forster","2011-05-01",1,3922
"Florian Forster","2011-06-01",1,3922
"Florian Forster","2011-07-01",2,3922
"Florian Forster","2011-08-01",5,3922
"Peter Green","2011-08-01",1,3922
