commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
12f8e74dd7affea712575592d24e860c23b465a7,2005-12-01,Octo,collectd.c,3,True,HAVE_LIBKSTAT,Misto,Colaborador,100.0,Major
12f8e74dd7affea712575592d24e860c23b465a7,2005-12-01,Octo,collectd.c,,,HAVE_LIBRRD,Misto,Colaborador,100.0,Major
12f8e74dd7affea712575592d24e860c23b465a7,2005-12-01,Octo,collectd.c,,,HAVE_LIBSTATGRAB,Misto,Colaborador,100.0,Major
8f7201dae99ba1ec487a0e0b66c59c394335eace,2005-12-01,Octo,collectd.c,1,True,KERNEL_LINUX,Misto,Colaborador,100.0,Major
4bc15cc7a6abf216fe76c9802af5eb1f415a389d,2005-12-01,Octo,collectd.c,1,True,,Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,9,True,HAVE_LIBKSTAT,Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,KERNEL_LINUX,Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,defined(HAVE_LIBKSTAT),Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,defined(HAVE_LIBSTATGRAB),Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,(KERNEL_LINUX),Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,assert,Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,KERNEL_SOLARIS,Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,defined(KERNEL_SOLARIS),Misto,Colaborador,100.0,Major
7fa270a1fb517c7fbed55d9f5f70bb28516b6229,2005-12-01,Octo,collectd.c,,,(HAVE_LIBKSTAT),Misto,Colaborador,100.0,Major
ae338f19a27a1a560ac8a41ce2de0e63f281f583,2005-12-01,Octo,collectd.c,1,True,HAVE_LIBRRD,Misto,Colaborador,100.0,Major
dd7eb19ac13a5eb4e39894a0d613067a70f194a0,2005-12-01,Octo,collectd.c,1,True,,Misto,Colaborador,100.0,Major
0c0448c13167b6ef097473ef3a5d4321ebae50b0,2005-12-01,Octo,collectd.c,1,True,,Misto,Colaborador,100.0,Major
cc348e2e798a85c5368c8b7ef846ce3a0f4afbf6,2005-12-01,Octo,collectd.c,1,True,,Misto,Colaborador,100.0,Major
cc0d31d626faaedad019aa9a68bea64cbeefc7e2,2005-12-01,Octo,collectd.c,1,True,,Misto,Colaborador,100.0,Major
