desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Mart Bakhoff,!(AMQP_VERSION) || AMQP_VERSION < 0x00040000,1,0.693,0.693,0.0,1,amqp.c,1,1,100.0,1.0,100.0,1.0,1,0.09090909090909091,2.0,0.9821873255543234,1.0
Mart Bakhoff,!(AMQP_VERSION) || AMQP_VERSION < 0x00080000,1,0.693,0.693,0.0,1,amqp.c,1,1,100.0,1.0,100.0,1.0,2,0.18181818181818182,4.0,0.9821873255543234,1.0
Florian Forster,!(CP_USER) || !(CP_NICE) || !(CP_SYS) ||              \,1,1.099,1.099,0.0,1,cpu.c,2,1,100.0,1.0,100.0,1.0,2,0.0196078431372549,0.05993407252022775,1.0095035098875704,1.0
Octo,!(CP_USER) || !(CP_NICE) || !(CP_SYS) || !(CP_INTR) || !(CP_IDLE) || !(CPUSTATES),1,1.099,1.099,0.0,1,cpu.c,2,1,100.0,1.0,100.0,1.0,4,0.0392156862745098,0.1198681450404555,1.0095035098875704,1.0
Florian Forster,!(HAVE_BSD_NLIST_H) || !HAVE_BSD_NLIST_H,1,1.099,1.099,0.0,1,tcpconns.c,2,1,100.0,1.0,100.0,1.0,2,0.06896551724137931,0.6097560975609756,1.0095035098875704,1.0
Florian Forster,!(HAVE_LEGACY_LIBDBI) || !HAVE_LEGACY_LIBDBI,1,0.693,0.693,0.0,1,dbi.c,1,1,100.0,1.0,100.0,1.0,1,0.25,10.0,0.9821873255543234,1.0
Daniel Vratil,!(HAVE_SETENV),1,1.099,0.693,0.693,1,exec.c,1,1,50.0,1.0,50.0,1.0,1,0.09090909090909091,2.0,0.9075700315670454,1.0
Michael Kaufmann,!(HAVE_SETENV),0,1.099,0.693,0.693,1,exec.c,1,0,50.0,1.0,50.0,1.0,2,0.18181818181818182,4.0,0.9075700315670454,1.0
Marc Fournier,!(HAVE_SYS_CAPABILITY_H) && !(CAP_SYS_RAWIO),1,0.693,0.693,0.0,1,turbostat.c,1,1,100.0,1.0,100.0,1.0,1,0.25,12.5,0.9821873255543234,1.0
Ruben Kerkhof,!(HAVE_THREADSAFE_LIBRRD),1,0.693,0.693,0.0,1,utils_rrdcreate.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Florian Forster,!(HAVE_THREADSAFE_LIBRRD) || !HAVE_THREADSAFE_LIBRRD,1,1.099,0.693,0.693,1,utils_rrdcreate.c,1,1,50.0,1.0,50.0,1.0,2,0.6666666666666666,33.333333333333336,0.9075700315670454,1.0
Ruben Kerkhof,!(HAVE_THREADSAFE_LIBRRD) || !HAVE_THREADSAFE_LIBRRD,0,1.099,0.693,0.693,1,utils_rrdcreate.c,1,0,50.0,1.0,50.0,1.0,3,1.0,50.0,0.9075700315670454,1.0
Andrew Bays,!(HAVE_YAJL_V2),0,2.197,1.946,1.099,4,procevent.c,2,1,100.0,1.0,75.0,1.0,2,0.5,33.333333333333336,0.9483203538667344,1.0
Andrew Bays,!(HAVE_YAJL_V2),0,2.197,1.946,1.099,4,connectivity.c,3,1,100.0,1.0,75.0,1.0,3,0.5,33.333333333333336,0.9483203538667344,1.0
Andrew Bays,!(HAVE_YAJL_V2),0,2.197,1.946,1.099,4,sysevent.c,1,1,100.0,1.0,75.0,1.0,1,0.5,33.333333333333336,0.9483203538667344,1.0
Florian Forster,!(HAVE_YAJL_V2),0,2.197,0.693,2.079,4,log_logstash.c,1,0,50.0,1.0,12.5,0.167,1,0.3333333333333333,16.666666666666668,0.7583354435924892,0.7996616760363835
Pierre-Yves Ritschard,!(HAVE_YAJL_V2),1,2.197,0.693,2.079,4,log_logstash.c,1,1,50.0,1.0,12.5,0.167,2,0.6666666666666666,33.333333333333336,0.7583354435924892,0.7996616760363835
Florian Forster,!(JNI_VERSION_1_2),1,0.693,0.693,0.0,1,java.c,1,1,100.0,1.0,100.0,1.0,1,1.0,100.0,0.9821873255543234,1.0
Florian Forster,!(KERNEL_LINUX) || !KERNEL_LINUX,1,1.099,0.693,0.693,1,uptime.c,1,1,50.0,1.0,50.0,1.0,1,0.06666666666666667,1.1764705882352942,0.9075700315670454,1.0
Marco Chiappero,!(KERNEL_LINUX) || !KERNEL_LINUX,0,1.099,0.693,0.693,1,uptime.c,1,0,50.0,1.0,50.0,1.0,2,0.13333333333333333,2.3529411764705883,0.9075700315670454,1.0
Edgar Fuss,!(KERNEL_NETBSD),1,0.693,0.693,0.0,1,netstat_udp.c,1,1,100.0,1.0,100.0,1.0,1,1.0,100.0,0.9821873255543234,1.0
Florian Forster,!(LIBDBI_VERSION) || (LIBDBI_VERSION < 900),1,0.693,0.693,0.0,1,dbi.c,1,1,100.0,1.0,100.0,1.0,2,0.5,20.0,0.9821873255543234,1.0
Octo,!(LOADAVG_1MIN) || !(LOADAVG_5MIN) || !(LOADAVG_15MIN),1,0.693,0.693,0.0,1,load.c,1,1,100.0,1.0,100.0,1.0,1,0.07142857142857142,1.0416666666666667,0.9821873255543234,1.0
Sean Campbell,!(MSG_DONTWAIT),1,0.693,0.693,0.0,1,common.c,1,1,100.0,1.0,100.0,1.0,1,0.04,0.32679738562091504,0.9821873255543234,1.0
Florian Forster,!(SENSORS_API_VERSION),1,0.693,0.693,0.0,1,sensors.c,1,1,100.0,1.0,100.0,1.0,1,0.04,0.4854368932038835,0.9821873255543234,1.0
