"Desenvolvedor","Data","Commits","Total"
"Arnold D. Robbins","2010-07-01",32,1289
"Arnold D. Robbins","2010-11-01",9,1289
"Arnold D. Robbins","2010-12-01",17,1289
"Arnold D. Robbins","2011-01-01",17,1289
"Arnold D. Robbins","2011-02-01",21,1289
"Arnold D. Robbins","2011-03-01",7,1289
"Arnold D. Robbins","2011-04-01",14,1289
"Arnold D. Robbins","2011-05-01",24,1289
"Arnold D. Robbins","2011-06-01",12,1289
"Arnold D. Robbins","2011-07-01",9,1289
"Arnold D. Robbins","2011-08-01",6,1289
"John Haque","2011-08-01",2,1289
"Arnold D. Robbins","2011-09-01",6,1289
"Arnold D. Robbins","2011-10-01",17,1289
"Arnold D. Robbins","2011-11-01",5,1289
"Arnold D. Robbins","2011-12-01",11,1289
"Arnold D. Robbins","2012-01-01",4,1289
"Arnold D. Robbins","2012-02-01",8,1289
"John Haque","2012-02-01",2,1289
"Arnold D. Robbins","2012-03-01",15,1289
"John Haque","2012-03-01",1,1289
"Arnold D. Robbins","2012-04-01",6,1289
"John Haque","2012-04-01",3,1289
"Arnold D. Robbins","2012-05-01",17,1289
"John Haque","2012-05-01",2,1289
"Arnold D. Robbins","2012-06-01",20,1289
"Arnold D. Robbins","2012-07-01",28,1289
"Arnold D. Robbins","2012-08-01",13,1289
"Arnold D. Robbins","2012-09-01",10,1289
"Arnold D. Robbins","2012-10-01",13,1289
"Arnold D. Robbins","2012-11-01",20,1289
"Arnold D. Robbins","2012-12-01",23,1289
"Arnold D. Robbins","2013-01-01",19,1289
"Arnold D. Robbins","2013-02-01",8,1289
"Arnold D. Robbins","2013-03-01",8,1289
"Arnold D. Robbins","2013-04-01",11,1289
"Arnold D. Robbins","2013-05-01",15,1289
"Andrew J. Schorr","2013-06-01",1,1289
"Arnold D. Robbins","2013-06-01",12,1289
"Andrew J. Schorr","2013-07-01",12,1289
"Arnold D. Robbins","2013-07-01",6,1289
"Arnold D. Robbins","2013-08-01",14,1289
"Arnold D. Robbins","2013-09-01",6,1289
