desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Arnold D. Robbins,alloca.c,16,True,ALIGN_SIZE,8,"483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00, 765c7494b3dac62207e6cd57fb839997e237f292  -  2010-07-16 11:58:26+03:00, cae8bc6ced84c12590e3554a06a952283735363a  -  2010-07-16 12:09:58+03:00, 8c042f99cc7465c86351d21331a129111b75345d  -  2010-07-16 12:41:09+03:00, 558ba97bdeac5a68bb9248a5c4cdf2feeb24e771  -  2010-07-16 12:45:40+03:00, 6607eb3d5e40b98d2acc8f6b0d6a0b5a4b0f56bd  -  2010-07-16 12:49:45+03:00, bc70de7b3302d5a81515b901cae376b8b51d2004  -  2010-07-16 13:09:56+03:00",5.703,1.0,Misto,Autor
Arnold D. Robbins,alloca.c,,,STACK_DIRECTION,,,,,,Autor
Arnold D. Robbins,alloca.c,,,X3J11,,,,,,Autor
Arnold D. Robbins,alloca.c,,,emacs,,,,,,Autor
Arnold D. Robbins,alloca.c,,,lint,,,,,,Autor
Arnold D. Robbins,alloca.c,,,static,,,,,,Autor
Arnold D. Robbins,alloca.c,,,__STDC__,,,,,,Autor
Arnold D. Robbins,alloca.c,,,! (__GNUC__) || __GNUC__ < 2,,,,,,Autor
Arnold D. Robbins,alloca.c,,,(CRAY) &&  (CRAY_STACKSEG_END),,,,,,Autor
Arnold D. Robbins,alloca.c,,,CRAY2,,,,,,Autor
Arnold D. Robbins,alloca.c,,,CRAY_STACK,,,,,,Autor
Arnold D. Robbins,alloca.c,,,DEBUG_I00AFUNC,,,,,,Autor
Arnold D. Robbins,alloca.c,,,HAVE_CONFIG_H,,,,,,Autor
Arnold D. Robbins,alloca.c,,,alloca,,,,,,Autor
Arnold D. Robbins,alloca.c,,,NULL,,,,,,Autor
Arnold D. Robbins,alloca.c,,,malloc,,,,,,Autor
Arnold D. Robbins,ansi2knr.c,2,True,NULL,4,"bc70de7b3302d5a81515b901cae376b8b51d2004  -  2010-07-16 13:09:56+03:00, e888f1834b88270590b7e04d64c03c75863e4565  -  2010-07-16 13:17:58+03:00, 85c0d5edb781c9f31b79e48452b1ca68643f41de  -  2010-07-16 14:40:49+03:00, 6a2caf2157d87b4b582b2494bdd7d6a688dd0b1f  -  2010-07-16 14:49:57+03:00",5.047,1.0,Misto,Autor
Arnold D. Robbins,ansi2knr.c,,,isascii,,,,,,Autor
