commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,21,True,ALIGN_SIZE,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,STACK_DIRECTION,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,X3J11,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,emacs,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,lint,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,static,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,FAST,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,YYIMPURE,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,YYLTYPE,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,YYMAXDEPTH,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,YYMAXLIMIT,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,YYPURE,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,__STDC__,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,yyoverflow,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,DEBUG,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,NOMEMCMP,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,USG,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,FUNC_TRACE,Misto,Autor,100.0,Major
483a58b779f2bd6c5fff64c9429a766d33e46a41,2010-07-01,Arnold D. Robbins,alloca.c,,,(BSD) && !(VPRINTF),Misto,Autor,100.0,Major
