desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Arnold D. Robbins,!  (YYSIZE_T),1,1.609,1.609,0.0,2,awkgram.c,2,1,100.0,1.0,100.0,1.0,2,0.007575757575757576,0.011804284955438824,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSIZE_T),1,1.609,1.609,0.0,2,plural.c,2,1,100.0,1.0,100.0,1.0,2,0.030303030303030304,0.19398642095053345,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSIZE_T) &&  (__SIZE_TYPE__),1,1.609,1.609,0.0,2,awkgram.c,2,1,100.0,1.0,100.0,1.0,4,0.015151515151515152,0.023608569910877647,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSIZE_T) &&  (__SIZE_TYPE__),1,1.609,1.609,0.0,2,plural.c,2,1,100.0,1.0,100.0,1.0,4,0.06060606060606061,0.3879728419010669,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSIZE_T) &&  (size_t),1,1.609,1.609,0.0,2,awkgram.c,2,1,100.0,1.0,100.0,1.0,6,0.022727272727272728,0.03541285486631647,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSIZE_T) &&  (size_t),1,1.609,1.609,0.0,2,plural.c,2,1,100.0,1.0,100.0,1.0,6,0.09090909090909091,0.5819592628516004,1.0439178321606852,1.0
Arnold D. Robbins,!  (YYSTYPE) && !  (YYSTYPE_IS_DECLARED),1,1.099,1.099,0.0,1,awkgram.c,2,1,100.0,1.0,100.0,1.0,8,0.030303030303030304,0.047217139821755294,1.0095035098875704,1.0
Arnold D. Robbins,!  (isascii) ||  (STDC_HEADERS),1,1.099,1.099,0.0,1,regex.c,2,1,100.0,1.0,100.0,1.0,2,0.006734006734006734,0.0124750499001996,1.0095035098875704,1.0
Arnold D. Robbins,!  (yyoverflow) ||  (YYERROR_VERBOSE),1,1.099,1.099,0.0,1,plural.c,2,1,100.0,1.0,100.0,1.0,8,0.12121212121212122,0.7759456838021338,1.0095035098875704,1.0
Arnold D. Robbins,!  (yyoverflow) || YYERROR_VERBOSE,1,1.099,1.099,0.0,1,awkgram.c,2,1,100.0,1.0,100.0,1.0,10,0.03787878787878788,0.059021424777194124,1.0095035098875704,1.0
Arnold D. Robbins,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,1.099,1.099,0.0,2,awkgram.c,1,1,100.0,1.0,100.0,1.0,11,0.041666666666666664,0.06492356725491354,1.0095035098875704,1.0
Arnold D. Robbins,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,1.099,1.099,0.0,2,command.c,1,1,100.0,1.0,100.0,1.0,1,0.010416666666666666,0.0335345405767941,1.0095035098875704,1.0
Arnold D. Robbins,!  lint ||  __GNUC__,1,1.099,1.099,0.0,2,awkgram.c,1,1,100.0,1.0,100.0,1.0,12,0.045454545454545456,0.07082570973263294,1.0095035098875704,1.0
Arnold D. Robbins,!  lint ||  __GNUC__,1,1.099,1.099,0.0,2,command.c,1,1,100.0,1.0,100.0,1.0,2,0.020833333333333332,0.0670690811535882,1.0095035098875704,1.0
Arnold D. Robbins,!  yyoverflow || YYERROR_VERBOSE,1,1.946,1.946,0.0,2,awkgram.c,4,1,100.0,1.0,100.0,1.0,16,0.06060606060606061,0.09443427964351059,1.0665859667418565,1.0
Arnold D. Robbins,!  yyoverflow || YYERROR_VERBOSE,1,1.946,1.946,0.0,2,command.c,2,1,100.0,1.0,100.0,1.0,4,0.041666666666666664,0.1341381623071764,1.0665859667418565,1.0
Arnold D. Robbins,! ( ENABLE_NLS && HAVE_SETLOCALE),1,1.609,1.792,0.0,2,dfa.c,3,1,150.0,1.0,125.0,1.0,3,0.023622047244094488,0.11605415860735009,1.056200835441894,1.0
Arnold D. Robbins,! ( ENABLE_NLS && HAVE_SETLOCALE),1,1.609,1.792,0.0,2,hard-locale.c,2,1,100.0,1.0,125.0,1.0,2,0.25,10.0,1.056200835441894,1.0
Arnold D. Robbins,! ((MSDOS) && !(DJGPP)) && ! (OS2) && ! ((VMS) && (__DECC)),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,2,0.013986013986013986,0.037439161362785474,1.0095035098875704,1.0
Arnold D. Robbins,! ((VMS) && (__DECC)),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,3,0.02097902097902098,0.05615874204417821,0.9821873255543234,1.0
Arnold D. Robbins,! (DJGPP) && ! (MSDOS) && ! (_MSC_VER) \,1,1.099,1.099,0.0,1,snprintf.c,2,1,100.0,1.0,100.0,1.0,2,0.2,4.166666666666667,1.0095035098875704,1.0
Arnold D. Robbins,! (MSDOS) && ! (OS2) && ! (atarist),1,1.099,1.099,0.0,1,array.c,2,1,100.0,1.0,100.0,1.0,2,0.06666666666666667,1.3333333333333333,1.0095035098875704,1.0
Arnold D. Robbins,! (NULL),1,1.099,1.099,0.0,1,getopt1.c,2,1,100.0,1.0,100.0,1.0,2,0.06666666666666667,0.6269592476489029,1.0095035098875704,1.0
Arnold D. Robbins,! (OS2),1,1.099,1.099,0.0,1,array.c,2,1,100.0,1.0,100.0,1.0,4,0.13333333333333333,2.6666666666666665,1.0095035098875704,1.0
Arnold D. Robbins,! (OS2) && ! ((VMS) && (__DECC)),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,5,0.03496503496503497,0.09359790340696368,1.0095035098875704,1.0
Arnold D. Robbins,! (POSIX2_DATE),1,1.099,1.099,0.0,1,strftime.c,2,1,100.0,1.0,100.0,1.0,2,0.018018018018018018,0.057753393011839446,1.0095035098875704,1.0
Arnold D. Robbins,! (PRINTF_HAS_F_FORMAT) || PRINTF_HAS_F_FORMAT != 1,1,1.792,1.792,0.0,2,builtin.c,3,1,100.0,1.0,100.0,1.0,3,0.02586206896551724,0.08593526210254941,1.056200835441894,1.0
Arnold D. Robbins,! (PRINTF_HAS_F_FORMAT) || PRINTF_HAS_F_FORMAT != 1,1,1.792,1.792,0.0,2,eval.c,2,1,100.0,1.0,100.0,1.0,2,0.025,0.1404494382022472,1.056200835441894,1.0
Arnold D. Robbins,! (SUNOS_EXT),1,1.099,1.099,0.0,1,strftime.c,2,1,100.0,1.0,100.0,1.0,4,0.036036036036036036,0.11550678602367889,1.0095035098875704,1.0
Arnold D. Robbins,! (SYSV_EXT),1,1.099,1.099,0.0,1,strftime.c,2,1,100.0,1.0,100.0,1.0,6,0.05405405405405406,0.17326017903551832,1.0095035098875704,1.0
Arnold D. Robbins,! (S_ISDIR) && (S_IFDIR),1,1.792,1.792,0.0,3,io.c,2,1,100.0,1.0,100.0,1.0,2,0.006688963210702341,0.008553222426549203,1.056200835441894,1.0
Arnold D. Robbins,! (S_ISDIR) && (S_IFDIR),1,1.792,1.792,0.0,3,gawkmisc.c,1,1,100.0,1.0,100.0,1.0,1,0.058823529411764705,0.970873786407767,1.056200835441894,1.0
Arnold D. Robbins,! (S_ISDIR) && (S_IFDIR),1,1.792,1.792,0.0,3,tmisc.c,2,1,100.0,1.0,100.0,1.0,2,1.0,100.0,1.056200835441894,1.0
Arnold D. Robbins,! (S_ISREG) && (S_IFREG),1,1.792,1.792,0.0,3,io.c,3,1,100.0,1.0,100.0,1.0,5,0.016722408026755852,0.021383056066373005,1.056200835441894,1.0
Arnold D. Robbins,! (S_ISREG) && (S_IFREG),1,1.792,1.792,0.0,3,gawkfts.c,1,1,100.0,1.0,100.0,1.0,1,0.041666666666666664,0.35335689045936397,1.056200835441894,1.0
Arnold D. Robbins,! (S_ISREG) && (S_IFREG),1,1.792,1.792,0.0,3,inplace.c,1,1,100.0,1.0,100.0,1.0,1,0.16666666666666666,6.25,1.056200835441894,1.0
Arnold D. Robbins,! (TANDEM),1,1.386,1.386,0.0,1,main.c,3,1,100.0,1.0,100.0,1.0,8,0.055944055944055944,0.1497566454511419,1.028884651108647,1.0
Eli Zaretskii,! (VMS),1,0.693,0.693,0.0,1,io.c,1,1,100.0,1.0,100.0,1.0,6,0.020066889632107024,0.025659667279647608,0.9821873255543234,1.0
Arnold D. Robbins,! (_LIBC) &&  (__GLIBC__) && __GLIBC__ >= 2,1,1.609,1.609,0.0,2,getopt.c,2,1,100.0,1.0,100.0,1.0,2,0.025974025974025976,0.13029315960912052,1.0439178321606852,1.0
Arnold D. Robbins,! (_LIBC) &&  (__GLIBC__) && __GLIBC__ >= 2,1,1.609,1.609,0.0,2,getopt1.c,2,1,100.0,1.0,100.0,1.0,4,0.13333333333333333,1.2539184952978057,1.0439178321606852,1.0
Arnold D. Robbins,! (_MSC_VER) && ! (__MINGW32__),1,1.099,1.099,0.0,1,random.c,2,1,100.0,1.0,100.0,1.0,2,0.11764705882352941,2.2222222222222223,1.0095035098875704,1.0
Arnold D. Robbins,! (_MSC_VER) && ! (__MINGW32__) && ! (VMS),1,1.099,1.099,0.0,1,random.c,2,1,100.0,1.0,100.0,1.0,4,0.23529411764705882,4.444444444444445,1.0095035098875704,1.0
Arnold D. Robbins,! (__DJGPP__),1,0.693,0.693,0.0,1,eval.c,1,1,100.0,1.0,100.0,1.0,3,0.0375,0.21067415730337077,0.9821873255543234,1.0
Arnold D. Robbins,! (__DJGPP__) && ! (MSDOS) && ! (_MSC_VER) \,1,0.693,0.693,0.0,1,snprintf.c,1,1,100.0,1.0,100.0,1.0,3,0.3,6.25,0.9821873255543234,1.0
Arnold D. Robbins,! (__GNUC__) || __GNUC__ < 2,1,1.099,1.099,0.0,1,alloca.c,2,1,100.0,1.0,100.0,1.0,2,0.043478260869565216,0.5714285714285714,1.0095035098875704,1.0
Arnold D. Robbins,! (__MINGW32__) && ! (VMS),1,1.099,0.693,0.693,1,io.c,1,1,50.0,1.0,50.0,1.0,7,0.023411371237458192,0.029936278492922207,0.9075700315670454,1.0
Eli Zaretskii,! (__MINGW32__) && ! (VMS),0,1.099,0.693,0.693,1,io.c,1,0,50.0,1.0,50.0,1.0,8,0.026755852842809364,0.03421288970619681,0.9075700315670454,1.0
