"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"1987-01-01","Ethan A Merritt","Misto",0,0,1,1
"1989-06-01","Ethan A Merritt","Misto",0,0,1,1
"1990-03-01","Ethan A Merritt","Misto",0,0,1,1
"1991-09-01","Ethan A Merritt","Misto",0,0,1,1
"1992-01-01","Ethan A Merritt","Misto",0,0,1,1
"1992-06-01","Ethan A Merritt","Misto",0,0,1,1
"1993-08-01","Ethan A Merritt","Misto",0,0,1,1
"1998-04-01","Lars Hecking","Misto",0,0,2,2
"1998-05-01","Lars Hecking","Misto",0,0,2,2
"1998-06-01","Lars Hecking","Misto",0,0,2,2
"1998-07-01","Lars Hecking","Misto",0,0,2,2
"1998-08-01","Lars Hecking","Misto",0,0,2,2
"1998-09-01","Lars Hecking","Misto",0,0,2,2
"1998-10-01","Lars Hecking","Misto",0,0,2,2
"1998-11-01","Lars Hecking","Misto",0,0,2,2
"1998-12-01","Lars Hecking","Misto",0,0,2,2
"1999-01-01","Lars Hecking","Misto",0,0,2,2
"1999-02-01","Lars Hecking","Misto",0,0,2,2
"1999-03-01","Lars Hecking","Misto",0,0,2,2
"1999-04-01","Lars Hecking","Misto",0,0,2,2
"1999-05-01","Lars Hecking","Misto",0,0,2,2
"1999-06-01","Lars Hecking","Misto",0,0,2,2
"1999-07-01","Lars Hecking","Misto",0,0,2,2
"1999-08-01","Lars Hecking","Misto",0,0,2,2
"1999-09-01","Lars Hecking","Misto",0,0,2,2
"1999-10-01","Lars Hecking","Misto",0,0,2,2
"1999-11-01","Lars Hecking","Misto",0,0,2,2
"1999-12-01","Lars Hecking","Misto",0,0,2,2
"2000-01-01","Lars Hecking","Misto",0,0,2,2
"2000-02-01","Lars Hecking","Misto",0,0,2,2
"2000-03-01","Lars Hecking","Misto",0,0,2,2
"2000-05-01","Hans-Bernhard Broeker","Generalista",0,1,2,3
"2000-05-01","Lars Hecking","Misto",0,2,2,4
"2000-07-01","Petr Mikulik","Generalista",0,2,2,4
"2000-10-01","Hans-Bernhard Broeker","Generalista",0,2,2,4
"2000-10-01","Johannes Zellner","Generalista",0,2,3,5
"2000-11-01","Johannes Zellner","Misto",0,2,3,5
"2000-11-01","Lars Hecking","Misto",0,1,4,5
"2000-11-01","Petr Mikulik","Misto",0,1,4,5
"2000-12-01","Petr Mikulik","Misto",0,1,4,5
"2001-02-01","Hans-Bernhard Broeker","Misto",0,0,5,5
"2001-02-01","Petr Mikulik","Misto",0,0,5,5
"2001-03-01","Lars Hecking","Misto",0,0,5,5
"2001-07-01","Lars Hecking","Misto",0,0,5,5
"2001-09-01","Alexander Mai","Generalista",0,1,5,6
"2001-09-01","Petr Mikulik","Misto",0,1,5,6
"2001-11-01","Lars Hecking","Misto",0,1,5,6
"2002-01-01","Lars Hecking","Misto",0,1,5,6
"2002-01-01","Petr Mikulik","Misto",0,1,5,6
"2002-02-01","Lars Hecking","Misto",0,1,5,6
"2002-02-01","Petr Mikulik","Misto",0,1,5,6
"2002-03-01","Lars Hecking","Misto",0,1,5,6
"2002-03-01","Petr Mikulik","Misto",0,1,5,6
"2002-04-01","Ethan A Merritt","Misto",0,1,5,6
"2002-04-01","Lars Hecking","Misto",0,1,5,6
"2002-05-01","Lars Hecking","Misto",0,1,5,6
"2002-07-01","Ethan A Merritt","Misto",0,1,5,6
"2002-08-01","Ethan A Merritt","Misto",0,1,5,6
"2002-09-01","Ethan A Merritt","Misto",0,1,5,6
"2002-09-01","Lars Hecking","Misto",0,1,5,6
"2002-09-01","Petr Mikulik","Misto",0,1,5,6
"2002-10-01","Ethan A Merritt","Misto",0,1,5,6
"2002-10-01","Lars Hecking","Misto",0,1,5,6
"2002-10-01","Petr Mikulik","Misto",0,1,5,6
"2002-11-01","Ethan A Merritt","Misto",0,1,5,6
"2002-11-01","Lars Hecking","Misto",0,1,5,6
"2002-12-01","Ethan A Merritt","Misto",0,1,5,6
"2002-12-01","Lars Hecking","Misto",0,1,5,6
"2003-01-01","Lars Hecking","Misto",0,1,5,6
"2003-02-01","Ethan A Merritt","Misto",0,1,5,6
"2003-03-01","Ethan A Merritt","Misto",0,1,5,6
"2003-04-01","Ethan A Merritt","Misto",0,1,5,6
"2003-05-01","Ethan A Merritt","Misto",0,1,5,6
"2003-06-01","Ethan A Merritt","Misto",0,1,5,6
"2003-06-01","Lars Hecking","Misto",0,1,5,6
"2003-07-01","Ethan A Merritt","Misto",0,1,5,6
"2003-08-01","Ethan A Merritt","Misto",0,1,5,6
"2003-08-01","Lars Hecking","Misto",0,1,5,6
"2003-10-01","Ethan A Merritt","Misto",0,1,5,6
"2003-11-01","Ethan A Merritt","Misto",0,1,5,6
"2003-11-01","Petr Mikulik","Misto",0,1,5,6
"2003-12-01","Ethan A Merritt","Misto",0,1,5,6
"2003-12-01","Petr Mikulik","Misto",0,1,5,6
"2004-01-01","Ethan A Merritt","Misto",0,1,5,6
"2004-01-01","Lars Hecking","Misto",0,1,5,6
"2004-02-01","Ethan A Merritt","Misto",0,1,5,6
"2004-02-01","Petr Mikulik","Misto",0,1,5,6
"2004-03-01","Ethan A Merritt","Misto",0,1,5,6
"2004-04-01","Ethan A Merritt","Misto",0,1,5,6
"2004-04-01","Hans-Bernhard Broeker","Misto",0,1,5,6
"2004-05-01","Ethan A Merritt","Misto",0,1,5,6
"2004-06-01","Ethan A Merritt","Misto",0,1,5,6
"2004-07-01","Ethan A Merritt","Misto",0,1,5,6
"2004-07-01","Hans-Bernhard Broeker","Misto",0,1,5,6
"2004-08-01","Ethan A Merritt","Misto",0,1,5,6
"2004-09-01","Ethan A Merritt","Misto",0,1,5,6
"2004-09-01","Petr Mikulik","Misto",0,1,5,6
"2004-10-01","Ethan A Merritt","Misto",0,1,5,6
"2004-11-01","Ethan A Merritt","Misto",0,1,5,6
"2004-11-01","Petr Mikulik","Misto",0,1,5,6
"2004-12-01","Ethan A Merritt","Misto",0,1,5,6
"2004-12-01","Petr Mikulik","Misto",0,2,5,7
"2005-01-01","Bastian Maerkisch","Generalista",0,2,5,7
"2005-01-01","Ethan A Merritt","Misto",0,2,5,7
"2005-01-01","Petr Mikulik","Misto",0,2,5,7
"2005-02-01","Ethan A Merritt","Misto",0,2,5,7
"2005-03-01","Ethan A Merritt","Misto",0,2,5,7
"2005-04-01","Ethan A Merritt","Misto",0,2,5,7
"2005-05-01","Ethan A Merritt","Misto",0,2,5,7
"2005-06-01","Ethan A Merritt","Misto",0,2,5,7
"2005-07-01","Bastian Maerkisch","Misto",0,1,6,7
"2005-07-01","Ethan A Merritt","Misto",0,1,6,7
"2005-07-01","Petr Mikulik","Misto",0,1,6,7
"2005-08-01","Bastian Maerkisch","Misto",0,1,6,7
"2005-08-01","Ethan A Merritt","Misto",0,1,6,7
"2005-08-01","Petr Mikulik","Misto",0,1,6,7
"2005-09-01","Bastian Maerkisch","Misto",0,1,6,7
"2005-09-01","Ethan A Merritt","Misto",0,1,6,7
"2005-10-01","Bastian Maerkisch","Misto",0,1,6,7
"2005-10-01","Ethan A Merritt","Misto",0,1,6,7
"2005-11-01","Ethan A Merritt","Misto",0,1,6,7
"2005-12-01","Bastian Maerkisch","Misto",0,1,6,7
"2005-12-01","Ethan A Merritt","Misto",0,1,6,7
"2006-01-01","Ethan A Merritt","Misto",0,1,6,7
"2006-02-01","Bastian Maerkisch","Misto",0,1,6,7
"2006-02-01","Ethan A Merritt","Misto",0,1,6,7
"2006-03-01","Ethan A Merritt","Misto",0,1,6,7
"2006-04-01","Ethan A Merritt","Misto",0,1,6,7
"2006-05-01","Bastian Maerkisch","Misto",0,1,6,7
"2006-05-01","Ethan A Merritt","Misto",0,1,6,7
"2006-05-01","Petr Mikulik","Misto",0,1,6,7
"2006-06-01","Ethan A Merritt","Misto",0,1,6,7
"2006-07-01","Ethan A Merritt","Misto",0,1,6,7
"2006-08-01","Bastian Maerkisch","Misto",0,1,6,7
"2006-08-01","Ethan A Merritt","Misto",0,1,6,7
"2006-09-01","Ethan A Merritt","Misto",0,1,6,7
"2006-10-01","Ethan A Merritt","Misto",0,1,6,7
"2006-11-01","Ethan A Merritt","Misto",0,1,6,7
"2006-12-01","Ethan A Merritt","Misto",0,1,6,7
"2007-01-01","Ethan A Merritt","Misto",0,1,6,7
"2007-02-01","Ethan A Merritt","Misto",0,1,6,7
"2007-03-01","Bastian Maerkisch","Misto",0,1,6,7
"2007-03-01","Ethan A Merritt","Misto",0,1,6,7
"2007-04-01","Ethan A Merritt","Misto",0,1,6,7
"2007-05-01","Ethan A Merritt","Misto",0,1,6,7
"2007-06-01","Ethan A Merritt","Misto",0,1,6,7
"2007-06-01","Petr Mikulik","Misto",0,1,6,7
"2007-07-01","Ethan A Merritt","Misto",0,1,6,7
"2007-08-01","Ethan A Merritt","Misto",0,1,6,7
"2007-09-01","Ethan A Merritt","Misto",0,1,6,7
"2007-10-01","Ethan A Merritt","Misto",0,1,6,7
"2007-11-01","Ethan A Merritt","Misto",0,1,6,7
"2007-12-01","Ethan A Merritt","Misto",0,1,6,7
"2008-01-01","Ethan A Merritt","Misto",0,1,6,7
"2008-02-01","Ethan A Merritt","Misto",0,1,6,7
"2008-02-01","Petr Mikulik","Misto",0,1,6,7
"2008-03-01","Ethan A Merritt","Misto",0,1,6,7
"2008-04-01","Bastian Maerkisch","Misto",0,1,6,7
"2008-04-01","Ethan A Merritt","Misto",0,1,6,7
