desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Bastian Maerkisch,! (_WIN32),1,0.693,0.693,0.0,1,plot.c,1,1,100.0,1.0,100.0,1.0,1,0.0024390243902439024,0.0024147590070510965,0.9821873255543234,1.0
Bastian Maerkisch,! (_Windows),0,1.099,0.693,0.693,1,plot.c,1,0,50.0,1.0,50.0,1.0,2,0.004878048780487805,0.004829518014102193,0.9075700315670454,1.0
Thomas Bleher,! (_Windows),1,1.099,0.693,0.693,1,plot.c,1,1,50.0,1.0,50.0,1.0,3,0.007317073170731708,0.007244277021153289,0.9075700315670454,1.0
Lars Hecking,!( (USE_MOUSE) && (OS2) ),1,1.386,1.386,0.0,1,readline.c,3,1,100.0,1.0,100.0,1.0,3,0.010344827586206896,0.014317758793490192,1.028884651108647,1.0
Lars Hecking,!( (USE_MOUSE) && (OS2) ) /* fraba */,1,1.099,1.099,0.0,1,readline.c,2,1,100.0,1.0,100.0,1.0,5,0.017241379310344827,0.023862931322483655,1.0095035098875704,1.0
Lars Hecking,!((UNIXPLOT) || (GNUGRAPH)),1,1.609,1.609,0.0,1,term.c,4,1,100.0,1.0,100.0,1.0,4,0.007407407407407408,0.0043585804103603455,1.0439178321606852,1.0
Lars Hecking,!((VMS) || (CRIPPLED_SELECT)),1,1.386,1.386,0.0,1,gplt_x11.c,3,1,100.0,1.0,100.0,1.0,3,0.012396694214876033,0.019692792437967704,1.028884651108647,1.0
Bastian Maerkisch,!((__MINGW32__) && !(__MINGW64_VERSION_MAJOR)),1,1.099,1.099,0.0,1,wgdiplus.cpp,2,1,100.0,1.0,100.0,1.0,2,0.18181818181818182,4.444444444444445,1.0095035098875704,1.0
Hans-Bernhard Broeker,!((__TURBOC__) || (__EMX__) || (DJGPP)) || (_Windows)	/* Turbo C already has sleep() */,0,1.099,0.693,0.693,1,stdfn.c,1,0,50.0,1.0,50.0,1.0,1,0.01,0.03874467260751647,0.9075700315670454,1.0
Lars Hecking,!((__TURBOC__) || (__EMX__) || (DJGPP)) || (_Windows)	/* Turbo C already has sleep() */,1,1.099,0.693,0.693,1,stdfn.c,1,1,50.0,1.0,50.0,1.0,2,0.02,0.07748934521503294,0.9075700315670454,1.0
Lars Hecking,!((__TURBOC__) || (__EMX__) || (DJGPP)) || (_Windows) /* Turbo C already has sleep() */,1,1.609,1.609,0.0,1,stdfn.c,4,1,100.0,1.0,100.0,1.0,6,0.06,0.2324680356450988,1.0439178321606852,1.0
Hans-Bernhard Broeker,!(AMIGA_SC_6_1) && !(__PUREC__),0,1.609,0.693,1.386,1,plot3d.c,1,0,25.0,0.333,25.0,0.333,1,0.008849557522123894,0.03947887879984208,0.43330634757976727,0.4540722726667229
Lars Hecking,!(AMIGA_SC_6_1) && !(__PUREC__),1,1.609,1.386,0.693,1,plot3d.c,3,1,75.0,1.0,75.0,1.0,4,0.035398230088495575,0.15791551519936833,0.9542673571213689,1.0
Ethan A Merritt,!(ATARI),1,1.099,0.693,0.693,1,readline.c,1,1,50.0,1.0,50.0,1.0,6,0.020689655172413793,0.028635517586980384,0.9075700315670454,1.0
Lars Hecking,!(ATARI),0,1.099,0.693,0.693,1,readline.c,1,0,50.0,1.0,50.0,1.0,7,0.02413793103448276,0.03340810385147711,0.9075700315670454,1.0
Ethan A Merritt,!(ATARI) && ! (AMIGA_SC_6_1),1,1.099,0.693,0.693,1,setshow.c,1,1,50.0,1.0,50.0,1.0,1,0.07142857142857142,1.3888888888888888,0.9075700315670454,1.0
