desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Timo Sirainen,args.c,0,True,,5,"c95034c6de1bf72536595e1e3431d8ec64b9880e  -  2000-04-26 08:03:38+00:00, c2397475c5105dc6d5db1fac0ee1d8f33b77b237  -  2000-07-16 20:18:05+00:00, ccccd1fdc4fdafc9a7669734d795332f2803c407  -  2001-05-17 16:50:52+00:00, c2b2d45bd62ce410ba7ca8ac920d340b9ed1a527  -  2001-05-17 20:13:59+00:00, 53d5c92cf494866296ae8082804dddcdef656797  -  2001-10-14 14:14:54+00:00",4.586362842153244,1.0,Generalista,Autor
Timo Sirainen,autoignore.c,0,True,,12,"c95034c6de1bf72536595e1e3431d8ec64b9880e  -  2000-04-26 08:03:38+00:00, d3dc9a1307adc40425bf162f1f867a39e535f501  -  2000-05-04 10:32:42+00:00, 3e4f94793465e1cbaf8bb229c0b93568228e225d  -  2000-06-02 00:36:54+00:00, 47fd84c5bc3306b946c253afda633d7cbc61a8a6  -  2000-06-14 17:52:03+00:00, 273688f6d7820de8d78b1ae1f297fde4f0b5c799  -  2000-07-09 13:03:40+00:00, e395e87dedd9aa85f05e5c74330a76f1ef700371  -  2000-08-26 15:39:44+00:00, 49b22f8b318fcdeb783e08bde36d5b83a11a6fea  -  2000-09-28 00:25:14+00:00, 8c2799b5f8da6d16808e5a25265db3198a7210d1  -  2000-10-01 16:17:12+00:00, fc17069cec434306599582a381ea1d61d8cea4ad  -  2001-02-22 06:09:48+00:00, 95fb3f5623f606b71c6e7d3bcd2527f23345f330  -  2001-02-22 10:52:01+00:00, c5cccfcdaa3e75c378b14086679e54a781b5b8c6  -  2001-03-03 23:27:07+00:00, bd6fe052bce57849a7a850c0c5bee0ad896b9460  -  2002-12-28 17:54:13+00:00",5.734362842153244,1.0,Generalista,Autor
Timo Sirainen,autorun.c,0,True,,8,"c95034c6de1bf72536595e1e3431d8ec64b9880e  -  2000-04-26 08:03:38+00:00, d3dc9a1307adc40425bf162f1f867a39e535f501  -  2000-05-04 10:32:42+00:00, 7d1cbac459a7ee6713da2d58204878baccebbca6  -  2000-07-02 18:23:31+00:00, 0a86cf7e378172d8eff421268c7d65d1ae083533  -  2000-07-04 21:45:54+00:00, 39630c3d588a052196c372ba8101b19e2914c2f2  -  2000-11-17 16:27:14+00:00, 79d1d7089a699cf8a09bd5227f9033282001b0b3  -  2001-07-15 00:39:48+00:00, 7433dafcb1a45dbdc42094cc65a354cfb15dab2a  -  2001-11-18 19:37:18+00:00, 694251442c84f37470da7bb609a27e773d0175d6  -  2002-06-06 19:23:13+00:00",5.186370430108654,1.0,Generalista,Autor
Timo Sirainen,bans.c,0,True,,20,"c95034c6de1bf72536595e1e3431d8ec64b9880e  -  2000-04-26 08:03:38+00:00, eea919678ccc3bcea57911fa87e11b9a7298dfae  -  2000-04-28 09:02:44+00:00, d3dc9a1307adc40425bf162f1f867a39e535f501  -  2000-05-04 10:32:42+00:00, f741a73ad4e46e912dc95d486b6ddbb3ad738e65  -  2000-06-01 17:22:17+00:00, 841736a7d359dd7f9ba0238589965ea205102415  -  2000-06-04 00:04:02+00:00, a5d31a195d1e3b682cd57d88a5db7ef0ffa5d492  -  2000-06-18 01:18:12+00:00, c529fe0096eddd0e6e12157cf8486ad9117de900  -  2000-07-23 23:19:22+00:00, e395e87dedd9aa85f05e5c74330a76f1ef700371  -  2000-08-26 15:39:44+00:00, 3eea53d2ee1691a75e2dea5bc8ae2930780976f5  -  2000-09-29 23:57:30+00:00, 810584803b4d96dbfa77400981a1c68e89733010  -  2000-12-17 02:59:16+00:00, d844880515cca4f0f3984b3d9de71c0b168b647b  -  2001-01-04 17:28:26+00:00, 4f2be94115fda42a31407e4f5ed12faecdafcbb1  -  2001-03-03 20:48:23+00:00, 27ceadbff36088a47d48e7417b69f26dbc44d3f9  -  2001-05-14 17:35:24+00:00, 7c9438c1727b4eadd2ca9aeed07a9162ff686731  -  2001-06-12 00:08:14+00:00, 59a1a4d649bfc4e1cce327c473a08560c29f503d  -  2001-08-08 16:22:01+00:00, d599f7bb994710dbebd0fa1635dada2f4c4d347a  -  2001-10-23 16:01:53+00:00, f354fe54c71485516b76fdd149891191993f60b5  -  2001-11-02 01:05:14+00:00, f4897860b50e2d1cc3b97a00d1f5a2e9e9c04faa  -  2002-01-27 20:45:59+00:00, 2649a06fa54289c343f2a4a387228dc72b571b3a  -  2002-02-16 06:56:31+00:00, dc4b7456dcb1f6806b7a68188cb4f1db78bf75c3  -  2002-03-31 12:04:57+00:00",6.823862597193502,1.0,Generalista,Autor
Timo Sirainen,bot-commands.c,0,True,,3,"76605ad0aed7e53c4a9dab686474235f547a5837  -  2000-05-25 11:30:47+00:00, 4255d6c075d22629333015cf3daf1b42f4af1f5b  -  2000-05-29 12:47:25+00:00, 9747762593fc7ac193887fbf5f83226ed3f6ce14  -  2000-05-29 17:34:47+00:00",4.883,1.0,Generalista,Autor
Timo Sirainen,bot-events.c,0,True,,8,"76605ad0aed7e53c4a9dab686474235f547a5837  -  2000-05-25 11:30:47+00:00, 2e64899f18f21bbcecaa489eb3535203a0666d09  -  2000-08-22 20:28:03+00:00, 3f8c35db914d9819539e3014bb02c3806be5af00  -  2000-08-23 01:44:46+00:00, e395e87dedd9aa85f05e5c74330a76f1ef700371  -  2000-08-26 15:39:44+00:00, 3eea53d2ee1691a75e2dea5bc8ae2930780976f5  -  2000-09-29 23:57:30+00:00, 9f2f1dc70a7ed6495cf511249f3b9095fb40c38a  -  2000-12-05 21:12:52+00:00, 585527b9794c344205116f279fb2f71e88f7153d  -  2001-11-02 14:53:39+00:00, 020861c698967b156c52473a91b2f61d2e965ee1  -  2001-12-10 23:32:46+00:00",5.2579995100805155,1.0,Generalista,Autor
Timo Sirainen,bot-irc-commands.c,0,True,,5,"4255d6c075d22629333015cf3daf1b42f4af1f5b  -  2000-05-29 12:47:25+00:00, ed140195300797b185b0fa8442166cdd1c927a73  -  2000-05-29 23:31:48+00:00, 18f3c74d68e79f5962000770fca9e663bf1b1c23  -  2000-06-12 22:57:53+00:00, e395e87dedd9aa85f05e5c74330a76f1ef700371  -  2000-08-26 15:39:44+00:00, 9f2f1dc70a7ed6495cf511249f3b9095fb40c38a  -  2000-12-05 21:12:52+00:00",4.7659995100805155,1.0,Generalista,Autor
Timo Sirainen,bot-users.c,1,True,_XOPEN_SOURCE,9,"76605ad0aed7e53c4a9dab686474235f547a5837  -  2000-05-25 11:30:47+00:00, 4255d6c075d22629333015cf3daf1b42f4af1f5b  -  2000-05-29 12:47:25+00:00, ed140195300797b185b0fa8442166cdd1c927a73  -  2000-05-29 23:31:48+00:00, dcc2e89b2e0a99645b4f49360c3b76958730563e  -  2000-07-10 23:00:56+00:00, e395e87dedd9aa85f05e5c74330a76f1ef700371  -  2000-08-26 15:39:44+00:00, 0d8239e40e504cb1a4cce5e8d48cc0c7898c6e31  -  2000-11-26 10:24:30+00:00, 4316840890b7b14b1fe05f5548f333fe0ff8ec62  -  2000-12-05 01:01:53+00:00, 79d1d7089a699cf8a09bd5227f9033282001b0b3  -  2001-07-15 00:39:48+00:00, 585527b9794c344205116f279fb2f71e88f7153d  -  2001-11-02 14:53:39+00:00",5.291845210377795,1.0,Misto,Autor
Timo Sirainen,bot.c,0,True,,4,"76605ad0aed7e53c4a9dab686474235f547a5837  -  2000-05-25 11:30:47+00:00, 4255d6c075d22629333015cf3daf1b42f4af1f5b  -  2000-05-29 12:47:25+00:00, ed140195300797b185b0fa8442166cdd1c927a73  -  2000-05-29 23:31:48+00:00, 1cd033943a284c5921e501e991b9408933762c7c  -  2001-08-14 00:43:50+00:00",4.601999510080515,1.0,Generalista,Autor
Timo Sirainen,botnet-connection.c,0,True,,10,"76605ad0aed7e53c4a9dab686474235f547a5837  -  2000-05-25 11:30:47+00:00, c39c27a1ff26bc6deee5335db85d3f993d2aca55  -  2000-05-25 14:34:40+00:00, 4255d6c075d22629333015cf3daf1b42f4af1f5b  -  2000-05-29 12:47:25+00:00, 9747762593fc7ac193887fbf5f83226ed3f6ce14  -  2000-05-29 17:34:47+00:00, ed140195300797b185b0fa8442166cdd1c927a73  -  2000-05-29 23:31:48+00:00, a5d31a195d1e3b682cd57d88a5db7ef0ffa5d492  -  2000-06-18 01:18:12+00:00, 4316840890b7b14b1fe05f5548f333fe0ff8ec62  -  2000-12-05 01:01:53+00:00, 4a33801669f183f6df05276320a063ec19aa34bc  -  2001-01-01 07:45:54+00:00, 79d1d7089a699cf8a09bd5227f9033282001b0b3  -  2001-07-15 00:39:48+00:00, f4897860b50e2d1cc3b97a00d1f5a2e9e9c04faa  -  2002-01-27 20:45:59+00:00",5.585999510080516,1.0,Generalista,Autor
