desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Timo Sirainen,! (WIN32) && (SIGWINCH),1,1.099,1.099,0.0,1,screen.c,2,1,100.0,1.0,100.0,1.0,2,0.05128205128205128,0.6711409395973155,1.0095035098875704,1.0
Timo Sirainen,(HAVE_GC_H) ||  (HAVE_GC_GC_H),1,1.099,1.099,0.0,1,irssi.c,2,1,100.0,1.0,100.0,1.0,2,0.06896551724137931,0.7326007326007326,1.0095035098875704,1.0
David Leadbeater,(HAVE_IPV6) && (IN6ADDR_ANY_INIT),1,1.099,0.693,0.693,1,network.c,1,1,50.0,1.0,50.0,1.0,1,0.03225806451612903,0.4219409282700422,0.9075700315670454,1.0
Lemonboy,(HAVE_IPV6) && (IN6ADDR_ANY_INIT),0,1.099,0.693,0.693,1,network.c,1,0,50.0,1.0,50.0,1.0,2,0.06451612903225806,0.8438818565400844,0.9075700315670454,1.0
Emanuele Giaquinta,(HAVE_NL_LANGINFO) && (CODESET),0,1.946,1.386,1.386,3,fe-common-core.c,1,0,50.0,1.0,50.0,1.0,1,0.07692307692307693,1.6129032258064515,0.8796500631340909,1.0
Emanuele Giaquinta,(HAVE_NL_LANGINFO) && (CODESET),0,1.946,1.386,1.386,3,fe-recode.c,1,0,50.0,1.0,50.0,1.0,1,0.16666666666666666,4.761904761904762,0.8796500631340909,1.0
Emanuele Giaquinta,(HAVE_NL_LANGINFO) && (CODESET),0,1.946,1.386,1.386,3,term.c,1,0,50.0,1.0,50.0,1.0,1,0.09090909090909091,2.2222222222222223,0.8796500631340909,1.0
Timo Sirainen,(HAVE_NL_LANGINFO) && (CODESET),1,1.946,0.693,1.792,3,term.c,1,1,50.0,1.0,16.667,0.333,2,0.18181818181818182,4.444444444444445,0.7893044186919234,0.8972936532053707
Valentin Batz,(HAVE_NL_LANGINFO) && (CODESET),0,1.946,1.099,1.609,3,fe-common-core.c,1,1,50.0,1.0,33.333,0.667,2,0.15384615384615385,3.225806451612903,0.8362475186140397,0.950659306081997
Valentin Batz,(HAVE_NL_LANGINFO) && (CODESET),0,1.946,1.099,1.609,3,fe-recode.c,1,1,50.0,1.0,33.333,0.667,2,0.3333333333333333,9.523809523809524,0.8362475186140397,0.950659306081997
Emanuele Giaquinta,(HAVE_SETUID),0,1.099,0.693,0.693,1,popt.c,1,0,50.0,1.0,50.0,1.0,1,0.1,2.127659574468085,0.9075700315670454,1.0
Timo Sirainen,(HAVE_SETUID),1,1.099,0.693,0.693,1,popt.c,1,1,50.0,1.0,50.0,1.0,2,0.2,4.25531914893617,0.9075700315670454,1.0
Lemonboy,(IN6ADDR_ANY_INIT),1,0.693,0.693,0.0,1,network.c,1,1,100.0,1.0,100.0,1.0,3,0.0967741935483871,1.2658227848101267,0.9821873255543234,1.0
Timo Sirainen,(KEY_END) ||  (KEY_LL),1,1.099,1.099,0.0,1,gui-readline.c,2,1,100.0,1.0,100.0,1.0,2,0.25,10.0,1.0095035098875704,1.0
