"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2000-12-01","Alex","Generalista",0,1,0,1
"2000-12-01","Alex","Misto",0,0,1,1
"2001-01-01","Alex","Misto",0,0,1,1
"2001-02-01","Alex","Misto",0,0,1,1
"2001-03-01","Alex","Misto",0,0,1,1
"2001-04-01","Alex","Misto",0,0,1,1
"2001-05-01","Alex","Misto",0,0,1,1
"2001-06-01","Alex","Misto",0,0,1,1
"2001-06-01","Alex Graveley","Especialista",1,0,1,2
"2001-07-01","Alex","Misto",1,0,1,2
"2001-08-01","Alex","Misto",1,0,1,2
"2001-09-01","Alex","Misto",1,0,1,2
"2001-09-01","Alex Graveley","Misto",0,1,2,3
"2001-09-01","Dan Winship","Generalista",0,1,2,3
"2001-10-01","Alex","Misto",0,1,2,3
"2001-10-01","Dan Winship","Generalista",0,1,2,3
"2001-11-01","Alex","Misto",0,1,2,3
"2001-11-01","Alex Graveley","Misto",0,1,2,3
"2001-11-01","Dan Winship","Generalista",0,1,2,3
"2002-03-01","Alex","Misto",0,1,2,3
"2002-03-01","Alex Graveley","Misto",0,0,3,3
"2002-11-01","Dan Winship","Misto",0,0,3,3
"2003-01-01","Dan Winship","Misto",0,0,3,3
"2003-03-01","Dan Winship","Misto",0,0,3,3
"2003-04-01","Dan Winship","Misto",0,0,3,3
"2003-05-01","Dan Winship","Misto",0,0,3,3
"2003-06-01","Dan Winship","Misto",0,0,3,3
"2003-07-01","Dan Winship","Misto",0,0,3,3
"2003-08-01","Dan Winship","Misto",0,0,3,3
"2003-09-01","Dan Winship","Misto",0,0,3,3
"2003-10-01","Dan Winship","Misto",0,0,3,3
"2003-11-01","Dan Winship","Misto",0,0,3,3
"2003-11-01","Rodrigo Moya","Generalista",0,1,3,4
"2003-12-01","Dan Winship","Misto",0,1,3,4
"2003-12-01","Rodrigo Moya","Misto",0,0,4,4
"2004-01-01","Dan Winship","Misto",0,0,4,4
"2004-01-01","Harish Krishnaswamy","Generalista",0,1,4,5
"2004-01-01","Rodrigo Moya","Misto",0,1,4,5
"2004-02-01","Dan Winship","Misto",0,1,4,5
"2004-02-01","Rodrigo Moya","Misto",0,1,4,5
"2004-03-01","Dan Winship","Misto",0,1,4,5
"2004-04-01","Dan Winship","Misto",0,1,4,5
"2004-05-01","Dan Winship","Misto",0,1,4,5
"2004-06-01","Dan Winship","Misto",0,1,4,5
"2004-07-01","Dan Winship","Misto",0,1,4,5
"2004-08-01","Dan Winship","Misto",0,1,4,5
"2004-10-01","Dan Winship","Misto",0,1,4,5
"2005-04-01","Dan Winship","Misto",0,1,4,5
"2005-06-01","Dan Winship","Misto",0,1,4,5
"2005-07-01","Dan Winship","Misto",0,1,4,5
"2005-08-01","Dan Winship","Misto",0,1,4,5
"2005-10-01","Dan Winship","Misto",0,1,4,5
"2005-11-01","Dan Winship","Misto",0,1,4,5
"2005-12-01","Dan Winship","Misto",0,1,4,5
"2006-03-01","Dan Winship","Misto",0,1,4,5
"2006-04-01","Dan Winship","Misto",0,1,4,5
"2006-05-01","Dan Winship","Misto",0,1,4,5
"2006-06-01","Dan Winship","Misto",0,1,4,5
"2006-07-01","Dan Winship","Misto",0,1,4,5
"2006-11-01","Dan Winship","Misto",0,1,4,5
"2006-12-01","Dan Winship","Misto",0,1,4,5
"2007-01-01","Dan Winship","Misto",0,1,4,5
"2007-02-01","Dan Winship","Misto",0,1,4,5
"2007-03-01","Dan Winship","Misto",0,1,4,5
