"Desenvolvedor","Data","Commits","Total"
"Alex","2000-12-01",11,1240
"Alex","2001-01-01",14,1240
"Alex","2001-02-01",8,1240
"Alex","2001-03-01",6,1240
"Alex","2001-04-01",1,1240
"Alex","2001-05-01",5,1240
"Alex","2001-06-01",8,1240
"Alex Graveley","2001-06-01",1,1240
"Alex","2001-07-01",12,1240
"Alex","2001-08-01",13,1240
"Alex","2001-09-01",4,1240
"Alex Graveley","2001-09-01",1,1240
"Dan Winship","2001-09-01",1,1240
"Alex","2001-10-01",19,1240
"Dan Winship","2001-10-01",1,1240
"Alex","2001-11-01",9,1240
"Alex Graveley","2001-11-01",2,1240
"Dan Winship","2001-11-01",1,1240
"Alex","2002-03-01",4,1240
"Alex Graveley","2002-03-01",1,1240
"Dan Winship","2002-11-01",8,1240
"Dan Winship","2003-01-01",1,1240
"Dan Winship","2003-03-01",2,1240
"Dan Winship","2003-04-01",2,1240
"Dan Winship","2003-05-01",3,1240
"Dan Winship","2003-06-01",4,1240
"Dan Winship","2003-07-01",1,1240
"Dan Winship","2003-08-01",21,1240
"Dan Winship","2003-09-01",13,1240
"Dan Winship","2003-10-01",1,1240
"Dan Winship","2003-11-01",3,1240
"Rodrigo Moya","2003-11-01",9,1240
"Dan Winship","2003-12-01",7,1240
"Rodrigo Moya","2003-12-01",5,1240
"Dan Winship","2004-01-01",2,1240
"Harish Krishnaswamy","2004-01-01",1,1240
"Rodrigo Moya","2004-01-01",2,1240
"Dan Winship","2004-02-01",6,1240
"Rodrigo Moya","2004-02-01",1,1240
"Dan Winship","2004-03-01",2,1240
"Dan Winship","2004-04-01",2,1240
"Dan Winship","2004-05-01",2,1240
"Dan Winship","2004-06-01",2,1240
"Dan Winship","2004-07-01",6,1240
"Dan Winship","2004-08-01",3,1240
"Dan Winship","2004-10-01",2,1240
"Dan Winship","2005-04-01",4,1240
"Dan Winship","2005-06-01",4,1240
"Dan Winship","2005-07-01",1,1240
"Dan Winship","2005-08-01",6,1240
"Dan Winship","2005-10-01",4,1240
"Dan Winship","2005-11-01",5,1240
"Dan Winship","2005-12-01",1,1240
"Dan Winship","2006-03-01",1,1240
"Dan Winship","2006-04-01",6,1240
"Dan Winship","2006-05-01",5,1240
"Dan Winship","2006-06-01",6,1240
"Dan Winship","2006-07-01",4,1240
"Dan Winship","2006-11-01",8,1240
"Dan Winship","2006-12-01",2,1240
"Dan Winship","2007-01-01",2,1240
"Dan Winship","2007-02-01",1,1240
"Dan Winship","2007-03-01",7,1240
"Dan Winship","2007-04-01",1,1240
"Dan Winship","2007-09-01",5,1240
"Dan Winship","2007-10-01",7,1240
"Dan Winship","2007-11-01",6,1240
"Dan Winship","2008-01-01",13,1240
"Dan Winship","2008-02-01",21,1240
"Dan Winship","2008-03-01",12,1240
"Xan Lopez","2008-03-01",2,1240
"Dan Winship","2008-04-01",13,1240
"Dan Winship","2008-05-01",1,1240
"Dan Winship","2008-07-01",5,1240
"Dan Winship","2008-08-01",2,1240
"Dan Winship","2008-09-01",6,1240
"Dan Winship","2008-10-01",13,1240
"Dan Winship","2008-11-01",7,1240
"Dan Winship","2008-12-01",5,1240
"Dan Winship","2009-01-01",3,1240
"Dan Winship","2009-02-01",4,1240
"Xan Lopez","2009-02-01",1,1240
"Dan Winship","2009-03-01",8,1240
"Dan Winship","2009-04-01",24,1240
"Pierre-Luc Beaudoin","2009-04-01",1,1240
"Dan Winship","2009-05-01",6,1240
"Ross Burton","2009-05-01",1,1240
"Dan Winship","2009-06-01",8,1240
"Gustavo Noronha Silva","2009-06-01",1,1240
"Dan Winship","2009-07-01",12,1240
"Gustavo Noronha Silva","2009-07-01",1,1240
"Dan Winship","2009-08-01",20,1240
"Dan Winship","2009-09-01",5,1240
"Xan Lopez","2009-09-01",1,1240
"Alejandro G. Castro","2009-10-01",1,1240
"Dan Winship","2009-10-01",5,1240
"Dan Winship","2009-11-01",14,1240
"Benjamin Otte","2009-12-01",1,1240
"Dan Winship","2009-12-01",13,1240
"Gustavo Noronha Silva","2009-12-01",1,1240
"Dan Winship","2010-01-01",7,1240
"Xan Lopez","2010-01-01",1,1240
"Dan Winship","2010-02-01",7,1240
"Dan Winship","2010-03-01",4,1240
"Gustavo Noronha Silva","2010-03-01",1,1240
"Andreas Rottmann","2010-04-01",1,1240
"Dan Winship","2010-04-01",9,1240
"Dan Winship","2010-05-01",10,1240
"Gustavo Noronha Silva","2010-05-01",1,1240
"Dan Winship","2010-06-01",16,1240
"Dan Winship","2010-07-01",5,1240
"Dan Winship","2010-08-01",1,1240
"Dan Winship","2010-09-01",3,1240
"Dan Winship","2010-10-01",3,1240
"Dan Winship","2010-11-01",10,1240
"Dan Winship","2010-12-01",11,1240
"Sergio Villar Senin","2010-12-01",3,1240
"Dan Winship","2011-01-01",3,1240
"Sergio Villar Senin","2011-01-01",1,1240
"Dan Winship","2011-02-01",2,1240
"Gustavo Noronha Silva","2011-02-01",1,1240
"Sergio Villar Senin","2011-02-01",1,1240
"Dan Winship","2011-03-01",6,1240
"Dan Winship","2011-04-01",4,1240
"Sergio Villar Senin","2011-04-01",2,1240
"Dan Winship","2011-05-01",1,1240
"Sergio Villar Senin","2011-05-01",1,1240
"Xan Lopez","2011-05-01",1,1240
"Dan Winship","2011-06-01",2,1240
"Sergio Villar Senin","2011-06-01",7,1240
"Dan Winship","2011-07-01",3,1240
"Sergio Villar Senin","2011-07-01",1,1240
"Dan Winship","2011-08-01",5,1240
"Dan Winship","2011-09-01",11,1240
"Sergio Villar Senin","2011-09-01",2,1240
"Dan Winship","2011-10-01",17,1240
"Sergio Villar Senin","2011-10-01",2,1240
"Dan Winship","2011-11-01",8,1240
"Dan Winship","2011-12-01",7,1240
"Dan Winship","2012-01-01",8,1240
"Sergio Villar Senin","2012-01-01",3,1240
"Dan Winship","2012-02-01",10,1240
"Dan Winship","2012-03-01",4,1240
"Simon Mcvittie","2012-03-01",1,1240
"Dan Winship","2012-04-01",10,1240
"Sergio Villar Senin","2012-04-01",2,1240
"Dan Winship","2012-05-01",15,1240
"Colin Walters","2012-06-01",2,1240
"Dan Winship","2012-06-01",6,1240
"Sergio Villar Senin","2012-06-01",1,1240
"Alban Browaeys","2012-07-01",1,1240
"Carlos Garcia Campos","2012-07-01",1,1240
"Dan Winship","2012-07-01",30,1240
"Pawel Forysiuk","2012-07-01",1,1240
"Sergio Villar Senin","2012-07-01",2,1240
"Dan Winship","2012-08-01",17,1240
"Gustavo Noronha Silva","2012-08-01",3,1240
"Sergio Villar Senin","2012-08-01",5,1240
"Dan Winship","2012-09-01",8,1240
"Martin Robinson","2012-09-01",1,1240
"Sergio Villar Senin","2012-09-01",1,1240
"Dan Winship","2012-10-01",11,1240
"Gustavo Noronha Silva","2012-10-01",1,1240
"Dan Winship","2012-11-01",8,1240
"Dan Winship","2012-12-01",32,1240
"Dan Winship","2013-01-01",14,1240
"Sergio Villar Senin","2013-01-01",3,1240
"Dan Winship","2013-02-01",8,1240
"Sergio Villar Senin","2013-02-01",3,1240
"Dan Winship","2013-03-01",2,1240
"Sergio Villar Senin","2013-03-01",1,1240
"Dan Winship","2013-04-01",6,1240
"Sergio Villar Senin","2013-04-01",1,1240
"Dan Winship","2013-05-01",6,1240
"Dan Winship","2013-06-01",3,1240
"David Woodhouse","2013-06-01",1,1240
"Dan Winship","2013-07-01",6,1240
"Dan Winship","2013-08-01",16,1240
"Dan Winship","2013-09-01",5,1240
"Dan Winship","2013-10-01",5,1240
"Dan Winship","2013-11-01",8,1240
"Dan Winship","2013-12-01",8,1240
"Gustavo Noronha Silva","2013-12-01",8,1240
"Dan Winship","2014-01-01",5,1240
"Dan Winship","2014-02-01",1,1240
"Dan Winship","2014-03-01",12,1240
"Dan Winship","2014-05-01",2,1240
"Dan Winship","2014-06-01",3,1240
"David Woodhouse","2014-06-01",1,1240
"Dan Winship","2014-07-01",3,1240
"Carlos Garcia Campos","2014-09-01",1,1240
"Dan Winship","2014-11-01",5,1240
"Dan Winship","2014-12-01",8,1240
"Dan Winship","2015-01-01",4,1240
"Carlos Garcia Campos","2015-02-01",4,1240
"Dan Winship","2015-02-01",3,1240
"Dan Winship","2015-03-01",11,1240
"Dan Winship","2015-05-01",1,1240
"Dan Winship","2015-07-01",1,1240
"Xavier Claessens","2015-07-01",2,1240
"Xavier Claessens","2015-08-01",1,1240
"Dan Winship","2015-09-01",2,1240
"Ignacio Casal Quinteiro","2015-09-01",1,1240
"Dan Winship","2015-10-01",2,1240
"Ignacio Casal Quinteiro","2015-10-01",1,1240
"Dan Winship","2016-01-01",1,1240
"Adrien Plazas","2016-03-01",1,1240
"Guido Guenther","2016-03-01",1,1240
"Dan Winship","2016-05-01",1,1240
"Dan Winship","2016-06-01",1,1240
"Dan Winship","2016-07-01",2,1240
"Dan Winship","2016-09-01",1,1240
"Dan Winship","2017-04-01",1,1240
"Dan Winship","2017-05-01",3,1240
"Dan Winship","2017-07-01",1,1240
"Dan Winship","2017-08-01",2,1240
"Tomas Popela","2017-10-01",1,1240
"Italo Guerrieri","2017-12-01",8,1240
"Claudio Saavedra","2018-06-01",1,1240
"Claudio Saavedra","2018-08-01",3,1240
"Claudio Saavedra","2018-09-01",9,1240
"Claudio Saavedra","2018-12-01",1,1240
"Patrick Griffis","2019-02-01",1,1240
"Carlos Garcia Campos","2019-06-01",7,1240
"Claudio Saavedra","2019-06-01",2,1240
"Patrick Griffis","2019-06-01",1,1240
"Carlos Garcia Campos","2019-07-01",5,1240
"Carlos Garcia Campos","2019-08-01",2,1240
"Claudio Saavedra","2019-08-01",4,1240
"Carlos Garcia Campos","2019-09-01",1,1240
"Claudio Saavedra","2019-09-01",1,1240
"Patrick Griffis","2019-11-01",1,1240
"Carlos Garcia Campos","2020-01-01",1,1240
"Patrick Griffis","2020-01-01",1,1240
"Patrick Griffis","2020-02-01",1,1240
"Patrick Griffis","2020-03-01",8,1240
"Carlos Garcia Campos","2020-07-01",1,1240
"Patrick Griffis","2020-07-01",1,1240
"Patrick Griffis","2020-08-01",3,1240
"Carlos Garcia Campos","2020-09-01",3,1240
"Patrick Griffis","2020-09-01",4,1240
"Carlos Garcia Campos","2020-10-01",11,1240
"Patrick Griffis","2020-10-01",8,1240
"Carlos Garcia Campos","2020-11-01",16,1240
"Patrick Griffis","2020-11-01",10,1240
"Carlos Garcia Campos","2020-12-01",2,1240
"Patrick Griffis","2020-12-01",14,1240
