desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Chun-Wei Fan,! (G_OS_WIN32) || (__USE_MINGW_ANSI_STDIO == 1) || (_MSC_VER >= 1900),1,0.693,0.693,0.0,1,soup-auth-ntlm.c,1,1,100.0,1.0,100.0,1.0,1,0.16666666666666666,11.11111111111111,0.9821873255543234,1.0
Dan Winship,! (HAVE_GETADDRINFO) || ! (HAVE_GETNAMEINFO),1,1.099,1.099,0.0,1,soup-dns.c,2,1,100.0,1.0,100.0,1.0,2,0.04878048780487805,0.45351473922902497,1.0095035098875704,1.0
Dan Winship,(GCRY_THREAD_OPTION_PTHREAD_IMPL) && !(G_OS_WIN32),1,1.099,1.099,0.0,1,soup-gnutls.c,2,1,100.0,1.0,100.0,1.0,2,0.10526315789473684,1.4492753623188406,1.0095035098875704,1.0
Chun-Wei Fan,(G_OS_WIN32),1,1.386,0.693,1.099,2,soup-session.c,1,1,50.0,1.0,33.333,0.5,1,0.09090909090909091,1.7241379310344827,0.8639217126792015,0.924092898136537
Ignacio Casal Quinteiro,(G_OS_WIN32),0,1.386,1.099,0.693,2,soup-init.c,1,1,100.0,1.0,66.667,1.0,1,0.16666666666666666,4.761904761904762,0.9348862159002924,1.0
Ignacio Casal Quinteiro,(G_OS_WIN32),0,1.386,1.099,0.693,2,soup-session.c,1,0,50.0,1.0,66.667,1.0,2,0.18181818181818182,3.4482758620689653,0.9348862159002924,1.0
Chun-Wei Fan,(G_OS_WIN32) &&  (_MSC_VER),1,1.099,0.693,0.693,1,auth-test.c,1,1,50.0,1.0,50.0,1.0,1,0.06666666666666667,4.166666666666667,0.9075700315670454,1.0
Ignacio Casal Quinteiro,(G_OS_WIN32) &&  (_MSC_VER),0,1.099,0.693,0.693,1,auth-test.c,1,0,50.0,1.0,50.0,1.0,2,0.13333333333333333,8.333333333333334,0.9075700315670454,1.0
Dan Winship,(HAVE_GETADDRINFO),1,1.099,1.099,0.0,1,soup-dns.c,2,1,100.0,1.0,100.0,1.0,4,0.0975609756097561,0.9070294784580499,1.0095035098875704,1.0
Dan Winship,(HAVE_GETHOSTBYNAME_R_GLIBC),1,1.609,1.609,0.0,2,soup-address.c,2,1,100.0,1.0,100.0,1.0,2,0.043478260869565216,0.3389830508474576,1.0439178321606852,1.0
Dan Winship,(HAVE_GETHOSTBYNAME_R_GLIBC),1,1.609,1.609,0.0,2,soup-dns.c,2,1,100.0,1.0,100.0,1.0,6,0.14634146341463414,1.3605442176870748,1.0439178321606852,1.0
Dan Winship,(HAVE_GETHOSTBYNAME_R_GLIB_MUTEX),1,1.609,1.609,0.0,2,soup-address.c,2,1,100.0,1.0,100.0,1.0,4,0.08695652173913043,0.6779661016949152,1.0439178321606852,1.0
Dan Winship,(HAVE_GETHOSTBYNAME_R_GLIB_MUTEX),1,1.609,1.609,0.0,2,soup-dns.c,2,1,100.0,1.0,100.0,1.0,8,0.1951219512195122,1.8140589569160999,1.0439178321606852,1.0
Dan Winship,(HAVE_INET_PTON),1,1.946,2.079,0.0,2,soup-address.c,3,1,150.0,1.0,116.667,1.0,7,0.15217391304347827,1.1864406779661016,1.0755819766629704,1.0
Dan Winship,(HAVE_INET_PTON),1,1.946,2.079,0.0,2,soup-dns.c,4,1,100.0,1.0,116.667,1.0,12,0.2926829268292683,2.7210884353741496,1.0755819766629704,1.0
Dan Winship,(IPPROTO_IPV6) &&  (IPV6_V6ONLY),1,1.099,0.693,0.693,1,soup-socket.c,1,1,50.0,1.0,50.0,1.0,1,0.01694915254237288,0.1264222503160556,0.9075700315670454,1.0
Patrick Griffis,(IPPROTO_IPV6) &&  (IPV6_V6ONLY),0,1.099,0.693,0.693,1,soup-socket.c,1,0,50.0,1.0,50.0,1.0,2,0.03389830508474576,0.2528445006321112,0.9075700315670454,1.0
Alex,DUMP,1,1.099,0.693,0.693,1,soup-transfer.c,1,1,50.0,1.0,50.0,1.0,1,0.14285714285714285,4.3478260869565215,0.9075700315670454,1.0
Dan Winship,DUMP,0,1.099,0.693,0.693,1,soup-transfer.c,1,0,50.0,1.0,50.0,1.0,2,0.2857142857142857,8.695652173913043,0.9075700315670454,1.0
Dan Winship,EAI_OVERFLOW,1,1.099,1.099,0.0,1,soup-dns.c,2,1,100.0,1.0,100.0,1.0,14,0.34146341463414637,3.1746031746031744,1.0095035098875704,1.0
Alex,EPROTO		/* OpenBSD does not have EPROTO */,1,1.946,1.386,1.386,3,soup-socket.c,2,1,50.0,1.0,50.0,1.0,4,0.06779661016949153,0.5056890012642224,0.8796500631340909,1.0
Alex,EPROTO		/* OpenBSD does not have EPROTO */,1,1.946,1.386,1.386,3,soup-socket-unix.c,1,1,100.0,1.0,50.0,1.0,1,0.045454545454545456,0.45871559633027525,0.8796500631340909,1.0
Dan Winship,EPROTO		/* OpenBSD does not have EPROTO */,0,1.946,1.386,1.386,3,soup-address.c,1,1,100.0,1.0,50.0,1.0,8,0.17391304347826086,1.3559322033898304,0.8796500631340909,1.0
Dan Winship,EPROTO		/* OpenBSD does not have EPROTO */,0,1.946,1.386,1.386,3,soup-socket.c,2,0,50.0,1.0,50.0,1.0,6,0.1016949152542373,0.7585335018963337,0.8796500631340909,1.0
Dan Winship,FIXME,1,1.609,1.386,0.693,2,chunk-test.c,1,1,50.0,1.0,75.0,1.0,1,0.25,14.285714285714286,0.9542673571213689,1.0
Dan Winship,FIXME,1,1.609,1.386,0.693,2,soup-message.c,2,1,100.0,1.0,75.0,1.0,2,0.6666666666666666,40.0,0.9542673571213689,1.0
David Woodhouse,FIXME,0,1.609,0.693,1.386,2,chunk-test.c,1,0,50.0,1.0,25.0,0.333,2,0.5,28.571428571428573,0.8329527375797673,0.8728714561634406
Dan Winship,GCRY_THREAD_OPTION_PTHREAD_IMPL,1,1.099,1.099,0.0,1,soup-gnutls.c,2,1,100.0,1.0,100.0,1.0,4,0.21052631578947367,2.898550724637681,1.0095035098875704,1.0
Dan Winship,GNUTLS_CERT_NOT_TRUSTED,1,1.099,1.099,0.0,1,soup-gnutls.c,2,1,100.0,1.0,100.0,1.0,6,0.3157894736842105,4.3478260869565215,1.0095035098875704,1.0
Ignacio Casal Quinteiro,G_DEFINE_CONSTRUCTOR_NEEDS_PRAGMA,1,0.693,0.693,0.0,1,soup-init.c,1,1,100.0,1.0,100.0,1.0,2,0.3333333333333333,9.523809523809524,0.9821873255543234,1.0
Dan Winship,G_DISABLE_CHECKS,1,0.693,0.693,0.0,1,soup-message-headers.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Alex,G_ENABLE_DEBUG,1,1.609,0.693,1.386,3,soup-socket-unix.c,1,1,100.0,1.0,25.0,0.5,2,0.09090909090909091,0.9174311926605505,0.8329527375797673,0.9346020185765651
Dan Winship,G_ENABLE_DEBUG,0,1.609,0.693,1.386,3,soup-address.c,1,1,100.0,1.0,25.0,0.5,9,0.1956521739130435,1.5254237288135593,0.8329527375797673,0.9346020185765651
Rodrigo Moya,G_ENABLE_DEBUG,0,1.609,1.099,1.099,3,soup-soap-message.c,2,1,100.0,1.0,50.0,1.0,2,1.0,100.0,0.8912378970124486,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,getbug.c,2,1,100.0,1.0,64.286,1.0,2,0.5,33.333333333333336,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,soup-value-utils.c,1,1,50.0,1.0,64.286,1.0,1,0.16666666666666666,4.761904761904762,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,soup-xmlrpc.c,1,1,100.0,1.0,64.286,1.0,1,0.2,6.666666666666667,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,xmlrpc-server-test.c,1,1,100.0,1.0,64.286,1.0,1,0.3333333333333333,25.0,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,xmlrpc-test.c,1,1,100.0,1.0,64.286,1.0,1,0.2,7.6923076923076925,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,soup-proxy-resolver.c,1,1,50.0,1.0,64.286,1.0,1,0.16666666666666666,4.761904761904762,0.8977322508526088,1.0
Dan Winship,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,1,2.708,2.303,1.792,10,soup-session.c,2,1,100.0,1.0,64.286,1.0,4,0.36363636363636365,6.896551724137931,0.8977322508526088,1.0
Patrick Griffis,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,0,2.708,1.386,2.485,10,xmlrpc-old-server-test.c,1,1,100.0,1.0,21.429,0.333,1,1.0,100.0,0.7613844502589688,0.8481197478823497
Patrick Griffis,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,0,2.708,1.386,2.485,10,xmlrpc-old-test.c,1,1,100.0,1.0,21.429,0.333,1,0.5,33.333333333333336,0.7613844502589688,0.8481197478823497
Patrick Griffis,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,0,2.708,1.386,2.485,10,soup-proxy-resolver.c,1,0,50.0,1.0,21.429,0.333,2,0.3333333333333333,9.523809523809524,0.7613844502589688,0.8481197478823497
Xavier Claessens,G_GNUC_BEGIN_IGNORE_DEPRECATIONS,0,2.708,1.099,2.565,10,soup-value-utils.c,1,0,50.0,1.0,14.286,0.222,2,0.3333333333333333,9.523809523809524,0.733386711556836,0.8169325663195369
