"Desenvolvedor","Data","Commits","Total"
"James Clark","1997-11-01",23,988
"James Clark","1997-12-01",14,988
"James Clark","1998-01-01",3,988
"James Clark","1998-02-01",17,988
"James Clark","1998-03-01",4,988
"James Clark","1998-04-01",2,988
"James Clark","1998-05-01",11,988
"James Clark","1998-06-01",23,988
"James Clark","1998-08-01",2,988
"James Clark","1998-09-01",1,988
"James Clark","1998-10-01",1,988
"James Clark","1998-11-01",21,988
"James Clark","1998-12-01",4,988
"James Clark","1999-01-01",1,988
"James Clark","1999-03-01",5,988
"James Clark","1999-04-01",2,988
"James Clark","1999-05-01",2,988
"James Clark","1999-06-01",12,988
"James Clark","1999-07-01",2,988
"James Clark","1999-09-01",1,988
"James Clark","1999-10-01",2,988
"James Clark","2000-01-01",1,988
"James Clark","2000-04-01",3,988
"James Clark","2000-05-01",3,988
"Clark Cooper","2000-09-01",1,988
"Fred L. Drake, Jr.","2001-03-01",1,988
"Fred L. Drake, Jr.","2001-07-01",3,988
"Fred L. Drake, Jr.","2002-04-01",3,988
"Fred L. Drake, Jr.","2002-05-01",1,988
"Fred L. Drake, Jr.","2002-07-01",1,988
"Fred L. Drake, Jr.","2002-08-01",1,988
"Karl Waclawek","2003-09-01",1,988
"Fred L. Drake, Jr.","2003-10-01",2,988
"Greg Stein","2003-10-01",1,988
"Fred L. Drake, Jr.","2004-04-01",1,988
"Fred L. Drake, Jr.","2004-07-01",1,988
"Fred L. Drake, Jr.","2005-01-01",3,988
"Steven Solie","2005-12-01",2,988
"Karl Waclawek","2006-01-01",1,988
"Steven Solie","2006-03-01",2,988
"Karl Waclawek","2006-04-01",1,988
"Fred L. Drake, Jr.","2006-07-01",2,988
"Steven Solie","2007-06-01",3,988
"Steven Solie","2009-01-01",2,988
"Steven Solie","2009-02-01",1,988
"Steven Solie","2009-08-01",1,988
"Sebastian Pipping","2016-03-01",12,988
"Sebastian Pipping","2016-05-01",3,988
"Sebastian Pipping","2016-06-01",3,988
"Sebastian Pipping","2016-07-01",2,988
"Rhodri James","2017-01-01",6,988
"Rhodri James","2017-02-01",135,988
"Rhodri James","2017-03-01",79,988
"Sebastian Pipping","2017-03-01",1,988
"Rhodri James","2017-04-01",33,988
"Sebastian Pipping","2017-04-01",1,988
"Rhodri James","2017-05-01",21,988
"Sebastian Pipping","2017-05-01",20,988
"Rhodri James","2017-06-01",89,988
"Sebastian Pipping","2017-06-01",10,988
"Rhodri James","2017-07-01",81,988
"Sebastian Pipping","2017-07-01",25,988
"Rhodri James","2017-08-01",127,988
"Sebastian Pipping","2017-08-01",11,988
"Sebastian Pipping","2017-09-01",95,988
"Sebastian Pipping","2017-10-01",5,988
"Sebastian Pipping","2017-12-01",2,988
"Rhodri James","2018-07-01",1,988
"Sebastian Pipping","2018-08-01",2,988
"Sebastian Pipping","2018-10-01",1,988
"Sebastian Pipping","2019-06-01",4,988
"Sebastian Pipping","2019-07-01",4,988
"Mitch Phillips","2019-08-01",1,988
"Sebastian Pipping","2019-08-01",3,988
"Sebastian Pipping","2019-09-01",5,988
"Sebastian Pipping","2019-10-01",2,988
"Sebastian Pipping","2020-03-01",1,988
"Sebastian Pipping","2020-05-01",1,988
"Sebastian Pipping","2020-07-01",1,988
"Sebastian Pipping","2020-10-01",6,988
