desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Karl Waclawek,benchmark.c,1,True,XML_LARGE_SIZE,3,"0c62e320f8ab28b9c9001bc5a7f18e4eb0933f60  -  2003-09-04 16:01:54+00:00, efcfaa79a9129040c99331aa9ecaf430b427e791  -  2006-01-01 21:17:41+00:00, 74a3f4673d9e6aba785a99d9d740848b4a08620e  -  2006-04-07 20:25:43+00:00",4.215499265120773,1.0,Misto,Autor
"Fred L. Drake, Jr.",chardata.c,1,True,HAVE_EXPAT_CONFIG_H,6,"198ab270fe5c8f5ec2bc97e770732e590636298e  -  2002-04-25 04:04:42+00:00, d29adbd972361a01bc90091420b1c583e946252d  -  2002-04-29 17:09:31+00:00, 0767c2ce1716c32421b196adcb421a9e657acf08  -  2002-04-29 17:10:26+00:00, f122dd821c3355e042fb1c36c57ba4a502e499d6  -  2002-05-21 21:39:18+00:00, 99609421a806c11bb50de6a462bcb2edd23e3709  -  2003-10-16 04:51:11+00:00, d1df594ca280e86b7218e9cd8e57af5984b307c3  -  2004-04-30 03:18:11+00:00",3.537870185148911,0.959886842911284,Misto,Colaborador
Greg Stein,chardata.c,1,True,HAVE_CHECK_H,1,c02e8784e7706a2baf6a53ea6b40c1d389c87ebb  -  2003-10-09 21:32:28+00:00,3.68571588544619,1.0,Misto,Autor
James Clark,codepage.c,1,True,WIN32,8,"10c3740f1e91ba522eaa44157b8df3a44f3360b4  -  1998-06-01 12:12:51+00:00, 84835ac373b2b82260078286d6c09e155565d502  -  1998-06-02 08:57:14+00:00, 0e864d50fbfdd2479a06b81c769b8d8a1347ce30  -  1998-06-03 07:52:49+00:00, 78d38a3fd0c0e91f08a3f6ec3c6dabefe47ccad3  -  1998-06-17 11:32:18+00:00, 1fb7b5aba9ea33c324f3811a3b5f6214f8b55364  -  1998-11-24 09:31:04+00:00, 973ad606fde0f7b553a413409b28096032d4aa95  -  1999-05-29 02:19:21+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",4.855862597193502,1.0,Misto,Autor
James Clark,ct.c,0,True,,3,"e157ebf61808971abdd0af8cef311dc7efc30230  -  1999-06-24 09:39:06+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",4.3663704301086534,1.0,Generalista,Autor
James Clark,demo.c,0,True,,2,"80b4895ce5848e7a55185f0c90d4357aeb3a75fb  -  1998-06-21 08:10:47+00:00, cbfa2aaecea8b3dc9f61b19dbc34892b130bf2e2  -  1999-06-24 08:48:58+00:00",4.719,1.0,Generalista,Autor
James Clark,dllmain.c,0,True,,6,"1197596d3b880a3a2877512bbe58bf3e7db83226  -  1997-11-11 05:52:10+00:00, d4ee1a1ee1b6d0ffe4060dff2c1a398b77bb8f53  -  1998-04-05 15:11:29+00:00, 1fb7b5aba9ea33c324f3811a3b5f6214f8b55364  -  1998-11-24 09:31:04+00:00, 973ad606fde0f7b553a413409b28096032d4aa95  -  1999-05-29 02:19:21+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",5.022345455337537,1.0,Generalista,Autor
"Fred L. Drake, Jr.",elements.c,0,True,,7,"86474275a1259856c231f7a096d747756eae8552  -  2001-03-01 04:18:28+00:00, c566467bd922a174c8c8d8dafb0ca333d1876056  -  2001-07-25 17:11:39+00:00, 86b7ae104dfd4e8a7f6f6635fa76ccca975d498c  -  2001-07-26 21:54:43+00:00, 749b7fb3a1a1c73bc2cc3087bf2fc44b8964ce9d  -  2001-07-26 21:55:33+00:00, 2c0609269781254a72c326a33480bf91083358e5  -  2002-07-01 14:45:51+00:00, e573251a942b8e97ae8a6060baf7dbada31457dd  -  2002-08-02 19:40:09+00:00, 2bba3d20f567d61e850f2798966e6201eea8bb4a  -  2003-10-15 16:25:44+00:00",3.448775372471981,0.8987854171806391,Generalista,Colaborador
James Clark,elements.c,0,True,,3,"89687a2bfdbf435b9845a983d9af237d6c6c93df  -  1998-06-21 08:22:20+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",3.837151011295104,1.0,Generalista,Autor
Sebastian Pipping,elements.c,2,True,(__amigaos__) && (__USE_INLINE__),9,"796085674a9ba4500326d16e6a00597347b0db96  -  2016-03-12 02:59:53+01:00, 69746f5ab29f3c2813bf56ccd928009914d1c8c7  -  2016-05-07 16:45:58+02:00, 4f862dddf9d9260cd2448a5b62932cefe1705cdc  -  2017-06-07 20:24:21+02:00, 8706f69ca728e9310230e5b0db361e4defda06d3  -  2017-06-07 20:27:02+02:00, a704c940a4247f6e7da6ba1e2fa66981916fa728  -  2017-08-12 20:56:14+02:00, c1e1a84c8258088b13b9d1b53019b5affa6289ec  -  2017-08-26 17:01:59+02:00, 850c0922e1b4a2d33a80370b740a084990c15812  -  2017-12-03 18:11:00+01:00, 36fa081cfe84b9edc9a638a0fccd38ae5bb85db9  -  2019-08-29 18:51:03+02:00, 6b1996334139e6d175d2bb7ceda6a30b0342c418  -  2019-09-16 20:53:23+02:00",3.807369940189169,0.9922387544774051,Misto,Colaborador
