commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
1197596d3b880a3a2877512bbe58bf3e7db83226,1997-11-01,James Clark,dllmain.c,1,True,,Generalista,Autor,100.0,Major
80b9565677c63f990c6fb8844641b40fcf93563d,1997-11-01,James Clark,readfilemap.c,5,True,O_BINARY,Misto,Autor,100.0,Major
80b9565677c63f990c6fb8844641b40fcf93563d,1997-11-01,James Clark,readfilemap.c,,,S_IFMT,Misto,Autor,100.0,Major
80b9565677c63f990c6fb8844641b40fcf93563d,1997-11-01,James Clark,readfilemap.c,,,S_IFREG,Misto,Autor,100.0,Major
80b9565677c63f990c6fb8844641b40fcf93563d,1997-11-01,James Clark,readfilemap.c,,,S_ISREG,Misto,Autor,100.0,Major
80b9565677c63f990c6fb8844641b40fcf93563d,1997-11-01,James Clark,readfilemap.c,,,_O_BINARY,Misto,Autor,100.0,Major
1197596d3b880a3a2877512bbe58bf3e7db83226,1997-11-01,James Clark,wfcheck.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
9651443ca7e1384b2973a7e8a745e8ab3650cce9,1997-11-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
9501138aae44531844959be873943fb088b40d9e,1997-11-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
0ea9bf349b5cf84befe63c0c83a8e2305605d274,1997-11-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
a2c83c96b51d6ddbddc393d389912e55cc876056,1997-11-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
6a9cec2f7a0a019214cc52128f20258b70c3abc2,1997-11-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
098f26ac79665fd34e1a43510d121fd6e5a9ce2d,1997-11-01,James Clark,win32filemap.c,1,True,,Misto,Autor,100.0,Major
e8060e4e7af9936f2134ba461d66e497efc5fccd,1997-11-01,James Clark,wxmltok.c,1,False,,Misto,Autor,100.0,Major
cc8670632848c642cefa410b4d5c87dfc33bc12b,1997-11-01,James Clark,xmlec.c,2,True,FILEMAP,Misto,Autor,100.0,Major
cc8670632848c642cefa410b4d5c87dfc33bc12b,1997-11-01,James Clark,xmlec.c,,,_MSC_VER,Misto,Autor,100.0,Major
23b2379b34fbbb5125337be1ed82dc5057b850ee,1997-11-01,James Clark,xmlec.c,1,False,,Misto,Autor,100.0,Major
c4894ae2f72ca9cdeed8a68f7914c5c63bec2a5b,1997-11-01,James Clark,xmlec.c,1,False,_MSC_VER,Misto,Autor,100.0,Major
9ecf53290886ef13aab2a047b1403055e707ef47,1997-11-01,James Clark,xmlec.c,1,True,,Misto,Autor,100.0,Major
c31097545215fc7a027b9f8d354c8fd48a9910a8,1997-11-01,James Clark,xmlec.c,2,True,FILEMAP,Misto,Autor,100.0,Major
c31097545215fc7a027b9f8d354c8fd48a9910a8,1997-11-01,James Clark,xmlec.c,,,_MSC_VER,Misto,Autor,100.0,Major
a5be2324445a2764d58ae4e5c834fafff3e672c2,1997-11-01,James Clark,xmlrole.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
7af19499b0d46e1d4ebc59b897005b86063c5128,1997-11-01,James Clark,xmlrole.c,1,True,,Misto,Autor,100.0,Major
cc8670632848c642cefa410b4d5c87dfc33bc12b,1997-11-01,James Clark,xmltok.c,3,True,UNICODE,Misto,Autor,100.0,Major
cc8670632848c642cefa410b4d5c87dfc33bc12b,1997-11-01,James Clark,xmltok.c,,,_MSC_VER,Misto,Autor,100.0,Major
cc8670632848c642cefa410b4d5c87dfc33bc12b,1997-11-01,James Clark,xmltok.c,,,FILEMAP,Misto,Autor,100.0,Major
7e8cd9500b89d9ef6ec733f3b0e158bee4a4cf67,1997-11-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
9ecf53290886ef13aab2a047b1403055e707ef47,1997-11-01,James Clark,xmltok.c,2,True,UNICODE,Misto,Autor,100.0,Major
9ecf53290886ef13aab2a047b1403055e707ef47,1997-11-01,James Clark,xmltok.c,,,_MSC_VER,Misto,Autor,100.0,Major
69f024438207f34c1f901bd525e1fb25b7cbf19a,1997-11-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
84be77b536589cb4de709281600f3d4743b45def,1997-11-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
9651443ca7e1384b2973a7e8a745e8ab3650cce9,1997-11-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
9501138aae44531844959be873943fb088b40d9e,1997-11-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
7834fbbf8adf0cfd7a0fa209c5b04351553b1287,1997-11-01,James Clark,xmltok_impl.c,1,True,PREFIX,Misto,Autor,100.0,Major
16e9434927be6d833b4c4d6484ec41253ec70804,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
69f024438207f34c1f901bd525e1fb25b7cbf19a,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
9651443ca7e1384b2973a7e8a745e8ab3650cce9,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
9501138aae44531844959be873943fb088b40d9e,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
a2c83c96b51d6ddbddc393d389912e55cc876056,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
8a1833a65fa1277c9b807471a274d34b5f283365,1997-11-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
1197596d3b880a3a2877512bbe58bf3e7db83226,1997-11-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
9651443ca7e1384b2973a7e8a745e8ab3650cce9,1997-11-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
9501138aae44531844959be873943fb088b40d9e,1997-11-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
cd5fb875b403c25c93a8e0d4a2b47a34ce17a38d,1997-11-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
6a9cec2f7a0a019214cc52128f20258b70c3abc2,1997-11-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
f237c0f54756134e88c2194b2a49044266fb5c62,1997-12-01,James Clark,gennmtab.c,1,True,,Misto,Autor,100.0,Major
f237c0f54756134e88c2194b2a49044266fb5c62,1997-12-01,James Clark,hashtable.c,1,True,,Misto,Autor,100.0,Major
ded70873bc6dcb7a46df89dde56d27a0523635f2,1997-12-01,James Clark,hashtable.c,1,True,,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,readfilemap.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,wfcheck.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
8b6b5840ee63e7bfd57a04d30d3ced7aa621f332,1997-12-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
cecd64f6ab0a6f408e29a74eb1bf7f99199476f6,1997-12-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
b2eeefe571ad89eece362565066cfce9944e2d61,1997-12-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
e2482813bfdac777d7f7dd1592f2852b3756aea4,1997-12-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
b07d0e520811d83b792124ab09a574d779efc7d5,1997-12-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
f237c0f54756134e88c2194b2a49044266fb5c62,1997-12-01,James Clark,wfcheckmessage.c,1,True,,Misto,Autor,100.0,Major
207924eb8dc55aa8fcab2abef025b1751febed23,1997-12-01,James Clark,wfcheckmessage.c,1,True,,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,win32filemap.c,1,True,,Misto,Autor,100.0,Major
42bc6a2d962292fc956ed5ad238d25466bfd46e9,1997-12-01,James Clark,xmlec.c,2,True,O_BINARY,Misto,Autor,100.0,Major
42bc6a2d962292fc956ed5ad238d25466bfd46e9,1997-12-01,James Clark,xmlec.c,,,_O_BINARY,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,xmlrole.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
b2eeefe571ad89eece362565066cfce9944e2d61,1997-12-01,James Clark,xmlrole.c,1,True,,Misto,Autor,100.0,Major
b07d0e520811d83b792124ab09a574d779efc7d5,1997-12-01,James Clark,xmlrole.c,1,True,,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,xmltok.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
8b6b5840ee63e7bfd57a04d30d3ced7aa621f332,1997-12-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
dc8aa626cc0f93638896578fd64e6011434a5f7f,1997-12-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
db6a73f853760ccab1bc113b7d21c4542b8479ef,1997-12-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
8b6b5840ee63e7bfd57a04d30d3ced7aa621f332,1997-12-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
dc8aa626cc0f93638896578fd64e6011434a5f7f,1997-12-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
b2eeefe571ad89eece362565066cfce9944e2d61,1997-12-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
2a4f91e330fb0028c139244e8ca732de8cb47c72,1997-12-01,James Clark,xmltok_impl.c,1,True,,Misto,Autor,100.0,Major
9f41c277f9c936c607b7d06b40daa88ee091e449,1997-12-01,James Clark,xmlwf.c,1,True,,Misto,Autor,100.0,Major
12693c93cad6cf1bddc894c889a6cb1fa3177ac6,1997-12-01,James Clark,xmlwf.c,1,True,_MSC_VER,Misto,Autor,100.0,Major
2fd2484a0a7b479467cffbf66a64c1e14152a1ad,1998-01-01,James Clark,xmlrole.c,1,True,MIN_BYTES_PER_CHAR,Misto,Autor,100.0,Major
2ec75e44bcc1747c7105900dbb241e9755ea0179,1998-01-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
56440b93f33cc8198219ce97fc82266f60796eaf,1998-01-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
67bf333e47e9bcf47d91798995daa4a1649f5016,1998-02-01,James Clark,wfcheck.c,1,True,,Misto,Autor,100.0,Major
c70ed036c98d5454b9d5b5ded9b449f70769c204,1998-02-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
fdad370c5b718bcf1aad9478d3c4c68c00498219,1998-02-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
332b10d36c6def31ff97a3b312e8c68acd6d6bc2,1998-02-01,James Clark,xmltok.c,1,True,,Misto,Autor,100.0,Major
