desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Sebastian Pipping,! (HAVE_ARC4RANDOM_BUF) && ! (HAVE_ARC4RANDOM),1,1.099,1.099,0.0,1,xmlparse.c,2,1,100.0,1.0,100.0,1.0,2,0.014598540145985401,0.03108003108003108,1.0095035098875704,1.0
Clang-Format,! (HAVE_GETRANDOM) && ! (HAVE_SYSCALL_GETRANDOM)             \,1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,3,0.021897810218978103,0.046620046620046623,0.9821873255543234,1.0
Rhodri James,! (XML_UNICODE),0,1.099,0.693,0.693,1,runtests.c,1,0,50.0,1.0,50.0,1.0,1,0.01694915254237288,0.19342359767891681,0.9075700315670454,1.0
Sebastian Pipping,! (XML_UNICODE),1,1.099,0.693,0.693,1,runtests.c,1,1,50.0,1.0,50.0,1.0,2,0.03389830508474576,0.38684719535783363,0.9075700315670454,1.0
Rhodri James,! (XML_UNICODE) || (XML_UNICODE_WCHAR_T),1,0.693,0.693,0.0,1,runtests.c,1,1,100.0,1.0,100.0,1.0,3,0.05084745762711865,0.5802707930367504,0.9821873255543234,1.0
Clang-Format,! (_GNU_SOURCE),1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,4,0.029197080291970802,0.06216006216006216,0.9821873255543234,1.0
Sebastian Pipping,! (_WIN32),1,1.099,1.099,0.0,1,xmlparse.c,2,1,100.0,1.0,100.0,1.0,6,0.043795620437956206,0.09324009324009325,1.0095035098875704,1.0
Clang-Format,! (_WIN32) && ! (_WIN64),1,0.693,0.693,0.0,1,readfilemap.c,1,1,100.0,1.0,100.0,1.0,1,0.045454545454545456,0.43478260869565216,0.9821873255543234,1.0
Clang-Format,! (_WIN32) && (XML_DEV_URANDOM),0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,7,0.051094890510948905,0.10878010878010878,0.9075700315670454,1.0
Sebastian Pipping,! (_WIN32) && (XML_DEV_URANDOM),1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,8,0.058394160583941604,0.12432012432012432,0.9075700315670454,1.0
Jose,! (__cplusplus),1,0.693,0.693,0.0,1,runtests.c,1,1,100.0,1.0,100.0,1.0,4,0.06779661016949153,0.7736943907156673,0.9821873255543234,1.0
Clang-Format,!(HAVE_GETRANDOM) && !(HAVE_SYSCALL_GETRANDOM) \,0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,9,0.06569343065693431,0.13986013986013987,0.9075700315670454,1.0
Sebastian Pipping,!(HAVE_GETRANDOM) && !(HAVE_SYSCALL_GETRANDOM) \,1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,10,0.072992700729927,0.1554001554001554,0.9075700315670454,1.0
Clang-Format,!(LOAD_LIBRARY_SEARCH_SYSTEM32),0,1.099,0.693,0.693,1,loadlibrary.c,1,0,50.0,1.0,50.0,1.0,1,0.0625,0.9615384615384616,0.9075700315670454,1.0
Sebastian Pipping,!(LOAD_LIBRARY_SEARCH_SYSTEM32),1,1.099,0.693,0.693,1,loadlibrary.c,1,1,50.0,1.0,50.0,1.0,2,0.125,1.9230769230769231,0.9075700315670454,1.0
Clang-Format,!(LOAD_WITH_ALTERED_SEARCH_PATH),0,1.099,0.693,0.693,1,loadlibrary.c,1,0,50.0,1.0,50.0,1.0,3,0.1875,2.8846153846153846,0.9075700315670454,1.0
Sebastian Pipping,!(LOAD_WITH_ALTERED_SEARCH_PATH),1,1.099,0.693,0.693,1,loadlibrary.c,1,1,50.0,1.0,50.0,1.0,4,0.25,3.8461538461538463,0.9075700315670454,1.0
Sebastian Pipping,!(WIN32) && !(_WIN32) && !(_WIN64),1,1.099,1.099,0.0,1,readfilemap.c,2,1,100.0,1.0,100.0,1.0,3,0.13636363636363635,1.3043478260869565,1.0095035098875704,1.0
Clang-Format,!(_GNU_SOURCE),0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,11,0.08029197080291971,0.17094017094017094,0.9075700315670454,1.0
Sebastian Pipping,!(_GNU_SOURCE),1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,12,0.08759124087591241,0.1864801864801865,0.9075700315670454,1.0
Clang-Format,!(_WIN32) && !(_WIN64),0,1.099,0.693,0.693,1,readfilemap.c,1,0,50.0,1.0,50.0,1.0,4,0.18181818181818182,1.7391304347826086,0.9075700315670454,1.0
Sebastian Pipping,!(_WIN32) && !(_WIN64),1,1.099,0.693,0.693,1,readfilemap.c,1,1,50.0,1.0,50.0,1.0,5,0.22727272727272727,2.1739130434782608,0.9075700315670454,1.0
