"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"1995-07-01","Guy Schalnat","Misto",0,0,1,1
"1995-09-01","Guy Schalnat","Misto",0,0,1,1
"1995-11-01","Guy Schalnat","Misto",0,0,1,1
"1995-12-01","Guy Schalnat","Misto",0,0,1,1
"1996-01-01","Guy Schalnat","Misto",0,0,1,1
"1996-06-01","Guy Schalnat","Misto",0,0,1,1
"1998-01-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-02-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-03-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-04-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-05-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-06-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1998-12-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1999-01-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1999-09-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1999-10-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1999-11-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"1999-12-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-02-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-03-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-04-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-05-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-06-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-07-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-11-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2000-12-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-01-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-03-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-04-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-05-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-06-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-08-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-09-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-10-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-11-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2001-12-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-02-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-03-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-04-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-05-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-06-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-07-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-08-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-09-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2002-10-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2004-07-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2004-08-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2004-09-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2004-11-01","Glenn Randers-Pehrson","Misto",0,0,2,2
"2004-12-01","Glenn Randers-Pehrson","Misto",0,0,2,2
