desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Glenn Randers-Pehrson,PngFile.c,6,True,!(PNG_NO_STDIO),28,"db66d448018c031b581702bc8e60788022cfe430  -  2000-06-23 21:38:16-05:00, 1f2d559f70c0aad278aa28bcf723cfd5e00e0825  -  2000-06-09 08:46:21-05:00, 1394480f4b6567279e5a41b38277407fb9b50abd  -  2000-06-24 07:42:42-05:00, 3d5a520610bf787e5c6e3fccf9814de73f548e64  -  2000-07-01 15:37:28-05:00, 1909560348060a8968f4e21c128ce9c6fccab008  -  2001-03-14 07:08:39-06:00, 1fd5fb33c22ed68f75861ddffc2db1110105f33b  -  2001-05-06 05:34:26-05:00, 3e61d7985c883bf2beea27513a7249a9f520bcd2  -  2009-06-24 09:31:28-05:00, e0dc4c8a1e30b7784b121495ab8840afabc3dcc0  -  2009-06-25 12:17:26-05:00, bfbf86558ceb375b46694aa15d9fb57fd57213bb  -  2009-06-26 21:46:52-05:00, eba11d2ba503969335c4146a38e8d6083fe6570c  -  2009-06-28 20:26:26-05:00, fec191d3cce7dc3cdfa12af6ad686c3f10436a9f  -  2009-07-11 07:13:56-05:00, 12a11c521bc9c9d9e2288eabc21c76190798ce92  -  2009-07-19 13:31:53-05:00, 77d0cdef0277bb061b341df78cae0ff1cbf4303b  -  2009-08-31 11:18:25-05:00, 7aacd895eec167b94303890299662418ab9f1da3  -  2009-11-09 10:47:12-06:00, ec3f94987458831a00481735f9096bc9a82229bb  -  2009-11-09 10:49:12-06:00, 7e3a82cd9cdd6b9619a7ababce4f1dadf5e6fbaf  -  2010-01-02 23:05:45-06:00, af855e415d541ac2bc3a6730fc0019a13fc37274  -  2011-05-07 10:52:49-05:00, 850769f7873a05d758e0f016b4e6113f84a160f1  -  2011-06-16 09:08:53-05:00, fb29e51dbd835c4135802e63cc192e06c01ce2a6  -  2011-06-17 20:38:24-05:00, ef43c17bfe1c5dfb02729287ea6dbd735ca62726  -  2011-09-03 09:53:07-05:00, 6e4184249c17953cec5c6374e66ab2b5bacefc3a  -  2011-12-29 20:57:39-06:00, 981560ae6094f0b0557e82c33d7ae5f7d81ca0ea  -  2012-06-14 06:28:09-05:00, f1b547a5093b6262588d912ba92c642cc1768fd0  -  2014-11-04 23:33:46-06:00, da7a1e79afb4ccaa32ed2b877b096bd817282577  -  2014-11-20 09:33:25-06:00, b9c62013efb0519456a6a407beb30f10ef3a3a42  -  2015-11-12 07:00:12-06:00, 170a44b222d56c5310bb938246c1212c30089723  -  2017-04-23 17:33:10-05:00, 11c25c0e9e1e5726badf6420013413d3a4df24fb  -  2017-04-23 18:48:32-05:00, 8c552ddf5b114d20e34154ac370bff2c19193cc1  -  2017-06-28 13:46:04-05:00",7.439999510080516,1.0,Misto,Colaborador
Glenn Randers-Pehrson,PngFile.c,,,PNG_NO_CONSOLE_IO,,,,,,Colaborador
Glenn Randers-Pehrson,PngFile.c,,,PNG_NO_STDIO,,,,,,Colaborador
Glenn Randers-Pehrson,PngFile.c,,,PNG_CONSOLE_IO_SUPPORTED,,,,,,Colaborador
Glenn Randers-Pehrson,PngFile.c,,,PNG_STDIO_SUPPORTED,,,,,,Colaborador
Glenn Randers-Pehrson,PngFile.c,,,PNG_READ_16_TO_8_SUPPORTED,,,,,,Colaborador
Glenn Randers-Pehrson,VisualPng.c,0,True,,14,"db66d448018c031b581702bc8e60788022cfe430  -  2000-06-23 21:38:16-05:00, 3e61d7985c883bf2beea27513a7249a9f520bcd2  -  2009-06-24 09:31:28-05:00, e0dc4c8a1e30b7784b121495ab8840afabc3dcc0  -  2009-06-25 12:17:26-05:00, bfbf86558ceb375b46694aa15d9fb57fd57213bb  -  2009-06-26 21:46:52-05:00, eba11d2ba503969335c4146a38e8d6083fe6570c  -  2009-06-28 20:26:26-05:00, fec191d3cce7dc3cdfa12af6ad686c3f10436a9f  -  2009-07-11 07:13:56-05:00, 12a11c521bc9c9d9e2288eabc21c76190798ce92  -  2009-07-19 13:31:53-05:00, af855e415d541ac2bc3a6730fc0019a13fc37274  -  2011-05-07 10:52:49-05:00, ef43c17bfe1c5dfb02729287ea6dbd735ca62726  -  2011-09-03 09:53:07-05:00, 6e4184249c17953cec5c6374e66ab2b5bacefc3a  -  2011-12-29 20:57:39-06:00, 981560ae6094f0b0557e82c33d7ae5f7d81ca0ea  -  2012-06-14 06:28:09-05:00, 170a44b222d56c5310bb938246c1212c30089723  -  2017-04-23 17:33:10-05:00, 11c25c0e9e1e5726badf6420013413d3a4df24fb  -  2017-04-23 18:48:32-05:00, 8c552ddf5b114d20e34154ac370bff2c19193cc1  -  2017-06-28 13:46:04-05:00",6.334345455337537,1.0,Generalista,Autor
Glenn Randers-Pehrson,android-ndk.c,0,True,,3,"4df37bfa4f79dcd742fca6155e26b8d37b591c30  -  2014-03-06 12:35:04-06:00, 1cc02f0395aa85e71927c5a45b4bc8091a7d9ef8  -  2014-03-06 12:35:04-06:00, 8c552ddf5b114d20e34154ac370bff2c19193cc1  -  2017-06-28 13:46:04-05:00",3.4323454553375368,0.8499332873842356,Generalista,Colaborador
John Bowler,android-ndk.c,0,True,,1,dba54b8888605387bb498bfa8feac20fd68bd5bb  -  2014-02-16 14:00:06-06:00,4.038370430108653,1.0,Generalista,Autor
Glenn Randers-Pehrson,ansi2knr.c,4,True,BSD,3,"7cd899c707e1678a03af531b16c01d9632919568  -  1998-03-07 16:17:42-06:00, 896239be2083baca76bdfbd7ea9d859da64c63f7  -  1998-04-21 15:03:57-05:00, 4393a9ad6bfe8f7d95d6cd3fa130c34704a61352  -  1999-09-17 12:27:26-05:00",3.3399995100805153,0.7525912300111813,Misto,Colaborador
