desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Glenn Randers-Pehrson,!(INT_MAX) || (INT_MAX <= 0x7ffffffeL),1,1.099,1.099,0.0,1,pngmem.c,2,1,100.0,1.0,100.0,1.0,2,0.044444444444444446,0.425531914893617,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(MAXSEG_64K) && (PNG_MAX_MALLOC_64K),1,1.099,1.099,0.0,1,pngtest.c,2,1,100.0,1.0,100.0,1.0,2,0.005063291139240506,0.006001680470531749,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,png.c,14,1,350.0,1.0,134.375,1.0,14,0.022617124394184167,0.026451027811366386,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pnggccrd.c,10,1,111.111,1.0,134.375,1.0,10,0.03861003861003861,0.09405568096313018,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pngread.c,3,1,100.0,1.0,134.375,1.0,3,0.0057361376673040155,0.005446128710175184,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pngwrite.c,3,1,100.0,1.0,134.375,1.0,3,0.005747126436781609,0.0056767650008515145,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pngvcrd.c,4,1,100.0,1.0,134.375,1.0,4,0.0625,0.796812749003984,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pngrtran.c,4,1,100.0,1.0,134.375,1.0,4,0.009009009009009009,0.010046717235143417,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_1_0_X),1,3.497,3.784,0.0,7,pngtrans.c,5,1,100.0,1.0,134.375,1.0,5,0.09615384615384616,0.5630630630630631,1.1904308556370733,1.0
Glenn Randers-Pehrson,!(PNG_ASSEMBLER_CODE_SUPPORTED) || \,1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,2,0.00338409475465313,0.0034696320455215725,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_HAVE_MMX_COMBINE_ROW),1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,4,0.00676818950930626,0.006939264091043145,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_HAVE_MMX_READ_FILTER_ROW),1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,6,0.01015228426395939,0.010408896136564717,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_HAVE_MMX_READ_INTERLACE),1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,8,0.01353637901861252,0.01387852818208629,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_NO_CHECK_cHRM),1,2.639,2.708,0.0,3,png.c,5,1,125.0,1.0,107.692,1.0,19,0.030694668820678513,0.03589782345828295,1.1179313420482557,1.0
Glenn Randers-Pehrson,!(PNG_NO_CHECK_cHRM),1,2.639,2.708,0.0,3,pngset.c,5,1,100.0,1.0,107.692,1.0,5,0.01557632398753894,0.029857876507822765,1.1179313420482557,1.0
Glenn Randers-Pehrson,!(PNG_NO_CHECK_cHRM),1,2.639,2.708,0.0,3,pngwutil.c,4,1,100.0,1.0,107.692,1.0,4,0.012658227848101266,0.02025111381125962,1.1179313420482557,1.0
Glenn Randers-Pehrson,!(PNG_NO_CONSOLE_IO),1,1.386,1.386,0.0,1,pngwutil.c,3,1,100.0,1.0,100.0,1.0,7,0.022151898734177215,0.03543944916970433,1.028884651108647,1.0
Andreas Dilger,!(PNG_NO_STDIO),1,3.526,0.693,3.497,8,png.c,1,1,33.333,0.167,3.03,0.028,20,0.03231017770597738,0.037787182587666265,0.10667967656245692,0.09050179783607931
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngrio.c,3,1,100.0,1.0,109.091,1.0,3,0.1,1.1070110701107012,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngrtran.c,2,1,100.0,1.0,109.091,1.0,6,0.013513513513513514,0.015070075852715125,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngrutil.c,8,1,100.0,1.0,109.091,1.0,16,0.02707275803722504,0.02775705636417258,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngtest.c,3,1,100.0,1.0,109.091,1.0,5,0.012658227848101266,0.015004201176329373,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngwio.c,3,1,100.0,1.0,109.091,1.0,3,0.06382978723404255,0.5474452554744526,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,pngwutil.c,8,1,100.0,1.0,109.091,1.0,15,0.04746835443037975,0.07594167679222358,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,PngFile.c,3,1,100.0,1.0,109.091,1.0,3,0.21428571428571427,5.660377358490566,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO),0,3.526,3.611,0.0,8,png.c,6,0,200.0,1.0,109.091,1.0,26,0.0420032310177706,0.049123337363966145,1.1787575397748413,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO) && !(_WIN32_WCE),1,3.091,3.091,0.0,5,pngrtran.c,5,1,100.0,1.0,100.0,1.0,11,0.024774774774774775,0.027628472396644396,1.1437335300827498,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO) && !(_WIN32_WCE),1,3.091,3.091,0.0,5,pngrutil.c,3,1,100.0,1.0,100.0,1.0,19,0.032148900169204735,0.032961504432454936,1.1437335300827498,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO) && !(_WIN32_WCE),1,3.091,3.091,0.0,5,pngwutil.c,3,1,100.0,1.0,100.0,1.0,18,0.056962025316455694,0.0911300121506683,1.1437335300827498,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO) && !(_WIN32_WCE),1,3.091,3.091,0.0,5,pngread.c,5,1,100.0,1.0,100.0,1.0,8,0.015296367112810707,0.01452300989380049,1.1437335300827498,1.0
Glenn Randers-Pehrson,!(PNG_NO_STDIO) && !(_WIN32_WCE),1,3.091,3.091,0.0,5,pngwrite.c,5,1,100.0,1.0,100.0,1.0,8,0.01532567049808429,0.015138040002270706,1.1437335300827498,1.0
Glenn Randers-Pehrson,!(PNG_NO_WARNINGS) || !(PNG_NO_ERROR_TEXT),1,1.609,1.609,0.0,1,pngerror.c,4,1,100.0,1.0,100.0,1.0,4,0.05333333333333334,0.39447731755424065,1.0439178321606852,1.0
Glenn Randers-Pehrson,!(PNG_OPTIMIZED_CODE_SUPPORTED),1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,21,0.03553299492385787,0.03643113647797651,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_READ_EXPAND_SUPPORTED),1,1.386,1.386,0.0,1,pngrtran.c,3,1,100.0,1.0,100.0,1.0,14,0.03153153153153153,0.03516351032300196,1.028884651108647,1.0
Glenn Randers-Pehrson,!(PNG_READ_GAMMA_SUPPORTED) && !(PNG_READ_SHIFT_SUPPORTED) \,1,1.099,0.693,0.693,1,pngrtran.c,1,1,50.0,1.0,50.0,1.0,15,0.033783783783783786,0.037675189631787814,0.9075700315670454,1.0
John Bowler,!(PNG_READ_GAMMA_SUPPORTED) && !(PNG_READ_SHIFT_SUPPORTED) \,0,1.099,0.693,0.693,1,pngrtran.c,1,0,50.0,1.0,50.0,1.0,16,0.036036036036036036,0.04018686894057367,0.9075700315670454,1.0
Andreas Dilger,!(PNG_READ_OPT_PLTE_SUPPORTED),0,2.197,0.693,2.079,3,pngpread.c,1,0,50.0,1.0,12.5,0.25,1,0.004464285714285714,0.013082155939298797,0.7583354435924892,0.87098734316849
Glenn Randers-Pehrson,!(PNG_READ_OPT_PLTE_SUPPORTED),0,2.197,1.386,1.792,3,pngrutil.c,3,0,75.0,1.0,37.5,0.75,24,0.04060913705583756,0.04163558454625887,0.8360017442462468,0.9601910925536935
Guy Schalnat,!(PNG_READ_OPT_PLTE_SUPPORTED),1,2.197,1.609,1.609,3,pngread.c,2,1,100.0,1.0,50.0,1.0,10,0.019120458891013385,0.018153762367250612,0.8706618408871544,1.0
Guy Schalnat,!(PNG_READ_OPT_PLTE_SUPPORTED),1,2.197,1.609,1.609,3,pngpread.c,1,1,50.0,1.0,50.0,1.0,2,0.008928571428571428,0.026164311878597593,0.8706618408871544,1.0
Guy Schalnat,!(PNG_READ_OPT_PLTE_SUPPORTED),1,2.197,1.609,1.609,3,pngrutil.c,1,1,25.0,0.333,50.0,1.0,25,0.04230118443316413,0.043370400569019654,0.4710154508871545,0.5409855224701439
Glenn Randers-Pehrson,!(PNG_READ_PACKSWAP_SUPPORTED),1,1.386,1.386,0.0,1,pngrutil.c,3,1,100.0,1.0,100.0,1.0,28,0.047377326565143825,0.048574848637302014,1.028884651108647,1.0
Glenn Randers-Pehrson,!(PNG_READ_USER_CHUNKS_SUPPORTED),1,1.386,1.386,0.0,1,pngrutil.c,3,1,100.0,1.0,100.0,1.0,31,0.05245346869712352,0.05377929670558437,1.028884651108647,1.0
Glenn Randers-Pehrson,!(PNG_READ_tIME_SUPPORTED) && !(PNG_WRITE_tIME_SUPPORTED),1,1.099,1.099,0.0,1,pngtest.c,2,1,100.0,1.0,100.0,1.0,7,0.017721518987341773,0.02100588164686112,1.0095035098875704,1.0
Andreas Dilger,!(PNG_USELESS_TESTS_SUPPORTED),1,1.386,0.693,1.099,1,pngrtran.c,1,1,33.333,0.5,33.333,0.5,17,0.038288288288288286,0.04269854824935952,0.5643367126792015,0.6036421364237862
Glenn Randers-Pehrson,!(PNG_USELESS_TESTS_SUPPORTED),0,1.386,1.099,0.693,1,pngrtran.c,2,0,66.667,1.0,66.667,1.0,19,0.04279279279279279,0.04772190686693123,0.9348862159002924,1.0
Glenn Randers-Pehrson,!(PNG_USE_PNGGCCRD) &&  !(PNG_USE_PNGVCRD),1,1.099,1.099,0.0,1,pngrutil.c,2,1,100.0,1.0,100.0,1.0,33,0.05583756345177665,0.057248928751105946,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_USE_PNGGCCRD) && !(PNG_USE_PNGVCRD),1,1.609,1.946,0.0,2,pngrutil.c,2,1,100.0,1.0,150.0,1.0,35,0.05922165820642978,0.06071856079662752,1.0665859667418565,1.0
Glenn Randers-Pehrson,!(PNG_USE_PNGGCCRD) && !(PNG_USE_PNGVCRD),1,1.609,1.946,0.0,2,png.c,4,1,200.0,1.0,150.0,1.0,30,0.048465266558966075,0.0566807738814994,1.0665859667418565,1.0
Glenn Randers-Pehrson,!(PNG_USE_PNGGCCRD) && \,1,1.386,1.386,0.0,1,png.c,3,1,100.0,1.0,100.0,1.0,33,0.05331179321486268,0.062348851269649334,1.028884651108647,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_BGR_SUPPORTED) && (PNG_READ_BGR_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,9,0.017241379310344827,0.017030295002554544,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_FILLER_SUPPORTED) && (PNG_READ_FILLER_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,10,0.019157088122605363,0.018922550002838382,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_INVERT_SUPPORTED) && (PNG_READ_INVERT_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,11,0.0210727969348659,0.02081480500312222,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_PACKSWAP_SUPPORTED) && (PNG_READ_PACKSWAP_SUPPORTED),1,1.386,1.386,0.0,1,pngwrite.c,3,1,100.0,1.0,100.0,1.0,14,0.02681992337164751,0.026491570003973737,1.028884651108647,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_PACKSWAP_SUPPORTED) && \,1,1.099,1.099,0.0,1,pngwrite.c,2,1,100.0,1.0,100.0,1.0,16,0.03065134099616858,0.030276080004541413,1.0095035098875704,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_PACK_SUPPORTED) && (PNG_READ_PACK_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,17,0.032567049808429116,0.03216833500482525,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_SHIFT_SUPPORTED) && (PNG_READ_SHIFT_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,18,0.034482758620689655,0.03406059000510909,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_WRITE_SWAP_SUPPORTED) && (PNG_READ_SWAP_SUPPORTED),1,0.693,0.693,0.0,1,pngwrite.c,1,1,100.0,1.0,100.0,1.0,19,0.03639846743295019,0.035952845005392926,0.9821873255543234,1.0
Glenn Randers-Pehrson,!(PNG_tIME_SUPPORTED),1,1.386,1.386,0.0,1,pngtest.c,3,1,100.0,1.0,100.0,1.0,10,0.02531645569620253,0.030008402352658746,1.028884651108647,1.0
Glenn Randers-Pehrson,!(_WIN32_WCE),1,2.398,2.398,0.0,3,pngtest.c,3,1,100.0,1.0,100.0,1.0,13,0.03291139240506329,0.03901092305845637,1.097036204528426,1.0
