"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2005-07-01","Aris Adamantiadis","Misto",0,0,1,1
"2005-08-01","Aris Adamantiadis","Misto",0,0,1,1
"2005-09-01","Aris Adamantiadis","Misto",0,0,1,1
"2005-10-01","Aris Adamantiadis","Misto",0,0,1,1
"2005-11-01","Aris Adamantiadis","Misto",0,0,1,1
"2005-11-01","Jean-Philippe Garcia Ballester","Misto",0,0,2,2
"2005-12-01","Aris Adamantiadis","Misto",0,0,2,2
"2006-07-01","Jean-Philippe Garcia Ballester","Misto",0,0,2,2
"2006-11-01","Aris Adamantiadis","Misto",0,0,2,2
"2006-12-01","Aris Adamantiadis","Misto",0,0,2,2
"2007-03-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-03-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-05-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-06-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-10-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-11-01","Aris Adamantiadis","Misto",0,0,2,2
"2008-12-01","Andreas Schneider","Generalista",0,1,2,3
"2008-12-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-02-01","Andreas Schneider","Misto",0,0,3,3
"2009-02-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-03-01","Andreas Schneider","Misto",0,0,3,3
"2009-03-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-04-01","Andreas Schneider","Misto",0,0,3,3
"2009-05-01","Andreas Schneider","Misto",0,0,3,3
"2009-06-01","Andreas Schneider","Misto",0,0,3,3
"2009-06-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-07-01","Andreas Schneider","Misto",0,0,3,3
"2009-07-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-08-01","Andreas Schneider","Misto",0,0,3,3
"2009-08-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-09-01","Andreas Schneider","Misto",0,0,3,3
"2009-09-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-10-01","Andreas Schneider","Misto",0,0,3,3
"2009-10-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-11-01","Andreas Schneider","Misto",0,0,3,3
"2009-11-01","Aris Adamantiadis","Misto",0,0,3,3
"2009-12-01","Andreas Schneider","Misto",0,0,3,3
"2009-12-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-01-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-02-01","Andreas Schneider","Misto",0,0,3,3
"2010-02-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-03-01","Andreas Schneider","Misto",0,0,3,3
"2010-03-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-04-01","Andreas Schneider","Misto",0,0,3,3
"2010-04-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-05-01","Andreas Schneider","Misto",0,0,3,3
"2010-05-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-06-01","Andreas Schneider","Misto",0,0,3,3
"2010-06-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-07-01","Andreas Schneider","Misto",0,0,3,3
"2010-07-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-08-01","Andreas Schneider","Misto",0,0,3,3
"2010-08-01","Aris Adamantiadis","Misto",0,0,3,3
"2010-09-01","Andreas Schneider","Misto",0,0,3,3
"2010-09-01","Aris Adamantiadis","Misto",0,1,3,4
"2010-09-01","Milo","Generalista",0,1,3,4
"2010-10-01","Aris Adamantiadis","Misto",0,1,3,4
"2010-12-01","Andreas Schneider","Misto",0,1,3,4
"2010-12-01","Aris Adamantiadis","Misto",0,1,3,4
"2011-01-01","Andreas Schneider","Misto",0,1,3,4
"2011-01-01","Aris Adamantiadis","Misto",0,1,3,4
"2011-02-01","Andreas Schneider","Misto",0,1,3,4
"2011-02-01","Aris Adamantiadis","Misto",0,1,4,5
"2011-02-01","Bernhard R. Link","Generalista",0,1,4,5
"2011-02-01","Milo","Misto",0,1,4,5
"2011-03-01","Andreas Schneider","Misto",0,1,4,5
"2011-03-01","Aris Adamantiadis","Misto",0,1,4,5
"2011-04-01","Andreas Schneider","Misto",0,1,4,5
"2011-04-01","Aris Adamantiadis","Misto",0,1,4,5
"2011-05-01","Andreas Schneider","Misto",0,1,4,5
"2011-05-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-05-01","Oliver Stoneberg","Generalista",0,2,4,6
"2011-06-01","Andreas Schneider","Misto",0,2,4,6
"2011-06-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-07-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-08-01","Andreas Schneider","Misto",0,2,4,6
"2011-08-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-09-01","Andreas Schneider","Misto",0,2,4,6
"2011-09-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-10-01","Andreas Schneider","Misto",0,2,4,6
"2011-10-01","Aris Adamantiadis","Misto",0,2,4,6
"2011-11-01","Andreas Schneider","Misto",0,2,4,6
"2011-12-01","Andreas Schneider","Misto",0,2,4,6
"2012-01-01","Andreas Schneider","Misto",0,2,4,6
"2012-02-01","Andreas Schneider","Misto",0,2,4,6
"2012-03-01","Andreas Schneider","Misto",0,2,4,6
"2012-04-01","Andreas Schneider","Misto",0,2,4,6
"2012-05-01","Andreas Schneider","Misto",0,2,4,6
"2012-06-01","Andreas Schneider","Misto",0,2,4,6
"2012-07-01","Andreas Schneider","Misto",0,2,4,6
"2012-09-01","Andreas Schneider","Misto",0,2,4,6
"2012-09-01","Dmitriy Kuznetsov","Generalista",0,3,4,7
"2012-10-01","Andreas Schneider","Misto",0,3,4,7
"2012-10-01","Aris Adamantiadis","Misto",0,3,4,7
"2012-10-01","Dmitriy Kuznetsov","Generalista",0,3,4,7
"2012-11-01","Andreas Schneider","Misto",0,3,4,7
"2012-12-01","Andreas Schneider","Misto",0,3,4,7
"2012-12-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-01-01","Andreas Schneider","Misto",0,3,4,7
"2013-02-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-03-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-04-01","Andreas Schneider","Misto",0,3,4,7
"2013-04-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-05-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-06-01","Andreas Schneider","Misto",0,3,4,7
"2013-06-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-07-01","Andreas Schneider","Misto",0,3,4,7
"2013-07-01","Aris Adamantiadis","Misto",0,3,4,7
"2013-08-01","Andreas Schneider","Misto",0,3,4,7
"2013-09-01","Andreas Schneider","Misto",0,3,4,7
