"Desenvolvedor","Data","Commits","Total"
"Aris Adamantiadis","2005-07-01",5,3066
"Aris Adamantiadis","2005-08-01",26,3066
"Aris Adamantiadis","2005-09-01",1,3066
"Aris Adamantiadis","2005-10-01",8,3066
"Aris Adamantiadis","2005-11-01",3,3066
"Jean-Philippe Garcia Ballester","2005-11-01",1,3066
"Aris Adamantiadis","2005-12-01",2,3066
"Jean-Philippe Garcia Ballester","2006-07-01",1,3066
"Aris Adamantiadis","2006-11-01",3,3066
"Aris Adamantiadis","2006-12-01",3,3066
"Aris Adamantiadis","2007-03-01",1,3066
"Aris Adamantiadis","2008-03-01",12,3066
"Aris Adamantiadis","2008-05-01",7,3066
"Aris Adamantiadis","2008-06-01",10,3066
"Aris Adamantiadis","2008-10-01",2,3066
"Aris Adamantiadis","2008-11-01",4,3066
"Andreas Schneider","2008-12-01",3,3066
"Aris Adamantiadis","2008-12-01",1,3066
"Andreas Schneider","2009-02-01",26,3066
"Aris Adamantiadis","2009-02-01",3,3066
"Andreas Schneider","2009-03-01",36,3066
"Aris Adamantiadis","2009-03-01",3,3066
"Andreas Schneider","2009-04-01",350,3066
"Andreas Schneider","2009-05-01",84,3066
"Andreas Schneider","2009-06-01",6,3066
"Aris Adamantiadis","2009-06-01",9,3066
"Andreas Schneider","2009-07-01",32,3066
"Aris Adamantiadis","2009-07-01",21,3066
"Andreas Schneider","2009-08-01",14,3066
"Aris Adamantiadis","2009-08-01",23,3066
"Andreas Schneider","2009-09-01",24,3066
"Aris Adamantiadis","2009-09-01",31,3066
"Andreas Schneider","2009-10-01",22,3066
"Aris Adamantiadis","2009-10-01",17,3066
"Andreas Schneider","2009-11-01",9,3066
"Aris Adamantiadis","2009-11-01",20,3066
"Andreas Schneider","2009-12-01",8,3066
"Aris Adamantiadis","2009-12-01",24,3066
"Aris Adamantiadis","2010-01-01",37,3066
"Andreas Schneider","2010-02-01",8,3066
"Aris Adamantiadis","2010-02-01",10,3066
"Andreas Schneider","2010-03-01",25,3066
"Aris Adamantiadis","2010-03-01",4,3066
"Andreas Schneider","2010-04-01",22,3066
"Aris Adamantiadis","2010-04-01",18,3066
"Andreas Schneider","2010-05-01",24,3066
"Aris Adamantiadis","2010-05-01",26,3066
