commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,auth1.c,1,True,HAVE_SSH1,Misto,Colaborador,100.0,Major
d40f16d48ec1ed9670c20ffaad1005c59a689484,2005-07-01,Aris Adamantiadis,auth1.c,1,True,HAVE_SSH1,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,base64.c,1,True,,Misto,Autor,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,channels1.c,1,True,HAVE_SSH1,Misto,Colaborador,100.0,Major
d40f16d48ec1ed9670c20ffaad1005c59a689484,2005-07-01,Aris Adamantiadis,channels1.c,1,True,HAVE_SSH1,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,client.c,1,True,,Misto,Colaborador,100.0,Major
636432e47593f145675e40e21bb8c8b6eb6ce8be,2005-07-01,Aris Adamantiadis,client.c,1,True,WITH_SERVER,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,connect.c,5,True,HAVE_GETHOSTBYADDR,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,connect.c,,,HAVE_GETHOSTBYNAME,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,connect.c,,,HAVE_POLL,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,connect.c,,,HAVE_SELECT,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,connect.c,,,HAVE_SYS_POLL_H,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,crc32.c,1,True,,Misto,Autor,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,crypt.c,1,True,DEBUG_CRYPTO,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,dh.c,1,True,DEBUG_CRYPTO,Misto,Colaborador,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,gzip.c,2,True,HAVE_LIBZ,Misto,Autor,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,gzip.c,,,NO_GZIP,Misto,Autor,100.0,Major
c65f56aefa50a2e2a78a0e45564526ecc921d74f,2005-07-01,Aris Adamantiadis,kex.c,4,True,DEBUG_CRYPTO,Misto,Colaborador,100.0,Major
