desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Aris Adamantiadis,!(HAVE_BCRYPT_PBKDF) && (!(HAVE_BLOWFISH_INITSTATE) || \,1,0.693,0.693,0.0,1,blowfish.c,1,1,100.0,1.0,100.0,1.0,1,0.5,33.333333333333336,0.9821873255543234,1.0
Andreas Schneider,!(HAVE_EXPLICIT_BZERO),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,1,0.020833333333333332,0.17921146953405018,0.9821873255543234,1.0
Jakub Jelen,!(HAVE_OPENSSL_EVP_CHACHA20) || !(HAVE_OPENSSL_EVP_POLY1305),1,0.693,0.693,0.0,1,libcrypto.c,1,1,100.0,1.0,100.0,1.0,1,0.022727272727272728,0.12150668286755771,0.9821873255543234,1.0
Andreas Schneider,!(HAVE_POLL) && !(_WIN32),0,1.099,0.693,0.693,1,socket.c,1,0,50.0,1.0,50.0,1.0,1,0.03333333333333333,0.46296296296296297,0.9075700315670454,1.0
Aris Adamantiadis,!(HAVE_POLL) && !(_WIN32),1,1.099,0.693,0.693,1,socket.c,1,1,50.0,1.0,50.0,1.0,2,0.06666666666666667,0.9259259259259259,0.9075700315670454,1.0
Anderson Toshiyuki Sasaki,!(HAVE_PTHREAD) && !( _WIN32 ||  _WIN64),1,0.693,0.693,0.0,1,noop.c,1,1,100.0,1.0,100.0,1.0,1,1.0,100.0,0.9821873255543234,1.0
Andreas Schneider,!(HAVE_SELECT) && !(HAVE_POLL),0,1.099,0.693,0.693,1,socket.c,1,0,50.0,1.0,50.0,1.0,3,0.1,1.3888888888888888,0.9075700315670454,1.0
Aris Adamantiadis,!(HAVE_SELECT) && !(HAVE_POLL),1,1.099,0.693,0.693,1,socket.c,1,1,50.0,1.0,50.0,1.0,4,0.13333333333333333,1.8518518518518519,0.9075700315670454,1.0
Andreas Schneider,!(HAVE_STRNDUP),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,2,0.041666666666666664,0.35842293906810035,0.9821873255543234,1.0
Anderson Toshiyuki Sasaki,( _WIN32) || ( _WIN64),1,0.693,0.693,0.0,1,torture_knownhosts_parsing.c,1,1,100.0,1.0,100.0,1.0,1,0.125,3.225806451612903,0.9821873255543234,1.0
Andreas Schneider,((HAVE_VALGRIND_VALGRIND_H) && (HAVE_OPENSSL_IA32CAP_LOC)),1,0.693,0.693,0.0,1,libcrypto.c,1,1,100.0,1.0,100.0,1.0,2,0.045454545454545456,0.24301336573511542,0.9821873255543234,1.0
Jakub Jelen,(HAVE_DSA) && (WITH_GEX),1,0.693,0.693,0.0,1,pkd_hello.c,1,1,100.0,1.0,100.0,1.0,1,0.08333333333333333,1.492537313432836,0.9821873255543234,1.0
Jon Simons,(HAVE_ECC),1,0.693,0.693,0.0,1,torture_algorithms.c,1,1,100.0,1.0,100.0,1.0,1,0.0625,0.8,0.9821873255543234,1.0
Andreas Schneider,(HAVE_GCC_VOLATILE_MEMORY_PROTECTION),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,3,0.0625,0.5376344086021505,0.9821873255543234,1.0
Anderson Toshiyuki Sasaki,(HAVE_GLOB) && (HAVE_GLOB_GL_FLAGS_MEMBER),0,1.792,0.693,1.609,3,bind_config.c,1,1,100.0,1.0,20.0,0.333,1,0.5,33.333333333333336,0.8089313342807926,0.8883312343765702
Andreas Schneider,(HAVE_GLOB) && (HAVE_GLOB_GL_FLAGS_MEMBER),1,1.792,1.386,1.099,3,config.c,2,1,100.0,1.0,60.0,1.0,2,0.2857142857142857,8.333333333333334,0.9106190382335251,1.0
Andreas Schneider,(HAVE_GLOB) && (HAVE_GLOB_GL_FLAGS_MEMBER),1,1.792,1.386,1.099,3,torture_config.c,1,1,50.0,1.0,60.0,1.0,1,0.16666666666666666,4.761904761904762,0.9106190382335251,1.0
Stanislav Zidek,(HAVE_GLOB) && (HAVE_GLOB_GL_FLAGS_MEMBER),0,1.792,0.693,1.609,3,torture_config.c,1,0,50.0,1.0,20.0,0.333,2,0.3333333333333333,9.523809523809524,0.8089313342807926,0.8883312343765702
Anderson Toshiyuki Sasaki,(HAVE_LIBCRYPTO),0,1.609,1.099,1.099,3,torture_pki_rsa.c,1,1,100.0,1.0,50.0,1.0,1,0.2,7.6923076923076925,0.8912378970124486,1.0
Anderson Toshiyuki Sasaki,(HAVE_LIBCRYPTO),0,1.609,1.099,1.099,3,torture_key.c,1,1,100.0,1.0,50.0,1.0,1,1.0,100.0,0.8912378970124486,1.0
Andreas Schneider,(HAVE_LIBCRYPTO),0,1.609,0.693,1.386,3,kex1.c,1,0,50.0,1.0,25.0,0.5,1,0.1,3.225806451612903,0.8329527375797673,0.9346020185765651
Nikos Mavrogiannopoulos,(HAVE_LIBCRYPTO),1,1.609,0.693,1.386,3,kex1.c,1,1,50.0,1.0,25.0,0.5,2,0.2,6.451612903225806,0.8329527375797673,0.9346020185765651
Andreas Schneider,(HAVE_LIBCRYPTO) && (HAVE_ECC),1,1.099,0.693,0.693,1,torture_algorithms.c,1,1,50.0,1.0,50.0,1.0,2,0.125,1.6,0.9075700315670454,1.0
Jon Simons,(HAVE_LIBCRYPTO) && (HAVE_ECC),0,1.099,0.693,0.693,1,torture_algorithms.c,1,0,50.0,1.0,50.0,1.0,3,0.1875,2.4,0.9075700315670454,1.0
Andreas Schneider,(HAVE_LIBCRYPTO) && (HAVE_OPENSSL_ECC),1,1.099,0.693,0.693,1,pki.c,1,1,50.0,1.0,50.0,1.0,1,0.01639344262295082,0.08539709649871904,0.9075700315670454,1.0
Justus Winter,(HAVE_LIBCRYPTO) && (HAVE_OPENSSL_ECC),0,1.099,0.693,0.693,1,pki.c,1,0,50.0,1.0,50.0,1.0,2,0.03278688524590164,0.1707941929974381,0.9075700315670454,1.0
Anderson Toshiyuki Sasaki,(HAVE_LIBCRYPTO) || (HAVE_LIBMBEDCRYPTO),1,1.946,1.946,0.0,3,torture_pki_dsa.c,2,1,100.0,1.0,100.0,1.0,2,0.5,22.22222222222222,1.0665859667418565,1.0
Anderson Toshiyuki Sasaki,(HAVE_LIBCRYPTO) || (HAVE_LIBMBEDCRYPTO),1,1.946,1.946,0.0,3,torture_pki_ecdsa.c,2,1,100.0,1.0,100.0,1.0,2,0.2857142857142857,7.407407407407407,1.0665859667418565,1.0
Anderson Toshiyuki Sasaki,(HAVE_LIBCRYPTO) || (HAVE_LIBMBEDCRYPTO),1,1.946,1.946,0.0,3,torture_pki_rsa.c,2,1,100.0,1.0,100.0,1.0,3,0.6,23.076923076923077,1.0665859667418565,1.0
Anderson Toshiyuki Sasaki,(HAVE_LIBGCRYPT),0,1.386,0.693,1.099,2,torture_threads_pki_rsa.c,1,1,100.0,1.0,33.333,0.5,1,0.5,33.333333333333336,0.8639217126792015,0.924092898136537
Aris Adamantiadis,(HAVE_LIBGCRYPT),1,1.386,1.099,0.693,2,dh.c,2,1,100.0,1.0,66.667,1.0,2,0.031746031746031744,0.17543859649122806,0.9348862159002924,1.0
Andreas Schneider,(HAVE_LIBGCRYPT) || (HAVE_LIBCRYPTO),0,1.099,0.693,0.693,1,keys.c,1,0,50.0,1.0,50.0,1.0,1,0.022727272727272728,0.43478260869565216,0.9075700315670454,1.0
Oliver Stoneberg,(HAVE_LIBGCRYPT) || (HAVE_LIBCRYPTO),1,1.099,0.693,0.693,1,keys.c,1,1,50.0,1.0,50.0,1.0,2,0.045454545454545456,0.8695652173913043,0.9075700315670454,1.0
Aris Adamantiadis,(HAVE_LIBMBEDCRYPTO),1,1.099,0.693,0.693,1,dh.c,1,1,50.0,1.0,50.0,1.0,3,0.047619047619047616,0.2631578947368421,0.9075700315670454,1.0
Simo Sorce,(HAVE_LIBMBEDCRYPTO),0,1.099,0.693,0.693,1,dh.c,1,0,50.0,1.0,50.0,1.0,4,0.06349206349206349,0.3508771929824561,0.9075700315670454,1.0
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,gzip.c,2,1,100.0,1.0,80.0,1.0,2,0.3333333333333333,10.0,0.9590560502376275,1.0
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,kex.c,3,1,150.0,1.0,80.0,1.0,3,0.061224489795918366,0.3184713375796178,0.9590560502376275,1.0
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,misc.c,2,1,100.0,1.0,80.0,1.0,5,0.10416666666666667,0.8960573476702509,0.9590560502376275,1.0
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,packet.c,2,1,40.0,0.667,80.0,1.0,2,0.05263157894736842,0.5089058524173028,0.7595324402376276,0.7919583428407927
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,torture_algorithms.c,2,1,100.0,1.0,80.0,1.0,5,0.3125,4.0,0.9590560502376275,1.0
Andreas Schneider,(HAVE_LIBZ) && (WITH_LIBZ),1,2.773,2.565,1.386,6,packet1.c,1,0,50.0,1.0,80.0,1.0,1,0.09090909090909091,2.380952380952381,0.9590560502376275,1.0
