"Desenvolvedor","Data","Commits","Total"
"Stefan Buhler","2008-06-01",5,1052
"Stefan Buhler","2008-07-01",18,1052
"Thomas Porzelt","2008-07-01",25,1052
"Stefan Buhler","2008-08-01",34,1052
"Thomas Porzelt","2008-08-01",17,1052
"Stefan Buhler","2008-09-01",29,1052
"Thomas Porzelt","2008-09-01",8,1052
"Stefan Buhler","2008-10-01",4,1052
"Thomas Porzelt","2008-10-01",18,1052
"Stefan Buhler","2008-11-01",11,1052
"Thomas Porzelt","2008-11-01",11,1052
"Stefan Buhler","2008-12-01",14,1052
"Thomas Porzelt","2008-12-01",8,1052
"Stefan Buhler","2009-01-01",15,1052
"Thomas Porzelt","2009-01-01",17,1052
"Stefan Buhler","2009-02-01",3,1052
"Thomas Porzelt","2009-02-01",2,1052
"Stefan Buhler","2009-03-01",31,1052
"Thomas Porzelt","2009-03-01",25,1052
"Stefan Buhler","2009-04-01",16,1052
"Thomas Porzelt","2009-04-01",7,1052
"Stefan Buhler","2009-05-01",1,1052
"Thomas Porzelt","2009-05-01",3,1052
"Stefan Buhler","2009-06-01",5,1052
"Thomas Porzelt","2009-06-01",7,1052
"Stefan Buhler","2009-07-01",26,1052
"Thomas Porzelt","2009-07-01",20,1052
"Stefan Buhler","2009-08-01",6,1052
"Thomas Porzelt","2009-08-01",4,1052
"Stefan Buhler","2009-09-01",50,1052
"Thomas Porzelt","2009-09-01",13,1052
"Stefan Buhler","2009-10-01",57,1052
"Thomas Porzelt","2009-10-01",20,1052
"Stefan Buhler","2009-11-01",26,1052
"Thomas Porzelt","2009-11-01",4,1052
"Stefan Buhler","2009-12-01",16,1052
"Stefan Buhler","2010-01-01",17,1052
"Thomas Porzelt","2010-01-01",4,1052
"Stefan Buhler","2010-02-01",21,1052
"Thomas Porzelt","2010-02-01",5,1052
"Stefan Buhler","2010-03-01",7,1052
"Thomas Porzelt","2010-03-01",1,1052
"Stefan Buhler","2010-04-01",2,1052
"Thomas Porzelt","2010-04-01",12,1052
"Stefan Buhler","2010-05-01",10,1052
"Thomas Porzelt","2010-05-01",11,1052
"Stefan Buhler","2010-06-01",4,1052
"Thomas Porzelt","2010-06-01",9,1052
"Stefan Buhler","2010-07-01",16,1052
"Thomas Porzelt","2010-07-01",8,1052
"Stefan Buhler","2010-08-01",25,1052
"Thomas Porzelt","2010-08-01",1,1052
"Stefan Buhler","2010-09-01",34,1052
"Thomas Porzelt","2010-09-01",13,1052
"Stefan Buhler","2010-10-01",20,1052
"Stefan Buhler","2010-11-01",1,1052
"Thomas Porzelt","2010-11-01",2,1052
"Stefan Buhler","2010-12-01",3,1052
"Thomas Porzelt","2010-12-01",2,1052
"Stefan Buhler","2011-01-01",4,1052
"Stefan Buhler","2011-03-01",1,1052
"Stefan Buhler","2011-04-01",2,1052
"Stefan Buhler","2011-05-01",2,1052
"Thomas Porzelt","2011-05-01",1,1052
"Thomas Porzelt","2011-07-01",1,1052
"Stefan Buhler","2011-08-01",1,1052
"Thomas Porzelt","2011-10-01",1,1052
"Stefan Buhler","2011-11-01",6,1052
"Thomas Porzelt","2011-11-01",5,1052
"Stefan Buhler","2011-12-01",7,1052
"Thomas Porzelt","2011-12-01",1,1052
"Stefan Buhler","2012-01-01",5,1052
"Stefan Buhler","2012-03-01",4,1052
"Stefan Buhler","2012-04-01",1,1052
"Stefan Buhler","2012-06-01",3,1052
"Stefan Buhler","2012-10-01",1,1052
"Stefan Buhler","2012-12-01",2,1052
"Stefan Buhler","2013-01-01",4,1052
"Stefan Buhler","2013-04-01",3,1052
"Stefan Buhler","2013-05-01",57,1052
"Stefan Buhler","2013-06-01",18,1052
"Stefan Buhler","2013-07-01",4,1052
"Stefan Buhler","2013-08-01",30,1052
"Stefan Buhler","2013-09-01",10,1052
"Stefan Buhler","2013-12-01",1,1052
"Stefan Buhler","2014-01-01",1,1052
"Stefan Buhler","2014-02-01",9,1052
"Stefan Buhler","2014-04-01",12,1052
"Stefan Buhler","2014-05-01",7,1052
"Stefan Buhler","2014-06-01",4,1052
"Stefan Buhler","2014-11-01",2,1052
"Stefan Buhler","2014-12-01",2,1052
"Stefan Buhler","2015-01-01",2,1052
"Stefan Buhler","2015-06-01",1,1052
"Stefan Buhler","2015-08-01",8,1052
"Stefan Buhler","2015-12-01",1,1052
"Stefan Buhler","2016-08-01",3,1052
"Stefan Buhler","2016-10-01",1,1052
"Stefan Buhler","2017-01-01",1,1052
"Stefan Buhler","2017-05-01",2,1052
"Stefan Buhler","2017-07-01",5,1052
"Stefan Buhler","2018-09-01",1,1052
"Stefan Buhler","2019-08-01",9,1052
"Stefan Buhler","2020-06-01",2,1052
