desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Gary V. Vaughan,alloca.c,11,True,! (__GNUC__) || __GNUC__ < 2,5,"c2f262a05ac862842363dd86ba47962009c068ac  -  2000-11-24 01:31:32+00:00, 52506d6407a8ff8bc223123adff41cf84b4cf8df  -  2003-10-07 14:10:06+00:00, 1fad880daf644d343ffb8e5820f7ff00cc2a4b58  -  2003-11-13 12:05:57+00:00, 07dce5c8894c2ebe96a38d3c5d23e1cbc1c981a4  -  2004-06-14 11:26:11+00:00, 252b7dbebecc9ab7a286254c26b2f2e8120c4a57  -  2004-09-23 16:29:33+00:00",3.890499755040258,0.9775505200291308,Misto,Colaborador
Gary V. Vaughan,alloca.c,,,(CRAY) &&  (CRAY_STACKSEG_END),,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,ALIGN_SIZE,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,CRAY2,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,CRAY_STACK,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,DEBUG_I00AFUNC,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,HAVE_CONFIG_H,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,STACK_DIRECTION,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,alloca,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,emacs,,,,,,Colaborador
Gary V. Vaughan,alloca.c,,,static,,,,,,Colaborador
Jeff Bailey,alloca.c,11,True,! (__GNUC__) || __GNUC__ < 2,1,bd11691d6520f7539e7ed2efdf75f266719e27e9  -  2000-02-17 03:03:19+00:00,3.979845210377794,1.0,Misto,Autor
Jeff Bailey,alloca.c,,,(CRAY) &&  (CRAY_STACKSEG_END),,,,,,Autor
Jeff Bailey,alloca.c,,,ALIGN_SIZE,,,,,,Autor
Jeff Bailey,alloca.c,,,CRAY2,,,,,,Autor
Jeff Bailey,alloca.c,,,CRAY_STACK,,,,,,Autor
Jeff Bailey,alloca.c,,,DEBUG_I00AFUNC,,,,,,Autor
Jeff Bailey,alloca.c,,,HAVE_CONFIG_H,,,,,,Autor
Jeff Bailey,alloca.c,,,STACK_DIRECTION,,,,,,Autor
Jeff Bailey,alloca.c,,,alloca,,,,,,Autor
Jeff Bailey,alloca.c,,,emacs,,,,,,Autor
Jeff Bailey,alloca.c,,,static,,,,,,Autor
Jeff Bailey,ansi2knr.c,2,True,HAVE_CONFIG_H,1,bd11691d6520f7539e7ed2efdf75f266719e27e9  -  2000-02-17 03:03:19+00:00,4.332499755040257,1.0,Misto,Autor
Jeff Bailey,ansi2knr.c,,,STDC_HEADERS,,,,,,Autor
Gary V. Vaughan,builtin.c,3,True,ENABLE_CHANGEWORD,28,"c2f262a05ac862842363dd86ba47962009c068ac  -  2000-11-24 01:31:32+00:00, 1691fa49fb62043d4f660397c2d15742cb2aa4dd  -  2000-11-24 23:24:33+00:00, b4925d1d03d740be6e518d2851034357739645c9  -  2000-11-29 00:18:03+00:00, 93f6aa339d5a8443ae14108b62fc5e1ab113781f  -  2001-08-16 22:21:30+00:00, 0a7af6da176dd12bcb96b52a6cbc60cea12202b6  -  2001-08-19 10:53:56+00:00, 7053e603ff3768cf3be0b80bb82c58f4d30ed7a4  -  2001-08-20 19:42:38+00:00, 17d52d2909333844becacd4f8b4eb48034ecb8a2  -  2001-09-01 16:10:40+00:00, 95e22ae00e2b4e468fc753feed6e0afac7555b87  -  2001-09-01 20:05:27+00:00, 5e49288b592ef8382db4ddc7b397f9c808a3ab3f  -  2001-09-08 01:40:47+00:00, bce902a7fe4194cc0cfbe75d410ad2f057f78746  -  2001-09-08 01:56:34+00:00, 6c0ddae3701d611c9981505c414f12ab1f0c5217  -  2001-10-11 21:09:15+00:00, 008a582dc6f7e2939a4df30f5d07771babc1defb  -  2001-10-12 19:57:29+00:00, c611d1ade20c646de230bde0192fd16378fcb802  -  2003-06-05 16:12:16+00:00, f54a4fcdfdcbac8177a4082580787400a60e8c40  -  2003-06-06 16:14:05+00:00, b0fc0de4c13a33f1d60b109166f621fc61c19804  -  2003-06-13 13:05:45+00:00, 362858ad9255faf9a6f3f4affa1c691a1ce93e40  -  2003-06-16 10:43:44+00:00, 54070bf3cbb42d625c876f5d903257774f00f244  -  2003-06-16 16:29:06+00:00, f8a2482e5d923aef2935407199ebb98e396e04aa  -  2003-06-17 15:17:45+00:00, 5aa3437efbddcbf9dd3fcca2d39dcdd402633cc1  -  2003-08-12 15:33:56+00:00, f2d311322e171eae94c3daf7fbf5439b38c42f03  -  2003-08-27 17:10:12+00:00, a6290c4d02241dff343a7cfeea79b04c7e120a1e  -  2003-09-05 18:32:26+00:00, e46a681a9fea0deb568d13b51f8b3fab4fa4e4a1  -  2005-05-01 11:10:02+00:00, df369c9870c89fca07ded2e43af870dde74da2de  -  2005-10-27 16:04:02+00:00, b7604d14c003a7c6ad286ab49f092a014d40d92c  -  2007-09-12 01:14:47+00:00, e926b57609bc28600396e482d6f4598816d0dc87  -  2013-09-18 13:19:16+07:00, aeb92bcb25e253b55650961f341640f93ec3b54e  -  2013-09-20 12:00:02+07:00, af658bcf69e62f75ec6ea084ccd84fe052e8e367  -  2013-09-20 18:17:02+07:00, 9f19b5b5d14c1aba2dcd7e0d84a9d12c39dc4487  -  2014-11-20 22:39:01+00:00",6.9571906657153315,1.0,Misto,Colaborador
Gary V. Vaughan,builtin.c,,,WITH_GMP,,,,,,Colaborador
Gary V. Vaughan,builtin.c,,,WITH_MODULES,,,,,,Colaborador
Jeff Bailey,cat-id-tbl.c,0,True,,1,bd11691d6520f7539e7ed2efdf75f266719e27e9  -  2000-02-17 03:03:19+00:00,4.332499755040257,1.0,Generalista,Autor
Akim Demaille,changeword.c,0,True,,1,f6955a7d11b3bc6cd3b5dc7c1498541dcd63e65b  -  2001-08-07 10:41:11+00:00,3.979845210377794,1.0,Generalista,Autor
Gary V. Vaughan,changeword.c,0,True,,5,"1691fa49fb62043d4f660397c2d15742cb2aa4dd  -  2000-11-24 23:24:33+00:00, d7c7dd09fbf95405228c77f32f8f59acc1f27139  -  2000-11-29 23:13:02+00:00, a22e63db30c535a04cfacf7e7f9f8871658aa388  -  2000-12-01 01:22:41+00:00, 0a7af6da176dd12bcb96b52a6cbc60cea12202b6  -  2001-08-19 10:53:56+00:00, 524bc8fc2a70ce52981cf15de5c5791db29dfc54  -  2001-08-30 21:57:00+00:00",3.890499755040258,0.9775505200291308,Generalista,Colaborador
Eric Blake,debug.c,0,True,,25,"c38df922f5733575eb9de52883a4969f4bdc1c5a  -  2006-08-09 21:33:23+00:00, f6cac26a08f20d283d5f2442088ffb0119dde2ef  -  2006-08-22 22:36:28+00:00, c2e093a955214b8aaf4da8dd44bd595b06fea235  -  2006-08-23 11:39:26+00:00, 2bfa4bad6682769f3b1a4a0324b43c7cbcd72d1e  -  2006-09-05 23:16:39+00:00, 52febf6cc7a222b9d92084ce52d16e1f23730c5c  -  2006-09-19 13:16:08+00:00, 898ebd3a478e183c67fc1e0a7e91782edd9f8ce0  -  2006-09-26 21:21:49+00:00, 6ec3170c49321946c958960b4311ad3a57631ecf  -  2006-09-27 12:24:53+00:00, a7fd1e01f7d6214bf1afc2b600c9be8bf5cba938  -  2006-10-05 23:07:27+00:00, 987f57d285283881013f7131adb7f2acc020fd54  -  2006-10-10 12:47:23+00:00, 3cad9b0aaa0c2343d37ba52ee5dd0ff228693ed5  -  2007-04-08 05:06:42+00:00, 4755abc0ee9919c070345861cefd96380be2e2f6  -  2007-07-10 20:48:06+00:00, 5ced71a68dc08d609d56db45882d89279df0c9c7  -  2007-08-07 03:15:24+00:00, f9d8c9ac448afd144085adb30ca5d23c3a0f1351  -  2007-10-22 14:57:28-06:00, f6e28cf9c7345716927f6279f22f085ccfbcde77  -  2007-11-23 15:18:40-07:00, b6c03a0e43954549ed8724b770648678d6cf4edb  -  2007-11-23 16:14:17-07:00, fa34c3f77687fac1d5264955e11a7c704a89e875  -  2007-12-17 09:28:39-07:00, b365ac707f78650ff719f3a295ac0d4c1a6521a2  -  2008-05-28 20:16:23-06:00, 3e33a6b3b9b2529939136c34b1e88bd3ee87a172  -  2008-05-21 06:59:01-06:00, 8eb70fbb1969717d7cfefea93ee9f117fd3933cd  -  2008-08-18 07:22:44-06:00, c70fbd65dd345fa4c96b9ca631d70424c644cbc7  -  2008-08-23 22:51:03-06:00, 268aa74a4cd66160d4c589572294e50f455c2069  -  2008-12-23 14:40:57-07:00, 3e12364a5a32e5947b0c31a2ee6dc5351b7af5e6  -  2009-02-10 14:24:11-07:00, 1270f0e114d5b7f442362a4952f185920886045e  -  2010-01-04 14:12:22-07:00, cdff6b56f2f9e848722f93e45803be19609641b5  -  2009-12-14 13:52:15-07:00, b29e28672d50a42f24801e4c742300012474fe07  -  2017-01-02 07:30:42-06:00",6.347151011295105,1.0,Generalista,Colaborador
Gary V. Vaughan,debug.c,2,True,! (( __STDC__ && __STDC__) ||  PROTOTYPES),21,"c2f262a05ac862842363dd86ba47962009c068ac  -  2000-11-24 01:31:32+00:00, 1691fa49fb62043d4f660397c2d15742cb2aa4dd  -  2000-11-24 23:24:33+00:00, 0a7af6da176dd12bcb96b52a6cbc60cea12202b6  -  2001-08-19 10:53:56+00:00, 7053e603ff3768cf3be0b80bb82c58f4d30ed7a4  -  2001-08-20 19:42:38+00:00, ea42747e1814a3909e170e22fcf6b34b1db710ad  -  2001-08-20 20:25:25+00:00, 64fc3407b9b88f6ccf9d5737b1af7df141b0eae6  -  2001-09-20 03:48:05+00:00, ca6af9acfda5ecb37d3e96fe5b9554568a3138a5  -  2001-09-30 14:43:37+00:00, 9a17e39435d6b053ba955c19bf9c808ab26a0f1a  -  2001-09-30 22:26:57+00:00, 6c0ddae3701d611c9981505c414f12ab1f0c5217  -  2001-10-11 21:09:15+00:00, 8a709ff82625c30c3ae2b43346bd2d0e3901e0a2  -  2003-06-18 16:21:54+00:00, 88f76e24b13243b04e3f5659df9a2feb8701f475  -  2003-06-19 14:51:03+00:00, 5ebfef12566560f8ccde8faa213d16bfbbf609d8  -  2003-06-20 15:43:19+00:00, 8b0c435a0fefed5311e4ed85ad596338a8a72da6  -  2003-06-26 14:57:32+00:00, 5f3919bec950224c43715abe5f4130c016486b50  -  2003-07-23 11:51:26+00:00, 6c8b81309493e66807ba4f507267537041c81f1d  -  2003-07-24 12:16:44+00:00, e3a1824b18955b53f6f1a52862ec62f7e2667618  -  2003-08-15 15:53:03+00:00, f2d311322e171eae94c3daf7fbf5439b38c42f03  -  2003-08-27 17:10:12+00:00, e46a681a9fea0deb568d13b51f8b3fab4fa4e4a1  -  2005-05-01 11:10:02+00:00, 1722215a83e85c5d0edf5e5431925b0a08d1a334  -  2007-04-02 12:06:23+00:00, e926b57609bc28600396e482d6f4598816d0dc87  -  2013-09-18 13:19:16+07:00, 9f19b5b5d14c1aba2dcd7e0d84a9d12c39dc4487  -  2014-11-20 22:39:01+00:00",5.645215640486448,0.8894093791750781,Misto,Colaborador
Gary V. Vaughan,debug.c,,,( __STDC__ && __STDC__) ||  PROTOTYPES,,,,,,Colaborador
