commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,121,True,! (__GNUC__) || __GNUC__ < 2,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,(CRAY) &&  (CRAY_STACKSEG_END),Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,ALIGN_SIZE,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,CRAY2,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,CRAY_STACK,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,DEBUG_I00AFUNC,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,HAVE_CONFIG_H,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,STACK_DIRECTION,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,alloca,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,emacs,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,static,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,STDC_HEADERS,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,ENABLE_CHANGEWORD,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,(VA_START) && __STDC__,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,VA_START,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,WITH_GMP,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,HAVE_EFGCVT,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,! __STDC__ || !__STDC__,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,ELIDE_CODE,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,TEST,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,VMS,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,_,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,_LIBC,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,_NO_PROTO,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,__GNUC__,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,__GNU_LIBRARY__,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,__STDC__ && __STDC__,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,getenv,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,NULL,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,const,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,DEBUG_INPUT,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,BIND_RESTRICTED,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,DLL_EXPORT,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,DYNAMIC_PATH,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,HAVE_DL_H,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,HAVE_PRELOADED_SYMBOLS,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,LTDL_DIRSEP_CHAR,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,LTDL_FILENAME_MAX,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,LTDL_LAZY_OR_NOW,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,LTDL_SHLIBPATH_VAR,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,LTDL_SHLIB_EXT,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,NEED_USCORE,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,RTLD_GLOBAL,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,_WIN32,Misto,Autor,100.0,Major
bd11691d6520f7539e7ed2efdf75f266719e27e9,2000-02-01,Jeff Bailey,alloca.c,,,__BEOS__,Misto,Autor,100.0,Major
