desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Gary V. Vaughan,! (( __STDC__ && __STDC__) ||  PROTOTYPES),1,1.099,1.099,0.0,1,debug.c,2,1,100.0,1.0,100.0,1.0,2,0.5,33.333333333333336,1.0095035098875704,1.0
Gary V. Vaughan,! (_LIBC) &&  (__GNU_LIBRARY__) && __GNU_LIBRARY__ > 1,0,1.099,0.693,0.693,2,obstack.c,1,1,100.0,1.0,50.0,1.0,1,0.05,0.7352941176470589,0.9075700315670454,1.0
Jeff Bailey,! (_LIBC) &&  (__GNU_LIBRARY__) && __GNU_LIBRARY__ > 1,1,1.099,0.693,0.693,2,m4obstack.c,1,1,100.0,1.0,50.0,1.0,1,0.1111111111111111,2.2222222222222223,0.9075700315670454,1.0
Gary V. Vaughan,! (__GNUC__) || __GNUC__ < 2,0,1.609,1.386,0.693,1,alloca.c,3,0,75.0,1.0,75.0,1.0,3,0.10714285714285714,0.9230769230769231,0.9542673571213689,1.0
Jeff Bailey,! (__GNUC__) || __GNUC__ < 2,1,1.609,0.693,1.386,1,alloca.c,1,1,25.0,0.333,25.0,0.333,4,0.14285714285714285,1.2307692307692308,0.43330634757976727,0.4540722726667229
Gary V. Vaughan,! (__STDC__) || !__STDC__,1,1.099,1.099,0.0,2,getopt.c,1,1,100.0,1.0,100.0,1.0,1,0.023255813953488372,0.14992503748125938,1.0095035098875704,1.0
Gary V. Vaughan,! (__STDC__) || !__STDC__,1,1.099,1.099,0.0,2,getopt1.c,1,1,100.0,1.0,100.0,1.0,1,0.04,0.43859649122807015,1.0095035098875704,1.0
Jeff Bailey,! (emacs) && ! (SYNTAX_TABLE),1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,1,0.012195121951219513,0.033967391304347824,0.9821873255543234,1.0
Gary V. Vaughan,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,0,1.609,1.099,1.099,2,getopt.c,1,0,50.0,1.0,50.0,1.0,2,0.046511627906976744,0.29985007496251875,0.8912378970124486,1.0
Gary V. Vaughan,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,0,1.609,1.099,1.099,2,getopt1.c,1,0,50.0,1.0,50.0,1.0,2,0.08,0.8771929824561403,0.8912378970124486,1.0
Jeff Bailey,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.609,1.099,1.099,2,getopt.c,1,1,50.0,1.0,50.0,1.0,3,0.06976744186046512,0.4497751124437781,0.8912378970124486,1.0
Jeff Bailey,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.609,1.099,1.099,2,getopt1.c,1,1,50.0,1.0,50.0,1.0,3,0.12,1.3157894736842106,0.8912378970124486,1.0
Gary V. Vaughan,! _LIBC &&  __GNU_LIBRARY__ && __GNU_LIBRARY__ > 1,1,1.099,1.099,0.0,1,obstack.c,2,1,100.0,1.0,100.0,1.0,3,0.15,2.2058823529411766,1.0095035098875704,1.0
Gary V. Vaughan,! __STDC__ || !__STDC__,0,1.609,1.099,1.099,2,getopt.c,1,0,50.0,1.0,50.0,1.0,4,0.09302325581395349,0.5997001499250375,0.8912378970124486,1.0
Gary V. Vaughan,! __STDC__ || !__STDC__,0,1.609,1.099,1.099,2,getopt1.c,1,0,50.0,1.0,50.0,1.0,4,0.16,1.7543859649122806,0.8912378970124486,1.0
Jeff Bailey,! __STDC__ || !__STDC__,1,1.609,1.099,1.099,2,getopt.c,1,1,50.0,1.0,50.0,1.0,5,0.11627906976744186,0.7496251874062968,0.8912378970124486,1.0
Jeff Bailey,! __STDC__ || !__STDC__,1,1.609,1.099,1.099,2,getopt1.c,1,1,50.0,1.0,50.0,1.0,5,0.2,2.192982456140351,0.8912378970124486,1.0
Gary V. Vaughan,! emacs && ! SYNTAX_TABLE,0,1.099,0.693,0.693,2,regex.c,1,1,100.0,1.0,50.0,1.0,2,0.024390243902439025,0.06793478260869565,0.9075700315670454,1.0
Jeff Bailey,! emacs && ! SYNTAX_TABLE,1,1.099,0.693,0.693,2,m4regex.c,1,1,100.0,1.0,50.0,1.0,1,0.03125,0.1893939393939394,0.9075700315670454,1.0
Gary V. Vaughan,!(__APPLE_CC__) && !(__MWERKS__) && !(__private_extern__),1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,2,0.017699115044247787,0.06333122229259025,1.0095035098875704,1.0
Gary V. Vaughan,!defined(__WINDOWS__),1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,4,0.035398230088495575,0.1266624445851805,1.0095035098875704,1.0
Jeff Bailey,( (C_ALLOCA) ||  (REGEX_MALLOC)) && ( (emacs) ||  (REL_ALLOC)),1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,3,0.036585365853658534,0.10190217391304347,0.9821873255543234,1.0
Gary V. Vaughan,( C_ALLOCA ||  REGEX_MALLOC) &&  emacs,0,1.099,0.693,0.693,2,regex.c,1,1,100.0,1.0,50.0,1.0,4,0.04878048780487805,0.1358695652173913,0.9075700315670454,1.0
Jeff Bailey,( C_ALLOCA ||  REGEX_MALLOC) &&  emacs,1,1.099,0.693,0.693,2,m4regex.c,1,1,100.0,1.0,50.0,1.0,2,0.0625,0.3787878787878788,0.9075700315670454,1.0
Gary V. Vaughan,( __STDC__ && __STDC__) ||  PROTOTYPES,1,1.099,1.099,0.0,1,debug.c,2,1,100.0,1.0,100.0,1.0,4,1.0,66.66666666666667,1.0095035098875704,1.0
Gary V. Vaughan,(CRAY) &&  (CRAY_STACKSEG_END),0,1.099,0.693,0.693,1,alloca.c,1,0,50.0,1.0,50.0,1.0,5,0.17857142857142858,1.5384615384615385,0.9075700315670454,1.0
Jeff Bailey,(CRAY) &&  (CRAY_STACKSEG_END),1,1.099,0.693,0.693,1,alloca.c,1,1,50.0,1.0,50.0,1.0,6,0.21428571428571427,1.8461538461538463,0.9075700315670454,1.0
Gary V. Vaughan,(HAVE_CLOSEDIR) && (HAVE_OPENDIR) && (HAVE_READDIR) && (HAVE_DIRENT_H),1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,6,0.05309734513274336,0.18999366687777075,1.0095035098875704,1.0
