"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2001-10-01","Fabled","Generalista",0,1,0,1
"2001-10-01","Jey","Misto",0,1,1,2
"2001-11-01","Fabled","Generalista",0,1,1,2
"2001-11-01","Jey","Misto",0,2,1,3
"2001-12-01","Aet","Generalista",0,2,1,3
"2001-12-01","Jey","Misto",0,1,2,3
"2002-01-01","Aet","Misto",0,1,2,3
"2002-01-01","Fabled","Generalista",0,1,2,3
"2002-01-01","Jey","Misto",0,1,2,3
"2002-02-01","Aet","Misto",0,1,2,3
"2002-02-01","Jey","Misto",0,1,3,4
"2002-02-01","Okir","Misto",0,1,3,4
"2002-03-01","Aet","Misto",0,1,3,4
"2002-03-01","Fabled","Generalista",0,1,3,4
"2002-03-01","Jey","Misto",0,1,3,4
"2002-03-01","Okir","Misto",0,1,3,4
"2002-04-01","Aet","Misto",0,1,3,4
"2002-04-01","Jey","Misto",0,1,3,4
"2002-04-01","Okir","Misto",0,1,3,4
"2002-05-01","Aet","Misto",0,1,3,4
"2002-05-01","Jey","Misto",0,1,3,4
"2002-06-01","Aet","Misto",0,1,3,4
"2002-06-01","Fabled","Misto",0,0,4,4
"2002-06-01","Jey","Misto",0,0,4,4
"2002-06-01","Okir","Misto",0,0,4,4
"2002-08-01","Jey","Misto",0,0,4,4
"2002-08-01","Okir","Misto",0,0,4,4
"2002-09-01","Okir","Misto",0,0,4,4
"2002-10-01","Aet","Misto",0,0,4,4
"2002-10-01","Okir","Misto",0,0,4,4
"2002-11-01","Aet","Misto",0,0,4,4
"2002-11-01","Okir","Misto",0,0,4,4
"2002-12-01","Jey","Misto",0,0,4,4
"2002-12-01","Okir","Misto",0,0,4,4
"2003-01-01","Aet","Misto",0,0,4,4
"2003-01-01","Okir","Misto",0,1,4,5
"2003-01-01","Sth","Generalista",0,1,4,5
"2003-02-01","Okir","Misto",0,1,4,5
"2003-02-01","Sth","Generalista",0,1,4,5
"2003-03-01","Okir","Misto",0,1,4,5
"2003-03-01","Sth","Generalista",0,1,4,5
"2003-04-01","Jey","Misto",0,1,4,5
"2003-04-01","Okir","Misto",0,1,5,6
"2003-05-01","Aj","Misto",0,1,5,6
"2003-05-01","Okir","Misto",0,0,6,6
"2003-05-01","Sth","Misto",0,0,6,6
"2003-06-01","Okir","Misto",0,0,6,6
"2003-06-01","Sth","Misto",0,0,6,6
"2003-07-01","Aet","Misto",0,0,6,6
"2003-07-01","Okir","Misto",0,0,6,6
"2003-07-01","Sth","Misto",0,0,6,6
"2003-08-01","Aet","Misto",0,0,6,6
"2003-08-01","Okir","Misto",0,0,6,6
"2003-08-01","Sth","Misto",0,0,6,6
"2003-09-01","Aet","Misto",0,0,6,6
"2003-09-01","Okir","Misto",0,0,6,6
"2003-10-01","Aet","Misto",0,0,6,6
"2003-10-01","Okir","Misto",0,0,6,6
"2003-10-01","Sth","Misto",0,0,6,6
"2003-11-01","Aet","Misto",0,0,6,6
"2003-11-01","Okir","Misto",0,0,6,6
"2003-11-01","Sth","Misto",0,0,6,6
"2003-12-01","Aet","Misto",0,0,6,6
"2003-12-01","Okir","Misto",0,0,6,6
"2004-01-01","Aet","Misto",0,0,6,6
"2004-01-01","Okir","Misto",0,0,6,6
"2004-01-01","Sth","Misto",0,0,6,6
"2004-02-01","Okir","Misto",0,0,6,6
"2004-04-01","Aj","Misto",0,0,6,6
"2004-04-01","Nils","Misto",0,0,7,7
"2004-05-01","Nils","Misto",0,0,7,7
"2004-06-01","Aj","Misto",0,0,7,7
"2004-06-01","Nils","Misto",0,0,7,7
"2004-07-01","Aj","Misto",0,0,7,7
"2004-07-01","Nils","Misto",0,0,7,7
"2004-08-01","Nils","Misto",0,0,7,7
"2004-09-01","Nils","Misto",0,0,7,7
"2004-10-01","Aj","Misto",0,0,7,7
"2004-10-01","Nils","Misto",0,0,7,7
"2004-11-01","Nils","Misto",0,0,7,7
"2004-11-01","Sth","Misto",0,0,7,7
"2004-12-01","Aet","Misto",0,0,7,7
"2004-12-01","Nils","Misto",0,0,7,7
"2005-01-01","Aet","Misto",0,0,7,7
"2005-01-01","Nils","Misto",0,0,7,7
"2005-02-01","Aet","Misto",0,0,7,7
"2005-02-01","Nils","Misto",0,0,7,7
"2005-03-01","Aet","Misto",0,0,7,7
"2005-03-01","Martin","Generalista",0,2,7,9
"2005-03-01","Nils","Misto",0,2,7,9
"2005-03-01","Pisi","Generalista",0,2,7,9
"2005-03-01","Sth","Misto",0,2,7,9
"2005-04-01","Aj","Misto",0,2,7,9
"2005-04-01","Martin","Generalista",0,2,7,9
"2005-04-01","Nils","Misto",0,2,7,9
"2005-04-01","Sth","Misto",0,2,7,9
"2005-05-01","Nils","Misto",0,2,7,9
"2005-05-01","Sth","Misto",0,2,7,9
"2005-06-01","Aj","Misto",0,2,7,9
"2005-06-01","Martin","Generalista",0,2,7,9
"2005-06-01","Nils","Misto",0,2,7,9
"2005-07-01","Aj","Misto",0,2,7,9
"2005-07-01","Nils","Misto",0,2,7,9
"2005-07-01","Sth","Misto",0,2,7,9
"2005-08-01","Martin","Generalista",0,2,7,9
"2005-08-01","Nils","Misto",0,2,7,9
"2005-08-01","Sth","Misto",0,2,7,9
"2005-09-01","Aj","Misto",0,2,7,9
"2005-09-01","Martin","Misto",0,1,8,9
"2005-09-01","Nils","Misto",0,1,8,9
"2005-10-01","Aj","Misto",0,1,8,9
"2005-10-01","Martin","Misto",0,1,8,9
"2005-10-01","Nils","Misto",0,1,8,9
"2005-11-01","Aj","Misto",0,1,8,9
"2005-11-01","Nils","Misto",0,1,8,9
"2005-12-01","Aj","Misto",0,1,8,9
"2005-12-01","Martin","Misto",0,1,8,9
"2005-12-01","Nils","Misto",0,1,8,9
"2006-01-01","Aj","Misto",0,1,8,9
"2006-01-01","Martin","Misto",0,1,8,9
"2006-01-01","Nils","Misto",0,1,8,9
"2006-02-01","Martin","Misto",0,1,8,9
"2006-02-01","Nils","Misto",0,1,8,9
"2006-03-01","Martin","Misto",0,1,8,9
"2006-03-01","Nils","Misto",0,1,8,9
"2006-04-01","Aj","Misto",0,1,8,9
"2006-05-01","Aj","Misto",0,1,8,9
"2006-05-01","Nils","Misto",0,1,8,9
"2006-06-01","Nils","Misto",0,1,8,9
"2006-06-01","Sth","Misto",0,1,9,10
"2006-07-01","Ludovic.Rousseau","Misto",0,1,9,10
"2006-07-01","Nils","Misto",0,1,9,10
"2006-08-01","Martin","Misto",0,1,9,10
"2006-08-01","Nils","Misto",0,1,9,10
"2006-09-01","Martin","Misto",0,1,9,10
"2006-09-01","Nils","Misto",0,1,9,10
"2006-10-01","Martin","Misto",0,1,9,10
"2006-11-01","Aj","Misto",0,1,9,10
"2006-11-01","Nils","Misto",0,1,9,10
"2006-12-01","Aj","Misto",0,1,9,10
"2007-01-01","Martin","Misto",0,1,9,10
"2007-01-01","Nils","Misto",0,1,9,10
"2007-02-01","Nils","Misto",0,1,9,10
"2007-03-01","Aj","Misto",0,1,9,10
"2007-03-01","Martin","Misto",0,1,9,10
"2007-04-01","Aj","Misto",0,1,9,10
"2007-04-01","Nils","Misto",0,1,9,10
"2007-05-01","Nils","Misto",0,1,9,10
"2007-06-01","Aj","Misto",0,1,9,10
"2007-06-01","Nils","Misto",0,1,9,10
"2007-07-01","Aj","Misto",0,1,9,10
"2007-07-01","Nils","Misto",0,1,9,10
"2007-08-01","Aj","Misto",0,1,9,10
"2007-08-01","Nils","Misto",0,2,9,11
"2007-09-01","Gurer","Generalista",0,2,9,11
"2007-09-01","Nils","Misto",0,2,9,11
"2007-10-01","Gurer","Generalista",0,2,9,11
"2007-11-01","Ludovic.Rousseau","Misto",0,2,9,11
"2007-12-01","Ludovic.Rousseau","Misto",0,2,9,11
"2007-12-01","Martin","Misto",0,2,9,11
"2008-01-01","Ludovic.Rousseau","Misto",0,2,9,11
"2008-02-01","Martin","Misto",0,2,9,11
"2008-02-01","Nils","Misto",0,2,10,12
"2008-03-01","Alonbl","Misto",0,2,10,12
"2008-03-01","Ludovic.Rousseau","Misto",0,2,10,12
"2008-04-01","Alonbl","Misto",0,2,10,12
"2008-04-01","Ludovic.Rousseau","Misto",0,2,10,12
"2008-05-01","Ludovic.Rousseau","Misto",0,2,10,12
"2008-07-01","Aj","Misto",0,2,10,12
"2008-08-01","Aj","Misto",0,2,10,12
"2008-09-01","Aj","Misto",0,2,10,12
"2008-11-01","Martin","Misto",0,2,10,12
"2009-01-01","Alonbl","Misto",0,2,10,12
"2009-01-01","Martin","Misto",0,2,10,12
