"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Fabled","2001-10-01","Major",1,0,1,100,0
"Jey","2001-10-01","Major",2,0,2,100,0
"Fabled","2001-11-01","Major",2,0,2,100,0
"Jey","2001-11-01","Major",3,0,3,100,0
"Aet","2001-12-01","Major",3,0,3,100,0
"Jey","2001-12-01","Major",3,0,3,100,0
"Aet","2002-01-01","Major",3,0,3,100,0
"Fabled","2002-01-01","Major",3,0,3,100,0
"Jey","2002-01-01","Major",3,0,3,100,0
"Aet","2002-02-01","Major",3,0,3,100,0
"Jey","2002-02-01","Major",4,0,4,100,0
"Okir","2002-02-01","Major",4,0,4,100,0
"Aet","2002-03-01","Major",4,0,4,100,0
"Fabled","2002-03-01","Major",4,0,4,100,0
"Jey","2002-03-01","Major",4,0,4,100,0
"Okir","2002-03-01","Major",4,0,4,100,0
"Aet","2002-04-01","Major",4,0,4,100,0
"Jey","2002-04-01","Major",4,0,4,100,0
"Okir","2002-04-01","Major",4,0,4,100,0
"Aet","2002-05-01","Major",4,0,4,100,0
"Jey","2002-05-01","Major",4,0,4,100,0
"Aet","2002-06-01","Major",4,0,4,100,0
"Fabled","2002-06-01","Major",4,0,4,100,0
"Jey","2002-06-01","Major",4,0,4,100,0
"Okir","2002-06-01","Major",4,0,4,100,0
"Jey","2002-08-01","Major",4,0,4,100,0
"Okir","2002-08-01","Major",4,0,4,100,0
"Okir","2002-09-01","Major",4,0,4,100,0
"Aet","2002-10-01","Major",4,0,4,100,0
"Okir","2002-10-01","Major",4,0,4,100,0
"Aet","2002-11-01","Major",4,0,4,100,0
"Okir","2002-11-01","Major",4,0,4,100,0
"Jey","2002-12-01","Major",4,0,4,100,0
"Okir","2002-12-01","Major",4,0,4,100,0
"Aet","2003-01-01","Major",4,0,4,100,0
"Okir","2003-01-01","Major",5,0,5,100,0
"Sth","2003-01-01","Major",5,0,5,100,0
"Okir","2003-02-01","Major",5,0,5,100,0
"Sth","2003-02-01","Major",5,0,5,100,0
"Okir","2003-03-01","Major",5,0,5,100,0
"Sth","2003-03-01","Major",5,0,5,100,0
"Jey","2003-04-01","Major",5,0,5,100,0
"Okir","2003-04-01","Major",6,0,6,100,0
"Aj","2003-05-01","Major",6,0,6,100,0
"Okir","2003-05-01","Major",6,0,6,100,0
"Sth","2003-05-01","Major",6,0,6,100,0
"Okir","2003-06-01","Major",6,0,6,100,0
"Sth","2003-06-01","Major",6,0,6,100,0
"Aet","2003-07-01","Major",6,0,6,100,0
"Okir","2003-07-01","Major",6,0,6,100,0
"Sth","2003-07-01","Major",6,0,6,100,0
"Aet","2003-08-01","Major",6,0,6,100,0
"Okir","2003-08-01","Major",6,0,6,100,0
"Sth","2003-08-01","Major",6,0,6,100,0
"Aet","2003-09-01","Major",6,0,6,100,0
"Okir","2003-09-01","Major",6,0,6,100,0
"Aet","2003-10-01","Major",6,0,6,100,0
"Okir","2003-10-01","Major",6,0,6,100,0
"Sth","2003-10-01","Major",6,0,6,100,0
"Aet","2003-11-01","Major",6,0,6,100,0
"Okir","2003-11-01","Major",6,0,6,100,0
"Sth","2003-11-01","Major",6,0,6,100,0
"Aet","2003-12-01","Major",6,0,6,100,0
"Okir","2003-12-01","Major",6,0,6,100,0
"Aet","2004-01-01","Major",6,0,6,100,0
"Okir","2004-01-01","Major",6,0,6,100,0
"Sth","2004-01-01","Major",6,0,6,100,0
"Okir","2004-02-01","Major",6,0,6,100,0
"Aj","2004-04-01","Major",6,0,6,100,0
"Nils","2004-04-01","Major",7,0,7,100,0
"Nils","2004-05-01","Major",7,0,7,100,0
