"Desenvolvedor","Data","Commits","Total"
"Fabled","2001-10-01",7,2762
"Jey","2001-10-01",21,2762
"Fabled","2001-11-01",1,2762
"Jey","2001-11-01",27,2762
"Aet","2001-12-01",2,2762
"Jey","2001-12-01",37,2762
"Aet","2002-01-01",5,2762
"Fabled","2002-01-01",5,2762
"Jey","2002-01-01",25,2762
"Aet","2002-02-01",1,2762
"Jey","2002-02-01",10,2762
"Okir","2002-02-01",5,2762
"Aet","2002-03-01",34,2762
"Fabled","2002-03-01",2,2762
"Jey","2002-03-01",19,2762
"Okir","2002-03-01",31,2762
"Aet","2002-04-01",16,2762
"Jey","2002-04-01",16,2762
"Okir","2002-04-01",57,2762
"Aet","2002-05-01",7,2762
"Jey","2002-05-01",3,2762
"Aet","2002-06-01",2,2762
"Fabled","2002-06-01",3,2762
"Jey","2002-06-01",5,2762
"Okir","2002-06-01",28,2762
"Jey","2002-08-01",8,2762
"Okir","2002-08-01",3,2762
"Okir","2002-09-01",2,2762
"Aet","2002-10-01",2,2762
"Okir","2002-10-01",3,2762
"Aet","2002-11-01",4,2762
"Okir","2002-11-01",9,2762
"Jey","2002-12-01",6,2762
"Okir","2002-12-01",37,2762
"Aet","2003-01-01",1,2762
"Okir","2003-01-01",28,2762
"Sth","2003-01-01",1,2762
"Okir","2003-02-01",8,2762
"Sth","2003-02-01",4,2762
"Okir","2003-03-01",6,2762
"Sth","2003-03-01",1,2762
"Jey","2003-04-01",5,2762
"Okir","2003-04-01",33,2762
"Aj","2003-05-01",4,2762
"Okir","2003-05-01",25,2762
"Sth","2003-05-01",1,2762
"Okir","2003-06-01",2,2762
"Sth","2003-06-01",4,2762
"Aet","2003-07-01",8,2762
"Okir","2003-07-01",7,2762
"Sth","2003-07-01",2,2762
"Aet","2003-08-01",11,2762
"Okir","2003-08-01",5,2762
"Sth","2003-08-01",1,2762
"Aet","2003-09-01",22,2762
"Okir","2003-09-01",1,2762
"Aet","2003-10-01",6,2762
"Okir","2003-10-01",37,2762
"Sth","2003-10-01",2,2762
"Aet","2003-11-01",6,2762
"Okir","2003-11-01",7,2762
"Sth","2003-11-01",2,2762
"Aet","2003-12-01",9,2762
"Okir","2003-12-01",25,2762
"Aet","2004-01-01",3,2762
"Okir","2004-01-01",5,2762
"Sth","2004-01-01",1,2762
"Okir","2004-02-01",3,2762
"Aj","2004-04-01",4,2762
"Nils","2004-04-01",5,2762
"Nils","2004-05-01",5,2762
"Aj","2004-06-01",4,2762
"Nils","2004-06-01",4,2762
"Aj","2004-07-01",1,2762
"Nils","2004-07-01",6,2762
"Nils","2004-08-01",6,2762
"Nils","2004-09-01",6,2762
"Aj","2004-10-01",1,2762
"Nils","2004-10-01",9,2762
"Nils","2004-11-01",5,2762
"Sth","2004-11-01",1,2762
"Aet","2004-12-01",3,2762
"Nils","2004-12-01",13,2762
"Aet","2005-01-01",7,2762
"Nils","2005-01-01",5,2762
"Aet","2005-02-01",18,2762
"Nils","2005-02-01",8,2762
"Aet","2005-03-01",1,2762
"Martin","2005-03-01",2,2762
"Nils","2005-03-01",1,2762
"Pisi","2005-03-01",1,2762
"Sth","2005-03-01",1,2762
"Aj","2005-04-01",1,2762
"Martin","2005-04-01",1,2762
"Nils","2005-04-01",9,2762
"Sth","2005-04-01",1,2762
"Nils","2005-05-01",3,2762
"Sth","2005-05-01",4,2762
"Aj","2005-06-01",5,2762
"Martin","2005-06-01",4,2762
"Nils","2005-06-01",1,2762
"Aj","2005-07-01",13,2762
"Nils","2005-07-01",4,2762
"Sth","2005-07-01",2,2762
"Martin","2005-08-01",2,2762
"Nils","2005-08-01",14,2762
"Sth","2005-08-01",2,2762
"Aj","2005-09-01",2,2762
"Martin","2005-09-01",2,2762
"Nils","2005-09-01",12,2762
"Aj","2005-10-01",3,2762
"Martin","2005-10-01",1,2762
"Nils","2005-10-01",7,2762
"Aj","2005-11-01",1,2762
"Nils","2005-11-01",2,2762
"Aj","2005-12-01",3,2762
"Martin","2005-12-01",1,2762
"Nils","2005-12-01",5,2762
"Aj","2006-01-01",4,2762
"Martin","2006-01-01",3,2762
"Nils","2006-01-01",3,2762
"Martin","2006-02-01",2,2762
"Nils","2006-02-01",17,2762
"Martin","2006-03-01",1,2762
"Nils","2006-03-01",2,2762
"Aj","2006-04-01",3,2762
"Aj","2006-05-01",7,2762
"Nils","2006-05-01",1,2762
"Nils","2006-06-01",3,2762
"Sth","2006-06-01",1,2762
"Ludovic.Rousseau","2006-07-01",1,2762
"Nils","2006-07-01",4,2762
"Martin","2006-08-01",1,2762
"Nils","2006-08-01",2,2762
"Martin","2006-09-01",2,2762
"Nils","2006-09-01",3,2762
"Martin","2006-10-01",1,2762
"Aj","2006-11-01",2,2762
"Nils","2006-11-01",2,2762
"Aj","2006-12-01",6,2762
"Martin","2007-01-01",5,2762
"Nils","2007-01-01",3,2762
"Nils","2007-02-01",1,2762
"Aj","2007-03-01",6,2762
"Martin","2007-03-01",4,2762
"Aj","2007-04-01",1,2762
"Nils","2007-04-01",1,2762
"Nils","2007-05-01",2,2762
"Aj","2007-06-01",10,2762
"Nils","2007-06-01",1,2762
"Aj","2007-07-01",6,2762
"Nils","2007-07-01",3,2762
"Aj","2007-08-01",5,2762
"Nils","2007-08-01",2,2762
"Gurer","2007-09-01",4,2762
"Nils","2007-09-01",2,2762
"Gurer","2007-10-01",1,2762
"Ludovic.Rousseau","2007-11-01",6,2762
"Ludovic.Rousseau","2007-12-01",2,2762
"Martin","2007-12-01",1,2762
"Ludovic.Rousseau","2008-01-01",2,2762
"Martin","2008-02-01",1,2762
"Nils","2008-02-01",1,2762
"Alonbl","2008-03-01",2,2762
"Ludovic.Rousseau","2008-03-01",5,2762
"Alonbl","2008-04-01",4,2762
"Ludovic.Rousseau","2008-04-01",4,2762
"Ludovic.Rousseau","2008-05-01",1,2762
"Aj","2008-07-01",2,2762
"Aj","2008-08-01",2,2762
"Aj","2008-09-01",5,2762
"Martin","2008-11-01",1,2762
"Alonbl","2009-01-01",1,2762
"Martin","2009-01-01",6,2762
"Martin","2009-03-01",4,2762
"Aj","2009-04-01",1,2762
"Martin","2009-04-01",2,2762
"Ludovic.Rousseau","2009-05-01",2,2762
"Aj","2009-06-01",2,2762
"Aj","2009-07-01",2,2762
"Aj","2009-09-01",2,2762
"Martin","2009-09-01",9,2762
"Aj","2009-10-01",9,2762
"Ludovic.Rousseau","2009-10-01",5,2762
"Martin","2009-10-01",11,2762
"S","2009-10-01",1,2762
"Martin","2009-11-01",9,2762
"S","2009-11-01",4,2762
"Viktor.Tarasov","2009-11-01",11,2762
"Aj","2009-12-01",6,2762
"Viktor.Tarasov","2009-12-01",2,2762
"Martin","2010-01-01",5,2762
"Viktor.Tarasov","2010-01-01",23,2762
"Aj","2010-02-01",4,2762
"Alonbl","2010-02-01",1,2762
"Flc","2010-02-01",2,2762
"Martin","2010-02-01",5,2762
"S","2010-02-01",6,2762
"Viktor.Tarasov","2010-02-01",18,2762
"Aj","2010-03-01",5,2762
"Flc","2010-03-01",1,2762
"Ludovic.Rousseau","2010-03-01",1,2762
"Viktor.Tarasov","2010-03-01",27,2762
"Ludovic.Rousseau","2010-04-01",1,2762
"Martin","2010-04-01",1,2762
"Viktor.Tarasov","2010-04-01",9,2762
"Martin","2010-05-01",3,2762
"Viktor.Tarasov","2010-05-01",4,2762
"Martin","2010-06-01",6,2762
"Flc","2010-07-01",1,2762
"Martin","2010-07-01",2,2762
"Viktor.Tarasov","2010-07-01",4,2762
"Ep","2010-08-01",4,2762
"Ludovic.Rousseau","2010-08-01",1,2762
"Martin","2010-08-01",2,2762
"Dengert","2010-09-01",1,2762
"Ep","2010-09-01",5,2762
"Flc","2010-09-01",2,2762
"Ludovic.Rousseau","2010-09-01",4,2762
"Martin","2010-09-01",10,2762
"S","2010-09-01",2,2762
"Viktor.Tarasov","2010-09-01",1,2762
"Flc","2010-10-01",1,2762
