desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Aj,apdu.c,0,True,,9,"2327835416fe7307664906f0501f5cdabfb47ecb  -  2006-04-26 10:07:20+00:00, ab0066b0d78b77447c15280a6ed67b108de17789  -  2006-05-01 10:02:50+00:00, 8fe04d5a86fc00f421ec974425541ed7a1757398  -  2006-05-01 10:10:35+00:00, dad82e19d7a49ff1efef946642fc2a4a1f1e6bb5  -  2006-12-29 09:44:13+00:00, f9b30e48c4d801694ef59912621a982dfb2afb00  -  2007-08-22 18:38:02+00:00, 43b7391a940447ae1d30cd000fff25200c266dcb  -  2007-08-28 20:35:06+00:00, 119c7751c79eba8c467ec731542e38c9ea82c7b4  -  2010-02-05 06:14:19+00:00, d22a2483c03d2bbadf93d529ecb4bacfa2d1c8e2  -  2010-03-04 08:14:36+00:00, 6545b42c02ce11b89bf796f773d5c8e851016d3d  -  2010-03-15 12:17:13+00:00",3.5400061117270005,0.8580323517854183,Generalista,Colaborador
Frank Morgner,apdu.c,0,True,,12,"31bdbd6b6a7678151288bc51c413ea42a342b00b  -  2012-07-03 22:27:43+02:00, b6a935a261d87fa77f1682763ff7c7f55189f246  -  2015-01-24 23:12:47+01:00, bcb5fc15e5b6224d2bdd8edb3c0346812dc89d38  -  2015-04-22 23:55:33+02:00, 85b79a33320b615c923a6a03b6d295d7543b3f55  -  2015-08-04 23:06:25+02:00, 2d9802308f5c7b0190e73f3f5ac1b61345689148  -  2015-08-26 02:39:28+02:00, ef40021417975d1ec4b4247de82fdd0758d9e726  -  2012-08-03 23:12:12+02:00, 752e5afd49670caa13c5e710f7327e6731e6bb11  -  2016-06-16 11:29:44+02:00, d757db2ca8251ef06e58b2ed443cb7f937f7c816  -  2017-04-03 18:00:41+02:00, 251a5f9fef8d8110fe6f5029863ea545bbe9635a  -  2017-08-02 23:34:05+02:00, 8de544653c049b996786bb7c1600276841487e06  -  2017-11-13 15:11:58+01:00, 7d36bab7017e0ecf8f0be7a8375a8a8bd6300c33  -  2019-01-07 16:35:36+01:00, 7d8009e429a0c932c49fa409abe33826ab163fd0  -  2019-07-26 08:14:41+02:00",4.053654762862367,0.9825313346162915,Generalista,Colaborador
Martin,apdu.c,0,True,,10,"d672fde4499fef4380cc3d8b88e496986687ec03  -  2009-09-14 08:46:59+00:00, ab2ed07b78f09af05b06ab566355e4482a5bace3  -  2009-10-03 10:06:53+00:00, 99e84ae82a4f32518cf5f91d81f8a512654c9a35  -  2009-10-03 10:07:55+00:00, 615b1814713d9de8f1f92bb88f63cee422c30584  -  2009-10-12 09:26:05+00:00, cd9e6669267e1a2e41b789330134c080c29cb5a6  -  2010-01-24 12:38:34+00:00, d006b1845ef6ef7416a04fb8cf0677a8cd0cb6e1  -  2010-01-24 15:25:08+00:00, 07ab2a2871ffb736c5b3fc211c9103721dd91681  -  2010-09-01 11:50:24+00:00, 241d3b5d86bb96d0e04d3116d9b1768dc43b4510  -  2010-09-01 11:50:39+00:00, a5ca648afd8eee6db673915195687e6c74e505e1  -  2010-09-09 18:58:44+00:00, 1cdb3fa9716bf287387020f06892a5f45cde98fc  -  2011-04-26 07:29:53+00:00",3.7110613407837274,0.8994929922025429,Generalista,Colaborador
Nils,apdu.c,1,True,OPENSC_DONT_LOG_SENSITIVE,6,"fe3e93b6255fffb2ef5c2b826a2d2f4836e4915a  -  2005-12-28 20:01:43+00:00, 85aaa4466dd9d5796df815631838e31ac1731f4f  -  2006-02-03 21:24:11+00:00, ca2a5e11fd4a5bf235eb9971bf4b0ca1cecccb65  -  2006-02-05 19:00:01+00:00, 383602b6fe9f6bbb8de986c600d908988350bb85  -  2006-03-03 22:56:41+00:00, 0ccd6daf8dd2ea47bde266102d3ce17cf7e89093  -  2007-01-09 19:41:05+00:00, 8135be4166282bbffb34f07cb3417320c7a019f3  -  2007-05-13 09:30:53+00:00",4.125725684306489,1.0,Misto,Autor
Frank Morgner,asn1.c,2,True,ENABLE_OPENSSL,24,"a64326e7683020826372d7a90963cd3a0de94750  -  2014-02-25 09:07:09+01:00, 236e68b17c85be8b7507615a99663f5f6da3438c  -  2015-02-05 17:43:14+01:00, bcb5fc15e5b6224d2bdd8edb3c0346812dc89d38  -  2015-04-22 23:55:33+02:00, b44c98e4d80d20451e015168a40ed8281392c4ed  -  2015-07-28 09:10:54+02:00, 93fa520bc991cc027617a71b8cc007651e8ca34a  -  2017-07-11 10:12:17+02:00, 293d02ea4ba834a5b7196952ebe2d4b546dd54de  -  2017-09-13 10:26:23+02:00, 3ca6c4b04a425d863a48cd7687e3f8d62b82cb52  -  2017-10-30 16:32:57+01:00, 9468ce7f89f9b84704c94a9b9eb433f4ba5fbde1  -  2017-11-10 09:05:29+01:00, baa709ff74631336694c609ccfc2b7c32bd3cf53  -  2017-11-13 15:12:43+01:00, 44447b780137e5ed4c25ec432e5133c8d4162201  -  2018-01-05 18:34:52+01:00, ddeb01ddc1766d0e0dd3f0e7eb73667f56587785  -  2018-01-09 12:54:09+01:00, 45ad44e3115c2fda36c46f77b792f0f9da6152ab  -  2018-03-19 15:25:14+01:00, 148bc252388e581a3c998f3b5e3950ac21b9355c  -  2018-04-07 12:11:13+02:00, 8fe377e93b4b56060e5bbfb6f3142ceaeca744fa  -  2018-05-25 14:54:47+02:00, ffe38fd87fc06879924759ca2e25eabb47ed6f0d  -  2018-05-27 00:14:01+02:00, 7f7bcbff5268045c26dd7f93489a4d78b3f206cb  -  2019-01-17 14:43:28+01:00, 3c83a80b57b3f9d2ce9abb2440493991ee5e157d  -  2019-05-06 23:11:20+02:00, 45dfc1457380c41c42f96e25ff9aff73d17955d9  -  2019-06-04 08:23:42+02:00, 412a6142c27a5973c61ba540e33cdc22d5608e68  -  2019-08-27 15:17:17+02:00, a3fc7693f3a035a8a7921cffb98432944bb42740  -  2019-08-27 15:21:46+02:00, 9b4b080be788a602fa8f01ac8d7e29cdaad07902  -  2019-08-27 15:27:15+02:00, f6213051409cc9b81bd3fd1e4b6c331cd7914a50  -  2019-08-29 11:15:29+02:00, 3c286b3cb1b234b88335029c968320b7ff8bc493  -  2019-10-26 23:50:11+02:00, 723176d62f90a3d8d300d292f3fc7404c8200607  -  2020-01-31 22:23:37+01:00",5.595881576390405,0.7711719587762226,Misto,Colaborador
Frank Morgner,asn1.c,,,_WIN32,,,,,,Colaborador
Jakub Jelen,asn1.c,0,True,,34,"889d598bcd242447b4bd7db22106b008b605a849  -  2019-10-17 15:04:58+02:00, 544d576b0076dcb96b78e502e2c05906486ba357  -  2019-10-17 14:59:54+02:00, 6ef0ac6e678a4710198bc109a126fa1ad0e1d53e  -  2019-10-16 14:35:49+02:00, 1be013d08e381b2bea21fa97fa5b3584e1245f6d  -  2019-10-15 16:37:24+02:00, 0d091c8e0c645b6291f5c5aff3f154848d99e95a  -  2019-10-23 09:34:46+02:00, cc466eea946ff2bd561bba7fec2724e462183126  -  2019-10-24 11:27:29+02:00, cd51430ba7b3250fd4ccd4e79d400053e333b690  -  2019-11-07 16:34:24+01:00, cc917b541f353c71353a826568d4becdf8d66293  -  2019-11-07 13:45:24+01:00, 8e6d2e251d803fd191b4b4f30c26a867361d8d81  -  2019-10-15 16:38:49+02:00, b6b9a886f9785d11c50f7eec3f46633b181f87b8  -  2019-10-16 14:40:38+02:00, 19501715d7552585ceac8420fe88956967610576  -  2019-10-16 16:29:17+02:00, 7971bfded33794d35fe253b3f35ac5ad2af272bb  -  2019-10-16 16:30:10+02:00, 61af2c1d0ac1b0e78056bedf4b98ff9da7b35eb4  -  2019-10-17 14:15:49+02:00, 8d49e4a3054c6c43c2cdc3595a53a74daa1fc464  -  2019-10-17 13:04:57+02:00, c1814571bd09440e09b7c32285367d580d65650a  -  2019-10-24 11:25:30+02:00, 611d1cea4c139c8f14088d3ac092c7d3ac648bca  -  2019-10-24 11:46:53+02:00, 127129995524728d49051c0f04161ede740adfe4  -  2019-11-04 17:25:11+01:00, d3e9b55223fc310b8c7c9b081618440582ea833e  -  2019-11-04 17:26:41+01:00, c449aa4430dd09cd993f9ecaa60720e0d7e64805  -  2019-11-04 17:28:31+01:00, 4faf517af41c7f75a4c5ed3ec6e05f0c8ade1152  -  2019-11-04 17:31:52+01:00, 456900941892a3ff76cb68f4bf8fa01da39685fd  -  2019-11-04 17:33:10+01:00, fefff2e46209079af26d9c34090f18217b8dcf51  -  2019-11-05 13:15:23+01:00, aaa302ca3576607c7bf3b80730113b588da60d8d  -  2019-11-05 13:34:07+01:00, 71e45bb5a708262ed814d9e911ab831d6daf9643  -  2019-11-05 16:03:09+01:00, 1e2b0fe45f6ea1e90e18747d275a9e241e04d3f5  -  2019-11-05 17:10:25+01:00, 37c8c46623a3fb6a58e5cadb5f673252a69246d4  -  2019-11-06 12:50:36+01:00, 2c913155a25171af571c0c3ee4b0cc2430bab667  -  2019-11-06 13:05:22+01:00, 3af6d7999e387b8074a209aa9d44a0f29359c573  -  2019-11-06 13:05:40+01:00, 8ddfafe057fa4960fed5c427bea2c48d68e67655  -  2019-11-06 17:56:29+01:00, e8af4fc1674cee7e3b7bfeee5a68644fd856cea5  -  2019-11-06 17:57:35+01:00, 586f0a3e42084d3b7c94cea00aeff52babbc4da1  -  2019-11-07 13:53:49+01:00, 90aaa9e08382801bf6a95e4683877247a3bfefb7  -  2019-11-07 16:49:49+01:00, 4c4237f8a33de61627ee27a7fa445e145e595f84  -  2020-04-22 12:59:34+02:00, fb83cd04396403f93051f485b4f840b32e3b3137  -  2020-11-30 15:51:49+01:00",7.256334352808345,1.0,Generalista,Colaborador
Jey,asn1.c,0,True,,29,"c57e2e266d89c1fb96f216813e3122862d980c92  -  2001-11-01 15:43:20+00:00, 18bab373b8cddc4ec80d5e6ee67d6dc8e2affe3e  -  2001-11-06 18:34:19+00:00, 584f5e5cb8a9d1fc4a1d2d60c4281b2df8ab52af  -  2001-11-17 00:11:29+00:00, 939146ffed58af7b472ee448859cdedab93be7c3  -  2001-11-24 13:32:52+00:00, 5e00917fcc85a0aea0eeebf36ae84108333d3576  -  2001-12-16 18:46:32+00:00, 9989c11a6d88961484435cec75cbce49cd87389d  -  2001-12-19 21:58:04+00:00, 41416437e5fdeb2417748f1846ed3b3868494c59  -  2001-12-20 13:57:58+00:00, c17ff3ebdf8f0fcabd7c08b47dbfdd7b6c5a119b  -  2001-12-21 23:34:47+00:00, c344e28a9269353884cb7082a4f9830ea6a74bed  -  2001-12-22 20:43:09+00:00, 2b99f2df144e240cb8a4369e25c50dd11809198c  -  2001-12-25 20:45:48+00:00, ad2e34cb6c7694b62838ec1f3c76571da41cb84d  -  2001-12-29 02:07:32+00:00, 3e96a893ec8be3a7e8196204af4ce8bc595658f6  -  2001-12-29 19:03:46+00:00, 68928ae52001486494e013cb4907a1fce8f760c1  -  2002-01-01 18:25:11+00:00, 9197babe53408cae5d3ffa1da843ce30f628b30a  -  2002-01-07 18:23:34+00:00, 1a3e530f01d91d6dea14c277c74687092cccf68b  -  2002-01-07 18:32:13+00:00, 7ff4c4544c7f5333f640eb01cb81d790ab83f91b  -  2002-01-08 13:56:50+00:00, 9dc705491907727b554cf11eb4124b55ecdb9ea4  -  2002-01-10 12:33:56+00:00, 452b9d4193edebc867f84bead59db08e895fe1e3  -  2002-01-13 23:56:13+00:00, 20adb4b39c17a9b344e1555eca776a87dd7ec1e2  -  2002-01-16 23:59:18+00:00, e7c65bf66905990d10cbd1ef09e7ed712827b057  -  2002-01-17 23:47:03+00:00, d9792242cc5c7bdf24d14d0084ef26251f423f8d  -  2002-01-20 21:20:09+00:00, 325cd8006d7be4d01ee55ce4f681727d87472eb1  -  2002-02-25 14:13:18+00:00, 4ac49d6e88af07b7b7b5f83226270b74e3a43930  -  2002-03-01 11:52:55+00:00, 6b07ff64f6082ae44df9544129962a40a46fd548  -  2002-03-03 00:32:28+00:00, 3416461c4bcf29dc9f32688bad8f7f46e7a93424  -  2002-03-08 05:59:57+00:00, 2b4912931199f71bf980fbb6d5c4bec7f9b63c9b  -  2002-04-04 20:38:09+00:00, 22636c2df9e57e71c19ccc8e8f1909de43b5117a  -  2002-04-05 14:46:44+00:00, 7c94d7d8d38d4030f1697b1ee2149c239f34a5bb  -  2002-05-26 12:31:23+00:00, 21a82c17b89d26c6f7e7dcffa7adb0dc3b4d1b6d  -  2002-08-21 10:02:55+00:00",6.425945096483193,0.8855635344306074,Generalista,Colaborador
Okir,atr.c,0,True,,3,"944a5534875b8d4f59b2dfc4ac8c924a43da5ec0  -  2003-03-27 10:02:55+00:00, 9ae2b2fa07a2962f154e0a9960e5ab298c8efdd9  -  2003-04-03 09:53:32+00:00, 5ca228f7b8d6f7b3d5ffa0a5d89c5d31df73a735  -  2003-04-11 11:46:57+00:00",4.660499755040258,1.0,Generalista,Autor
Viktor Tarasov,aux-data.c,0,True,,2,"47eb21175c5c2e2d29bc0bd332101a8ca13cf305  -  2016-04-04 11:41:51+02:00, 89a5b5893b79c2313e23127e2f561d417e976246  -  2016-04-08 09:53:10+02:00",4.202370430108654,1.0,Generalista,Autor
