commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
f3bf3dc0b8702a4473271e9b763e70d7ef009c89,2001-10-01,Fabled,digestsign.c,1,True,,Generalista,Colaborador,100.0,Major
0af1a516a660c534b903daf093f28ac91fc1200d,2001-10-01,Fabled,digestsign.c,1,True,,Generalista,Colaborador,100.0,Major
2f086f5261d945f95e3d5dfafe90fbab9ad54bd2,2001-10-01,Fabled,digestsign.c,1,True,,Generalista,Colaborador,100.0,Major
aea833a5e8e336cd66a88289957b96dae107950f,2001-10-01,Fabled,digestsign.c,1,True,,Generalista,Colaborador,100.0,Major
f3bf3dc0b8702a4473271e9b763e70d7ef009c89,2001-10-01,Fabled,endecrypt.c,1,True,,Generalista,Autor,100.0,Major
0af1a516a660c534b903daf093f28ac91fc1200d,2001-10-01,Fabled,endecrypt.c,1,True,,Generalista,Autor,100.0,Major
aea833a5e8e336cd66a88289957b96dae107950f,2001-10-01,Fabled,endecrypt.c,1,True,,Generalista,Autor,100.0,Major
f3bf3dc0b8702a4473271e9b763e70d7ef009c89,2001-10-01,Fabled,function_table.c,1,True,,Generalista,Colaborador,100.0,Major
86bbeffc40e6528b615282cf7e4ee15f2350bd8f,2001-10-01,Fabled,function_table.c,1,True,,Generalista,Colaborador,100.0,Major
aea833a5e8e336cd66a88289957b96dae107950f,2001-10-01,Fabled,function_table.c,1,True,,Generalista,Colaborador,100.0,Major
f3bf3dc0b8702a4473271e9b763e70d7ef009c89,2001-10-01,Fabled,generic.c,1,True,,Generalista,Colaborador,50.0,Major
86bbeffc40e6528b615282cf7e4ee15f2350bd8f,2001-10-01,Fabled,generic.c,1,True,,Generalista,Colaborador,50.0,Major
0af1a516a660c534b903daf093f28ac91fc1200d,2001-10-01,Fabled,generic.c,1,True,,Generalista,Colaborador,50.0,Major
bff3bf85609dc5359919534ab24b4244b8f6f3d5,2001-10-01,Fabled,generic.c,1,True,,Generalista,Colaborador,50.0,Major
aea833a5e8e336cd66a88289957b96dae107950f,2001-10-01,Fabled,generic.c,1,True,,Generalista,Colaborador,50.0,Major
b5d584e5a7febd8f613209115d4ce7b987a031bf,2001-10-01,Jey,generic.c,1,True,,Misto,Colaborador,50.0,Major
07671adadd3c22ac9d32265eaf11457ac279933d,2001-10-01,Jey,generic.c,1,True,,Misto,Colaborador,50.0,Major
9ea1e4be9e61b62202c6367d7c32316a714ab188,2001-10-01,Jey,generic.c,1,True,,Misto,Colaborador,50.0,Major
