desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Martin,! ( (HAVE_GETOPT_H) && (HAVE_GETOPT_LONG) && (HAVE_GETOPT_LONG_ONLY) ),1,0.693,0.693,0.0,1,compat_getopt.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Frank Morgner,! (__MAC_OS_X_VERSION_MIN_REQUIRED) || __MAC_OS_X_VERSION_MIN_REQUIRED < 101000,1,0.693,0.693,0.0,1,reader-pcsc.c,1,1,100.0,1.0,100.0,1.0,1,0.012345679012345678,0.041305245766212306,0.9821873255543234,1.0
Aet,! (__STDC__) || !__STDC__,1,1.609,1.099,1.099,2,getopt.c,1,1,50.0,1.0,50.0,1.0,1,0.02857142857142857,0.21551724137931033,0.8912378970124486,1.0
Aet,! (__STDC__) || !__STDC__,1,1.609,1.099,1.099,2,getopt1.c,1,1,50.0,1.0,50.0,1.0,1,0.045454545454545456,0.43859649122807015,0.8912378970124486,1.0
Aj,! (__STDC__) || !__STDC__,0,1.609,1.099,1.099,2,getopt.c,1,0,50.0,1.0,50.0,1.0,2,0.05714285714285714,0.43103448275862066,0.8912378970124486,1.0
Aj,! (__STDC__) || !__STDC__,0,1.609,1.099,1.099,2,getopt1.c,1,0,50.0,1.0,50.0,1.0,2,0.09090909090909091,0.8771929824561403,0.8912378970124486,1.0
Aj,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.609,1.609,0.0,2,getopt.c,2,1,100.0,1.0,100.0,1.0,4,0.11428571428571428,0.8620689655172413,1.0439178321606852,1.0
Aj,! _LIBC &&  __GLIBC__ && __GLIBC__ >= 2,1,1.609,1.609,0.0,2,getopt1.c,2,1,100.0,1.0,100.0,1.0,4,0.18181818181818182,1.7543859649122806,1.0439178321606852,1.0
Frank Morgner,!(HAVE_DECL_STRLCAT) || !HAVE_DECL_STRLCAT,1,0.693,0.693,0.0,1,compat_strlcat.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,16.666666666666668,0.9821873255543234,1.0
Frank Morgner,!(HAVE_DECL_STRLCPY) || !HAVE_DECL_STRLCPY,1,0.693,0.693,0.0,1,compat_strlcpy.c,1,1,100.0,1.0,100.0,1.0,1,0.25,10.0,0.9821873255543234,1.0
