desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
David Sommerseth,argv.c,0,True,,6,"95bcf135f5aff0a3dc3f9208628fd18b8f2ee326  -  2016-11-16 21:18:44+01:00, 81d882d5302b8b647202a6893b57dfdc61fd6df2  -  2016-12-14 22:33:21+01:00, 58716979640b5d8850b39820f91da616964398cc  -  2016-12-21 21:00:52+01:00, caa54ac398db25b72d7d1d633d2ee330b5b8a3e9  -  2017-03-29 11:36:48+02:00, 499794596deb16965164b611ff61c8609c6cd08e  -  2018-01-31 15:03:14+01:00, 3226c2edaf0ddd1b4541ce81ebce97a9ae9ecd2a  -  2020-02-06 14:21:03+01:00",3.479344965418052,0.8668637902434058,Generalista,Colaborador
Heiko Hund,argv.c,2,True,HAVE_CONFIG_H,7,"698e268afb53014614f8e90ac8ff0667ce5e555d  -  2016-10-28 18:42:37+02:00, aed5ef40c47c58b3b7bc624113396a26e5e2cba5  -  2016-10-28 18:42:38+02:00, d6ab1dc49e5c8018f58e7c3c9fe64f4289ccc77b  -  2016-10-28 18:42:39+02:00, 253609124459f8df96e059bba9c164299a32318e  -  2016-10-28 18:42:40+02:00, 4ed7bf7f94a8cecbc2430d8025a2b8a46f94e429  -  2020-02-06 14:21:00+01:00, 870e2405e27fb0c119ade6fc0032c81af4d89819  -  2020-02-06 14:21:01+01:00, e7500875efe03937fc222d737050789f97c30c03  -  2020-02-06 14:21:02+01:00",3.6712756174317236,0.9146824843143079,Misto,Colaborador
Heiko Hund,argv.c,,,defined(_MSC_VER),,,,,,Colaborador
Steffan Karger,argv.c,0,True,,3,"4cd4899e8e80efae03c584a760fd107251735723  -  2017-01-14 15:10:20+01:00, 9fc0e963c757ffec3cc9fbf797fb7609f409c370  -  2017-06-21 23:10:43+02:00, 68b97b25e4c479156d697bf3df90a4b68fbbbcea  -  2017-12-08 13:07:47+01:00",4.0137158854461905,1.0,Generalista,Autor
James,auth-pam.c,1,True,DO_DAEMONIZE,10,"6fbf66fad3367b24fd6743bcd50254902fd9c8d5  -  2005-09-26 05:28:27+00:00, e1791bb11ae85366dfb4d0173a8d7b5751a7a407  -  2005-10-04 11:51:44+00:00, cecc5e657bb38c03f80747eab40073bc6ded9631  -  2005-10-13 04:08:20+00:00, f49eab6232a599968ab3c9920e9b5cfea3cf2c33  -  2005-10-16 12:24:10+00:00, 1e0b71416262a3534b1dc3da0c23dc144cb2bd9f  -  2008-06-04 06:00:42+00:00, eca86913db7af43c682fbcc793505fadcbc0e78f  -  2008-06-11 21:59:26+00:00, 1c0cc4ad89308f3cc3ea26c6e4566e6e29073de7  -  2008-07-14 18:59:09+00:00, 367ed084db5159d822dce53a1e041a5f4e8c1ad3  -  2008-10-06 07:33:45+00:00, d7fa38f2a93ad5923e96bf8d97d3cbc7fec5bd8b  -  2009-05-30 21:38:49+00:00, 5bb8bfea4399117c6ec42a58991e48e9e748a62b  -  2009-12-10 23:50:03+00:00",5.024506356686744,1.0,Misto,Autor
Arne Schwabe,auth_token.c,2,True,HAVE_CONFIG_H,4,"1b9a88a2c38a6a29f8ccbec4fd529d7b363bfc06  -  2019-09-17 14:10:04+02:00, c8723aa7bebb0ddb088819590d5a9bea6ea0d669  -  2019-09-17 14:10:39+02:00, fba0e8b8964d5a1f24182ff4c48b18923b5d7ba8  -  2019-09-17 14:11:15+02:00, 42fe3e8175822a4cf2c85cc4ce3fdffd41d74455  -  2020-03-26 18:23:31+01:00",4.694345455337537,1.0,Misto,Autor
Arne Schwabe,auth_token.c,,,defined(_MSC_VER),,,,,,Autor
Heiko Hund,automatic.c,0,True,,1,a24dd2e31f196c76594666f37c130817402acb15  -  2016-01-26 20:11:48+01:00,3.7852756174317226,1.0,Generalista,Autor
James,base64.c,3,True,WIN32,3,"6fbf66fad3367b24fd6743bcd50254902fd9c8d5  -  2005-09-26 05:28:27+00:00, f214bb2115994cc6b4123f3d06db0452f17f2e99  -  2005-12-12 19:46:10+00:00, 1bda73a7b0f45a2502ae93e33e30b98152d893f3  -  2008-05-12 20:31:43+00:00",3.9551906657153313,0.9959322849454303,Misto,Autor
James,base64.c,,,ENABLE_HTTP_PROXY,,,,,,Autor
James,base64.c,,,(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11),,,,,,Autor
James Yonan,base64.c,3,True,(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11),9,"3cf9dd88fd84108eccfcce0ebf44e00f9481cd82  -  2010-10-24 09:12:47+00:00, 423d68b0ede7f10c02fa753cba8d60d2218d2dc7  -  2010-11-14 23:38:47+01:00, 2d12eb12cf2a49adbc2e89e20990415947519900  -  2010-11-16 09:10:39+00:00, 2a3d17ed182608cf60d731a237f9f926c28db522  -  2010-12-09 11:21:04+00:00, ae1884c0cbf42c21e54922c150cde44c43200340  -  2010-12-13 09:27:08+00:00, d02a86d37bed69ee3fb63d08913623a86c88da15  -  2011-03-17 04:55:47+00:00, cf69617bbea45a15423c4188daa9386debcbe1ec  -  2010-12-09 11:21:04+00:00, 7fc00d4cbe87206eea3ff5a8d12908c8c942f045  -  2010-12-13 09:27:08+00:00, eab3e22f8261c07d5f906c05fce69917034d9e53  -  2011-06-03 21:21:20+00:00",3.971344965418052,1.0,Misto,Colaborador
James Yonan,base64.c,,,(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11) || (ENABLE_CLIENT_CR),,,,,,Colaborador
James Yonan,base64.c,,,(ENABLE_HTTP_PROXY) || (ENABLE_PKCS11) || (ENABLE_CLIENT_CR) || (MANAGMENT_EXTERNAL_KEY),,,,,,Colaborador
