commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,auth-pam.c,1,True,,Generalista,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,113,True,WIN32,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,BUF_INIT_TRACKING,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,CHARACTER_CLASS_DEBUG,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,DMALLOC,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,VERIFY_ALIGNMENT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ZERO_BUFFER_ON_ALLOC,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ALLOW_NON_CBC_CIPHERS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_DEBUG,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_SMALL,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_EVP_CIPHER_CTX_SET_KEY_LENGTH,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,USE_CRYPTO,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,USE_SSL,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,__MINGW32_VERSION,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(TARGET_DARWIN),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,FD_SETSIZE,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,POLL,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,POLL && SELECT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,SELECT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(USE_CRYPTO) && (USE_SSL),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(WIN32),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_FRAGMENT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_MANAGEMENT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_OCC,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_SOCKS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_GETTIMEOFDAY,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,LOG_RW,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,TUN_PASS_BUFFER,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,USE_LZO,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,NDIS_MINIPORT_DRIVER,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,__cplusplus,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(ENABLE_FRAGMENT) && (ENABLE_OCC),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(MEASURE_TLS_HANDSHAKE_STATS) && (USE_CRYPTO) && (USE_SSL),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(USE_CRYPTO) && (DMALLOC),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(USE_PTHREAD),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_HTTP_PROXY,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_PLUGIN,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,EXTRACT_X509_FIELD_TEST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,IFCONFIG_POOL_TEST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,LIST_TEST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,OPENVPN_DEBUG_COMMAND_LINE,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,PID_TEST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,SCHEDULE_TEST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,TUNSETPERSIST,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_DUP) && (HAVE_DUP2),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_FORK) && (HAVE_SETSID),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_GETGRNAM) && (HAVE_SETGID),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_GETPWNAM) && (HAVE_SETUID),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_PASSWORD_SAVE,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_CHDIR,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_CHROOT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_DAEMON,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_GETPASS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_GETPID,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_MLOCKALL,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_NICE,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_PUTENV,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_SETGROUPS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_STAT,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_STRERROR,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_SYSTEM,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(HAVE_GETPASS),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(HAVE_PUTENV),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(HAVE_UNLINK),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_SETSOCKOPT) && (SOL_IP) && (IP_MTU_DISCOVER),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(IP_PMTUDISC_DONT) && (IP_PMTUDISC_WANT) && (IP_PMTUDISC_DO),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,MULTI_DEBUG_EVENT_LOOP,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ABOVE_NORMAL_PRIORITY_CLASS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,BELOW_NORMAL_PRIORITY_CLASS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(ENABLE_HTTP_PROXY) &&  (ENABLE_DEBUG),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(ENABLE_HTTP_PROXY) && (ENABLE_SOCKS),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,STRICT_OPTIONS_CHECK,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,TARGET_LINUX,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,USE_PTHREAD,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(USE_CRYPTO),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_FLOCK) && (LOCK_EX) && (LOCK_NB),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,ENABLE_PERFORMANCE_METRICS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(USE_LIBDL),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(USE_LOAD_LIBRARY),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,DUP_CN,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,EXPONENTIAL_BACKOFF,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(TARGET_LINUX),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,CONFIG_FEATURE_IPROUTE,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined (TARGET_SOLARIS),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined (WIN32),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(TARGET_DARWIN),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(TARGET_FREEBSD),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(TARGET_LINUX),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(TARGET_OPENBSD) || defined(TARGET_NETBSD),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,SHAPER_DEBUG,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_SIGNAL_H,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_GETSOCKOPT) && (SOL_SOCKET) && (SO_RCVBUF),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_GETSOCKOPT) && (SOL_SOCKET) && (SO_SNDBUF),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_SETSOCKOPT) && (SOL_SOCKET) && (SO_RCVBUF),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_SETSOCKOPT) && (SOL_SOCKET) && (SO_SNDBUF),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,HAVE_GETPEERNAME,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,BIO_DEBUG,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,CRYPTO_MDEBUG,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,MEASURE_TLS_HANDSHAKE_STATS,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,TLS_AGGREGATE_ACK,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_FTRUNCATE),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,_MSC_VER,Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,defined(HAVE_CHSIZE),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,!(HAVE_READV) || !(HAVE_WRITEV),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(HAVE_TUN_PI) && (HAVE_IPHDR) && (HAVE_IOVEC) && (ETH_P_IPV6) && (ETH_P_IP) && (HAVE_READV) && (HAVE_WRITEV),Misto,Autor,100.0,Major
6fbf66fad3367b24fd6743bcd50254902fd9c8d5,2005-09-01,James,base64.c,,,(IFF_ONE_QUEUE) && (SIOCSIFTXQLEN),Misto,Autor,100.0,Major
