desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
David Sommerseth,!((_WIN32) || (TARGET_LINUX)),1,0.693,0.693,0.0,1,tun.c,1,1,100.0,1.0,100.0,1.0,1,0.006944444444444444,0.010708931248661383,0.9821873255543234,1.0
David Sommerseth,!(ENABLE_DEBUG) && !(ENABLE_SMALL),0,1.099,0.693,0.693,1,options.c,1,0,50.0,1.0,50.0,1.0,1,0.003278688524590164,0.002804183842292701,0.9075700315670454,1.0
Josh Cepek,!(ENABLE_DEBUG) && !(ENABLE_SMALL),1,1.099,0.693,0.693,1,options.c,1,1,50.0,1.0,50.0,1.0,2,0.006557377049180328,0.005608367684585402,0.9075700315670454,1.0
Antonio Quartulli,!(ENABLE_IPROUTE) && !(TARGET_AIX),1,1.099,1.099,0.0,1,route.c,2,1,100.0,1.0,100.0,1.0,2,0.017094017094017096,0.03890293717175647,1.0095035098875704,1.0
Gert Doering,!(ENABLE_LZ4),1,0.693,0.693,0.0,1,init.c,1,1,100.0,1.0,100.0,1.0,1,0.0045045045045045045,0.005790723261335341,0.9821873255543234,1.0
Gert Doering,!(ENABLE_SNAPPY),0,1.099,0.693,0.693,1,init.c,1,0,50.0,1.0,50.0,1.0,2,0.009009009009009009,0.011581446522670681,0.9075700315670454,1.0
James Yonan,!(ENABLE_SNAPPY),1,1.099,0.693,0.693,1,init.c,1,1,50.0,1.0,50.0,1.0,3,0.013513513513513514,0.017372169784006023,0.9075700315670454,1.0
Gert Doering,!(ENABLE_SNAPPY) && !(ENABLE_LZ4),1,1.099,1.099,0.0,1,init.c,2,1,100.0,1.0,100.0,1.0,5,0.02252252252252252,0.028953616306676703,1.0095035098875704,1.0
Gert Doering,!(HAVE_READV) || !(HAVE_WRITEV),0,1.386,0.693,1.099,1,tun.c,1,0,33.333,1.0,33.333,1.0,2,0.013888888888888888,0.021417862497322766,0.8639217126792015,1.0
James,!(HAVE_READV) || !(HAVE_WRITEV),1,1.386,0.693,1.099,1,tun.c,1,1,33.333,1.0,33.333,1.0,3,0.020833333333333332,0.03212679374598415,0.8639217126792015,1.0
James Yonan,!(HAVE_READV) || !(HAVE_WRITEV),0,1.386,0.693,1.099,1,tun.c,1,0,33.333,1.0,33.333,1.0,4,0.027777777777777776,0.04283572499464553,0.8639217126792015,1.0
James,!(IN),1,1.099,1.099,0.0,1,pkcs11.c,2,1,100.0,1.0,100.0,1.0,2,0.07692307692307693,0.8620689655172413,1.0095035098875704,1.0
Gert Doering,!(LZ4_FORCE_UNALIGNED_ACCESS) && !(__GNUC__),1,1.099,1.099,0.0,1,compat-lz4.c,2,1,100.0,1.0,100.0,1.0,2,0.029411764705882353,0.10934937124111536,1.0095035098875704,1.0
James,!(OUT),1,1.099,1.099,0.0,1,pkcs11.c,2,1,100.0,1.0,100.0,1.0,4,0.15384615384615385,1.7241379310344827,1.0095035098875704,1.0
James,!(RSA_PKCS1_PADDING_SIZE),1,1.099,1.099,0.0,1,pkcs11-helper.c,2,1,100.0,1.0,100.0,1.0,2,0.047619047619047616,0.46511627906976744,1.0095035098875704,1.0
Antonio Quartulli,!(TARGET_AIX),1,0.693,0.693,0.0,1,route.c,1,1,100.0,1.0,100.0,1.0,3,0.02564102564102564,0.0583544057576347,0.9821873255543234,1.0
Antonio Quartulli,!(TARGET_ANDROID),1,0.693,0.693,0.0,1,route.c,1,1,100.0,1.0,100.0,1.0,4,0.03418803418803419,0.07780587434351294,0.9821873255543234,1.0
Antonio Quartulli,!(TARGET_LINUX),1,1.099,0.693,0.693,2,route.c,1,1,100.0,1.0,50.0,1.0,5,0.042735042735042736,0.09725734292939117,0.9075700315670454,1.0
Arne Schwabe,!(TARGET_LINUX),0,1.099,0.693,0.693,2,tun.c,1,1,100.0,1.0,50.0,1.0,5,0.034722222222222224,0.05354465624330692,0.9075700315670454,1.0
