"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2002-07-01","Bastien Nocera","Misto",0,0,1,1
"2002-08-01","Bastien Nocera","Misto",0,0,1,1
"2002-09-01","Bastien Nocera","Misto",0,0,1,1
"2002-09-01","James Willcox","Misto",0,0,2,2
"2002-10-01","Bastien Nocera","Misto",0,0,2,2
"2002-11-01","Bastien Nocera","Misto",0,0,2,2
"2002-12-01","Bastien Nocera","Misto",0,0,2,2
"2003-01-01","Bastien Nocera","Misto",0,0,2,2
"2003-02-01","Bastien Nocera","Misto",0,0,2,2
"2003-03-01","Bastien Nocera","Misto",0,0,2,2
"2003-04-01","Bastien Nocera","Misto",0,0,2,2
"2003-04-01","Julien Moutte","Generalista",0,1,2,3
"2003-05-01","Bastien Nocera","Misto",0,1,2,3
"2003-05-01","Julien Moutte","Generalista",0,1,2,3
"2003-06-01","Bastien Nocera","Misto",0,1,2,3
"2003-07-01","Bastien Nocera","Misto",0,1,2,3
"2003-07-01","Julien Moutte","Generalista",0,1,2,3
"2003-08-01","Bastien Nocera","Misto",0,1,2,3
"2003-09-01","Bastien Nocera","Misto",0,1,2,3
"2003-09-01","Frederic Crozat","Generalista",0,2,2,4
"2003-09-01","Julien Moutte","Generalista",0,2,2,4
"2003-10-01","Bastien Nocera","Misto",0,2,2,4
"2003-11-01","Bastien Nocera","Misto",0,2,2,4
"2003-12-01","Bastien Nocera","Misto",0,2,2,4
"2003-12-01","Julien Moutte","Generalista",0,2,2,4
"2004-01-01","Bastien Nocera","Misto",0,2,2,4
"2004-01-01","Jon Trowbridge","Generalista",0,3,2,5
"2004-01-01","Julien Moutte","Generalista",0,3,2,5
"2004-02-01","Bastien Nocera","Misto",0,3,2,5
"2004-02-01","Julien Moutte","Generalista",0,3,2,5
"2004-03-01","Bastien Nocera","Misto",0,3,2,5
"2004-04-01","Bastien Nocera","Misto",0,3,2,5
"2004-05-01","Bastien Nocera","Misto",0,3,2,5
"2004-06-01","Bastien Nocera","Misto",0,3,2,5
"2004-07-01","Bastien Nocera","Misto",0,3,2,5
"2004-08-01","Bastien Nocera","Misto",0,3,2,5
"2004-08-01","Mark Mcloughlin","Generalista",0,4,2,6
"2004-09-01","Bastien Nocera","Misto",0,4,2,6
"2004-09-01","Ronald Bultje","Misto",0,4,3,7
"2004-10-01","Bastien Nocera","Misto",0,4,3,7
"2004-10-01","Ronald Bultje","Misto",0,4,3,7
"2004-11-01","Bastien Nocera","Misto",0,4,3,7
"2004-11-01","Ronald Bultje","Misto",0,4,3,7
"2004-12-01","Bastien Nocera","Misto",0,4,3,7
"2004-12-01","Ronald Bultje","Misto",0,4,3,7
"2005-01-01","Bastien Nocera","Misto",0,4,3,7
"2005-01-01","Ronald Bultje","Misto",0,4,3,7
"2005-02-01","Bastien Nocera","Misto",0,4,3,7
"2005-02-01","Christian Fredrik Kalager Schaller","Generalista",0,5,3,8
"2005-02-01","Ronald Bultje","Misto",0,5,3,8
"2005-03-01","Bastien Nocera","Misto",0,5,3,8
"2005-03-01","Ronald Bultje","Misto",0,5,3,8
"2005-04-01","Bastien Nocera","Misto",0,5,3,8
"2005-04-01","Ronald Bultje","Misto",0,5,3,8
"2005-05-01","Bastien Nocera","Misto",0,5,3,8
"2005-05-01","Ronald Bultje","Misto",0,5,3,8
"2005-06-01","Bastien Nocera","Misto",0,5,3,8
"2005-06-01","Ronald Bultje","Misto",0,5,3,8
"2005-07-01","Bastien Nocera","Misto",0,5,3,8
"2005-07-01","Ronald Bultje","Misto",0,5,3,8
"2005-08-01","Bastien Nocera","Misto",0,5,3,8
"2005-08-01","Ronald Bultje","Misto",0,5,3,8
"2005-09-01","Bastien Nocera","Misto",0,5,3,8
"2005-10-01","Bastien Nocera","Misto",0,5,3,8
"2005-11-01","Bastien Nocera","Misto",0,5,3,8
"2005-11-01","Ronald Bultje","Misto",0,5,4,9
"2005-11-01","Tim-Philipp Muller","Misto",0,5,4,9
"2005-12-01","Bastien Nocera","Misto",0,5,4,9
"2005-12-01","Tim-Philipp Muller","Misto",0,5,4,9
"2006-01-01","Bastien Nocera","Misto",0,5,4,9
"2006-01-01","Ronald Bultje","Misto",0,5,4,9
"2006-01-01","Tim-Philipp Muller","Misto",0,5,4,9
"2006-02-01","Bastien Nocera","Misto",0,5,4,9
"2006-02-01","Ronald Bultje","Misto",0,5,4,9
"2006-02-01","Tim-Philipp Muller","Misto",0,5,4,9
"2006-03-01","Bastien Nocera","Misto",0,5,4,9
"2006-04-01","Bastien Nocera","Misto",0,5,4,9
"2006-05-01","Bastien Nocera","Misto",0,5,4,9
"2006-06-01","Bastien Nocera","Misto",0,5,4,9
"2006-07-01","Bastien Nocera","Misto",0,5,4,9
"2006-08-01","Bastien Nocera","Misto",0,5,4,9
"2006-08-01","Christian Persch","Generalista",0,6,4,10
"2006-09-01","Bastien Nocera","Misto",0,6,4,10
"2006-10-01","Bastien Nocera","Misto",0,6,4,10
"2006-10-01","Christian Persch","Generalista",0,6,4,10
"2006-11-01","Bastien Nocera","Misto",0,6,4,10
"2006-11-01","Christian Persch","Generalista",0,6,4,10
"2006-12-01","Bastien Nocera","Misto",0,6,4,10
"2007-01-01","Bastien Nocera","Misto",0,6,4,10
"2007-01-01","Christian Persch","Generalista",0,6,4,10
"2007-01-01","Tim-Philipp Muller","Misto",0,6,4,10
"2007-02-01","Bastien Nocera","Misto",0,6,4,10
"2007-02-01","Christian Persch","Misto",0,5,5,10
"2007-02-01","Tim-Philipp Muller","Misto",0,5,5,10
"2007-03-01","Bastien Nocera","Misto",0,5,5,10
"2007-03-01","Tim-Philipp Muller","Misto",0,5,5,10
"2007-04-01","Bastien Nocera","Misto",0,5,5,10
"2007-04-01","Jan Arne Petersen","Generalista",0,6,5,11
"2007-05-01","Bastien Nocera","Misto",0,6,5,11
"2007-05-01","Philip Withnall","Generalista",0,7,5,12
"2007-06-01","Bastien Nocera","Misto",0,7,5,12
"2007-06-01","Philip Withnall","Generalista",0,7,5,12
"2007-07-01","Bastien Nocera","Misto",0,7,5,12
"2007-07-01","Christian Persch","Misto",0,7,6,13
"2007-07-01","Frederic Crozat","Generalista",0,7,6,13
"2007-07-01","Jonathan Matthew","Misto",0,7,6,13
"2007-08-01","Bastien Nocera","Misto",0,7,6,13
"2007-08-01","Jonathan Matthew","Misto",0,7,6,13
"2007-09-01","Bastien Nocera","Misto",0,7,6,13
"2007-10-01","Bastien Nocera","Misto",0,7,6,13
"2007-10-01","Philip Withnall","Generalista",0,7,6,13
"2007-11-01","Bastien Nocera","Misto",0,7,6,13
"2007-11-01","James Livingston","Generalista",0,10,6,16
"2007-11-01","Kjartan Maraas","Generalista",0,10,6,16
"2007-11-01","Mathias Hasselmann","Generalista",0,10,6,16
"2007-11-01","Philip Withnall","Generalista",0,10,6,16
"2007-12-01","Bastien Nocera","Misto",0,10,6,16
"2007-12-01","Mathias Hasselmann","Generalista",0,11,6,17
"2007-12-01","Philip Withnall","Generalista",0,11,6,17
"2007-12-01","Takao Fujiwara","Generalista",0,11,6,17
"2008-01-01","Bastien Nocera","Misto",0,11,6,17
"2008-01-01","Philip Withnall","Generalista",0,11,6,17
"2008-02-01","Bastien Nocera","Misto",0,11,6,17
"2008-02-01","Philip Withnall","Generalista",0,11,6,17
"2008-03-01","Bastien Nocera","Misto",0,11,6,17
"2008-03-01","Philip Withnall","Misto",0,10,7,17
"2008-04-01","Bastien Nocera","Misto",0,10,7,17
"2008-04-01","Philip Withnall","Misto",0,10,7,17
"2008-05-01","Bastien Nocera","Misto",0,10,7,17
"2008-05-01","Christian Persch","Misto",0,11,7,18
"2008-05-01","Guillaume Desmottes","Generalista",0,11,7,18
"2008-05-01","Philip Withnall","Misto",0,11,7,18
"2008-06-01","Bastien Nocera","Misto",0,11,7,18
"2008-07-01","Bastien Nocera","Misto",0,11,7,18
"2008-08-01","Bastien Nocera","Misto",0,11,7,18
"2008-09-01","Bastien Nocera","Misto",0,11,7,18
"2008-09-01","Philip Withnall","Misto",0,11,7,18
"2008-10-01","Bastien Nocera","Misto",0,11,7,18
"2008-10-01","Philip Withnall","Misto",0,11,7,18
"2008-11-01","Bastien Nocera","Misto",0,11,7,18
"2008-11-01","Christian Persch","Misto",1,11,7,19
"2008-11-01","Cosimo Cecchi","Especialista",1,11,7,19
"2008-11-01","Philip Withnall","Misto",1,11,7,19
"2008-12-01","Bastien Nocera","Misto",1,11,7,19
"2008-12-01","Philip Withnall","Misto",1,11,7,19
"2009-01-01","Bastien Nocera","Misto",1,11,7,19
"2009-01-01","Brian Cameron","Generalista",1,12,7,20
"2009-01-01","Philip Withnall","Misto",1,12,7,20
"2009-02-01","Bastien Nocera","Misto",1,12,7,20
"2009-02-01","Philip Withnall","Misto",1,12,7,20
"2009-03-01","Bastien Nocera","Misto",1,12,7,20
"2009-03-01","Christian Persch","Misto",1,12,7,20
"2009-03-01","Philip Withnall","Misto",1,12,7,20
"2009-04-01","Bastien Nocera","Misto",1,12,7,20
"2009-04-01","Christian Persch","Misto",1,12,7,20
"2009-04-01","Philip Withnall","Misto",1,12,7,20
"2009-05-01","Bastien Nocera","Misto",1,12,7,20
"2009-06-01","Bastien Nocera","Misto",1,12,7,20
"2009-06-01","Christian Persch","Misto",1,12,7,20
"2009-06-01","Philip Withnall","Misto",1,12,7,20
"2009-07-01","Bastien Nocera","Misto",1,12,7,20
"2009-07-01","Philip Withnall","Misto",1,12,7,20
"2009-08-01","Bastien Nocera","Misto",1,12,7,20
"2009-08-01","Philip Withnall","Misto",1,12,7,20
"2009-09-01","Bastien Nocera","Misto",1,12,7,20
"2009-09-01","Christian Persch","Misto",1,12,7,20
"2009-09-01","Philip Withnall","Misto",1,12,7,20
"2009-10-01","Bastien Nocera","Misto",1,12,7,20
"2009-11-01","Bastien Nocera","Misto",1,12,7,20
"2009-11-01","Christian Persch","Misto",1,13,7,21
"2009-11-01","Philip Withnall","Misto",1,13,7,21
"2009-11-01","Robin Stocker","Generalista",1,13,7,21
"2009-12-01","Bastien Nocera","Misto",1,13,7,21
"2010-01-01","Bastien Nocera","Misto",1,13,7,21
"2010-02-01","Bastien Nocera","Misto",1,13,7,21
"2010-02-01","Javier Jardon","Generalista",1,14,7,22
"2010-02-01","Philip Withnall","Misto",1,14,7,22
"2010-03-01","Bastien Nocera","Misto",1,14,7,22
"2010-04-01","Bastien Nocera","Misto",1,14,7,22
"2010-04-01","Philip Withnall","Misto",1,14,7,22
"2010-05-01","Bastien Nocera","Misto",1,14,7,22
"2010-06-01","Bastien Nocera","Misto",1,14,7,22
"2010-06-01","Philip Withnall","Misto",1,15,7,23
"2010-07-01","Alexander Saprykin","Generalista",1,15,7,23
"2010-07-01","Philip Withnall","Misto",1,15,7,23
"2010-08-01","Bastien Nocera","Misto",1,15,7,23
"2010-08-01","Philip Withnall","Misto",1,15,7,23
"2010-09-01","Bastien Nocera","Misto",1,15,7,23
"2010-09-01","Philip Withnall","Misto",1,15,7,23
"2010-10-01","Bastien Nocera","Misto",1,15,7,23
"2010-10-01","Matthias Clasen","Generalista",1,16,7,24
"2010-11-01","Bastien Nocera","Misto",1,16,7,24
"2010-12-01","Bastien Nocera","Misto",1,16,7,24
"2010-12-01","Philip Withnall","Misto",1,16,7,24
"2011-01-01","Bastien Nocera","Misto",1,16,7,24
"2011-01-01","Philip Withnall","Misto",1,16,7,24
"2011-02-01","Bastien Nocera","Misto",1,16,7,24
"2011-02-01","Ignacio Casal Quinteiro","Generalista",1,17,7,25
"2011-02-01","Philip Withnall","Misto",1,17,7,25
"2011-03-01","Bastien Nocera","Misto",1,17,7,25
"2011-03-01","Tim-Philipp Muller","Misto",1,17,7,25
"2011-04-01","Bastien Nocera","Misto",1,17,7,25
"2011-04-01","Philip Withnall","Misto",1,17,7,25
"2011-06-01","Bastien Nocera","Misto",1,17,7,25
"2011-06-01","Philip Withnall","Misto",1,17,7,25
"2011-07-01","Bastien Nocera","Misto",1,17,7,25
"2011-07-01","Philip Withnall","Misto",1,17,7,25
"2011-09-01","Bastien Nocera","Misto",1,17,7,25
"2011-10-01","Bastien Nocera","Misto",1,17,7,25
"2011-11-01","Bastien Nocera","Misto",1,17,7,25
"2011-12-01","Bastien Nocera","Misto",1,17,7,25
"2011-12-01","Philip Withnall","Misto",1,17,7,25
"2012-01-01","Bastien Nocera","Misto",1,17,7,25
"2012-03-01","Bastien Nocera","Misto",1,17,7,25
"2012-04-01","Bastien Nocera","Misto",1,17,7,25
"2012-05-01","Bastien Nocera","Misto",1,17,7,25
"2012-06-01","Bastien Nocera","Misto",1,17,7,25
"2012-07-01","Bastien Nocera","Misto",1,17,7,25
"2012-08-01","Bastien Nocera","Misto",1,17,7,25
"2012-09-01","Bastien Nocera","Misto",1,17,7,25
"2012-10-01","Bastien Nocera","Misto",1,17,7,25
"2012-11-01","Bastien Nocera","Misto",1,17,7,25
"2012-12-01","Bastien Nocera","Misto",1,17,7,25
