"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Bastien Nocera","2002-07-01","Major",1,0,1,100,0
"Bastien Nocera","2002-08-01","Major",1,0,1,100,0
"Bastien Nocera","2002-09-01","Major",1,0,1,100,0
"James Willcox","2002-09-01","Major",2,0,2,100,0
"Bastien Nocera","2002-10-01","Major",2,0,2,100,0
"Bastien Nocera","2002-11-01","Major",2,0,2,100,0
"Bastien Nocera","2002-12-01","Major",2,0,2,100,0
"Bastien Nocera","2003-01-01","Major",2,0,2,100,0
"Bastien Nocera","2003-02-01","Major",2,0,2,100,0
"Bastien Nocera","2003-03-01","Major",2,0,2,100,0
"Bastien Nocera","2003-04-01","Major",2,0,2,100,0
"Julien Moutte","2003-04-01","Major",3,0,3,100,0
"Bastien Nocera","2003-05-01","Major",3,0,3,100,0
"Julien Moutte","2003-05-01","Major",3,0,3,100,0
"Bastien Nocera","2003-06-01","Major",3,0,3,100,0
"Bastien Nocera","2003-07-01","Major",3,0,3,100,0
"Julien Moutte","2003-07-01","Major",3,0,3,100,0
"Bastien Nocera","2003-08-01","Major",3,0,3,100,0
"Bastien Nocera","2003-09-01","Major",3,0,3,100,0
"Frederic Crozat","2003-09-01","Major",4,0,4,100,0
"Julien Moutte","2003-09-01","Major",4,0,4,100,0
"Bastien Nocera","2003-10-01","Major",4,0,4,100,0
"Bastien Nocera","2003-11-01","Major",4,0,4,100,0
"Bastien Nocera","2003-12-01","Major",4,0,4,100,0
"Julien Moutte","2003-12-01","Major",4,0,4,100,0
"Bastien Nocera","2004-01-01","Major",4,0,4,100,0
"Jon Trowbridge","2004-01-01","Major",5,0,5,100,0
"Julien Moutte","2004-01-01","Major",5,0,5,100,0
"Bastien Nocera","2004-02-01","Major",5,0,5,100,0
"Julien Moutte","2004-02-01","Major",5,0,5,100,0
"Bastien Nocera","2004-03-01","Major",5,0,5,100,0
"Bastien Nocera","2004-04-01","Major",5,0,5,100,0
"Bastien Nocera","2004-05-01","Major",5,0,5,100,0
"Bastien Nocera","2004-06-01","Major",5,0,5,100,0
"Bastien Nocera","2004-07-01","Major",5,0,5,100,0
"Bastien Nocera","2004-08-01","Major",5,0,5,100,0
"Mark Mcloughlin","2004-08-01","Major",6,0,6,100,0
"Bastien Nocera","2004-09-01","Major",6,0,6,100,0
"Ronald Bultje","2004-09-01","Major",7,0,7,100,0
"Bastien Nocera","2004-10-01","Major",7,0,7,100,0
"Ronald Bultje","2004-10-01","Major",7,0,7,100,0
"Bastien Nocera","2004-11-01","Major",7,0,7,100,0
"Ronald Bultje","2004-11-01","Major",7,0,7,100,0
"Bastien Nocera","2004-12-01","Major",7,0,7,100,0
"Ronald Bultje","2004-12-01","Major",7,0,7,100,0
"Bastien Nocera","2005-01-01","Major",7,0,7,100,0
"Ronald Bultje","2005-01-01","Major",7,0,7,100,0
"Bastien Nocera","2005-02-01","Major",7,0,7,100,0
"Christian Fredrik Kalager Schaller","2005-02-01","Major",8,0,8,100,0
"Ronald Bultje","2005-02-01","Major",8,0,8,100,0
"Bastien Nocera","2005-03-01","Major",8,0,8,100,0
"Ronald Bultje","2005-03-01","Major",8,0,8,100,0
"Bastien Nocera","2005-04-01","Major",8,0,8,100,0
"Ronald Bultje","2005-04-01","Major",8,0,8,100,0
"Bastien Nocera","2005-05-01","Major",8,0,8,100,0
"Ronald Bultje","2005-05-01","Major",8,0,8,100,0
"Bastien Nocera","2005-06-01","Major",8,0,8,100,0
"Ronald Bultje","2005-06-01","Major",8,0,8,100,0
"Bastien Nocera","2005-07-01","Major",8,0,8,100,0
"Ronald Bultje","2005-07-01","Major",8,0,8,100,0
"Bastien Nocera","2005-08-01","Major",8,0,8,100,0
"Ronald Bultje","2005-08-01","Major",8,0,8,100,0
"Bastien Nocera","2005-09-01","Major",8,0,8,100,0
"Bastien Nocera","2005-10-01","Major",8,0,8,100,0
"Bastien Nocera","2005-11-01","Major",8,0,8,100,0
"Ronald Bultje","2005-11-01","Major",9,0,9,100,0
"Tim-Philipp Muller","2005-11-01","Major",9,0,9,100,0
"Bastien Nocera","2005-12-01","Major",9,0,9,100,0
"Tim-Philipp Muller","2005-12-01","Major",9,0,9,100,0
"Bastien Nocera","2006-01-01","Major",9,0,9,100,0
"Ronald Bultje","2006-01-01","Major",9,0,9,100,0
"Tim-Philipp Muller","2006-01-01","Major",9,0,9,100,0
"Bastien Nocera","2006-02-01","Major",9,0,9,100,0
"Ronald Bultje","2006-02-01","Major",9,0,9,100,0
"Tim-Philipp Muller","2006-02-01","Major",9,0,9,100,0
"Bastien Nocera","2006-03-01","Major",9,0,9,100,0
"Bastien Nocera","2006-04-01","Major",9,0,9,100,0
"Bastien Nocera","2006-05-01","Major",9,0,9,100,0
"Bastien Nocera","2006-06-01","Major",9,0,9,100,0
"Bastien Nocera","2006-07-01","Major",9,0,9,100,0
"Bastien Nocera","2006-08-01","Major",9,0,9,100,0
"Christian Persch","2006-08-01","Major",10,0,10,100,0
"Bastien Nocera","2006-09-01","Major",10,0,10,100,0
"Bastien Nocera","2006-10-01","Major",10,0,10,100,0
"Christian Persch","2006-10-01","Major",10,0,10,100,0
"Bastien Nocera","2006-11-01","Major",10,0,10,100,0
"Christian Persch","2006-11-01","Major",10,0,10,100,0
"Bastien Nocera","2006-12-01","Major",10,0,10,100,0
"Bastien Nocera","2007-01-01","Major",10,0,10,100,0
"Christian Persch","2007-01-01","Major",10,0,10,100,0
"Tim-Philipp Muller","2007-01-01","Major",10,0,10,100,0
"Bastien Nocera","2007-02-01","Major",10,0,10,100,0
"Christian Persch","2007-02-01","Major",10,0,10,100,0
"Tim-Philipp Muller","2007-02-01","Major",10,0,10,100,0
"Bastien Nocera","2007-03-01","Major",10,0,10,100,0
"Tim-Philipp Muller","2007-03-01","Major",10,0,10,100,0
"Bastien Nocera","2007-04-01","Major",10,0,10,100,0
"Jan Arne Petersen","2007-04-01","Major",11,0,11,100,0
"Bastien Nocera","2007-05-01","Major",11,0,11,100,0
"Philip Withnall","2007-05-01","Major",12,0,12,100,0
"Bastien Nocera","2007-06-01","Major",12,0,12,100,0
"Philip Withnall","2007-06-01","Major",12,0,12,100,0
"Bastien Nocera","2007-07-01","Major",12,0,12,100,0
"Christian Persch","2007-07-01","Major",13,0,13,100,0
"Frederic Crozat","2007-07-01","Major",13,0,13,100,0
"Jonathan Matthew","2007-07-01","Major",13,0,13,100,0
"Bastien Nocera","2007-08-01","Major",13,0,13,100,0
"Jonathan Matthew","2007-08-01","Major",13,0,13,100,0
"Bastien Nocera","2007-09-01","Major",13,0,13,100,0
"Bastien Nocera","2007-10-01","Major",13,0,13,100,0
"Philip Withnall","2007-10-01","Major",13,0,13,100,0
"Bastien Nocera","2007-11-01","Major",13,0,13,100,0
"James Livingston","2007-11-01","Major",16,0,16,100,0
"Kjartan Maraas","2007-11-01","Major",16,0,16,100,0
"Mathias Hasselmann","2007-11-01","Major",16,0,16,100,0
"Philip Withnall","2007-11-01","Major",16,0,16,100,0
"Bastien Nocera","2007-12-01","Major",16,0,16,100,0
