"Desenvolvedor","Data","Commits","Total"
"Bastien Nocera","2002-07-01",10,3657
"Bastien Nocera","2002-08-01",40,3657
"Bastien Nocera","2002-09-01",4,3657
"James Willcox","2002-09-01",2,3657
"Bastien Nocera","2002-10-01",30,3657
"Bastien Nocera","2002-11-01",36,3657
"Bastien Nocera","2002-12-01",24,3657
"Bastien Nocera","2003-01-01",69,3657
"Bastien Nocera","2003-02-01",44,3657
"Bastien Nocera","2003-03-01",29,3657
"Bastien Nocera","2003-04-01",56,3657
"Julien Moutte","2003-04-01",2,3657
"Bastien Nocera","2003-05-01",40,3657
"Julien Moutte","2003-05-01",4,3657
"Bastien Nocera","2003-06-01",26,3657
"Bastien Nocera","2003-07-01",30,3657
"Julien Moutte","2003-07-01",1,3657
"Bastien Nocera","2003-08-01",9,3657
"Bastien Nocera","2003-09-01",24,3657
"Frederic Crozat","2003-09-01",1,3657
"Julien Moutte","2003-09-01",1,3657
"Bastien Nocera","2003-10-01",34,3657
"Bastien Nocera","2003-11-01",12,3657
"Bastien Nocera","2003-12-01",9,3657
"Julien Moutte","2003-12-01",1,3657
"Bastien Nocera","2004-01-01",10,3657
"Jon Trowbridge","2004-01-01",2,3657
"Julien Moutte","2004-01-01",1,3657
"Bastien Nocera","2004-02-01",12,3657
"Julien Moutte","2004-02-01",2,3657
"Bastien Nocera","2004-03-01",18,3657
"Bastien Nocera","2004-04-01",23,3657
"Bastien Nocera","2004-05-01",8,3657
"Bastien Nocera","2004-06-01",12,3657
"Bastien Nocera","2004-07-01",17,3657
"Bastien Nocera","2004-08-01",2,3657
"Mark Mcloughlin","2004-08-01",1,3657
"Bastien Nocera","2004-09-01",20,3657
"Ronald Bultje","2004-09-01",1,3657
"Bastien Nocera","2004-10-01",24,3657
"Ronald Bultje","2004-10-01",12,3657
"Bastien Nocera","2004-11-01",21,3657
"Ronald Bultje","2004-11-01",12,3657
"Bastien Nocera","2004-12-01",20,3657
"Ronald Bultje","2004-12-01",4,3657
"Bastien Nocera","2005-01-01",36,3657
"Ronald Bultje","2005-01-01",21,3657
"Bastien Nocera","2005-02-01",16,3657
"Christian Fredrik Kalager Schaller","2005-02-01",1,3657
"Ronald Bultje","2005-02-01",3,3657
"Bastien Nocera","2005-03-01",50,3657
"Ronald Bultje","2005-03-01",13,3657
"Bastien Nocera","2005-04-01",25,3657
"Ronald Bultje","2005-04-01",8,3657
"Bastien Nocera","2005-05-01",15,3657
"Ronald Bultje","2005-05-01",3,3657
"Bastien Nocera","2005-06-01",8,3657
"Ronald Bultje","2005-06-01",1,3657
"Bastien Nocera","2005-07-01",28,3657
"Ronald Bultje","2005-07-01",10,3657
"Bastien Nocera","2005-08-01",15,3657
"Ronald Bultje","2005-08-01",5,3657
"Bastien Nocera","2005-09-01",11,3657
"Bastien Nocera","2005-10-01",18,3657
"Bastien Nocera","2005-11-01",10,3657
"Ronald Bultje","2005-11-01",1,3657
"Tim-Philipp Muller","2005-11-01",1,3657
"Bastien Nocera","2005-12-01",7,3657
"Tim-Philipp Muller","2005-12-01",3,3657
"Bastien Nocera","2006-01-01",28,3657
"Ronald Bultje","2006-01-01",3,3657
"Tim-Philipp Muller","2006-01-01",2,3657
