commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
bb8d1f1b1ddbcae5793da47c0fdc956c2d3b8f11,2002-07-01,Bastien Nocera,gtk-playlist.c,2,True,DEBUG,Misto,Autor,100.0,Major
bb8d1f1b1ddbcae5793da47c0fdc956c2d3b8f11,2002-07-01,Bastien Nocera,gtk-playlist.c,,,XShmGetEventBase,Misto,Autor,100.0,Major
ed0e64370c60fde5da99b91c54310ca51a5cf14d,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,,Misto,Autor,100.0,Major
04656b003949bdcf775da6b90f40623f7ccc447d,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,,Misto,Autor,100.0,Major
3c83974366295f35be7b8b30f449ec3fe74580c5,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,,Misto,Autor,100.0,Major
1dab89cd15558c0b80c261e3f64016fbe028443b,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,,Misto,Autor,100.0,Major
f4f73da18b840bee7d1ccab54ca0b63dbc10d371,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,DEBUG_PL_ENABLE,Misto,Autor,100.0,Major
5a214fc8375d1dde7bac4255f595c47abfe8206a,2002-07-01,Bastien Nocera,gtk-playlist.c,1,True,TOTEM_DEBUG,Misto,Autor,100.0,Major
8e07885e891d56cc61a2c8bc0b117da26160cca5,2002-07-01,Bastien Nocera,gtk-playlist.c,3,True,DEBUG_PL_ENABLE,Misto,Autor,100.0,Major
8e07885e891d56cc61a2c8bc0b117da26160cca5,2002-07-01,Bastien Nocera,gtk-playlist.c,,,TOTEM_DEBUG,Misto,Autor,100.0,Major
8e07885e891d56cc61a2c8bc0b117da26160cca5,2002-07-01,Bastien Nocera,gtk-playlist.c,,,DEBUG,Misto,Autor,100.0,Major
bb8d1f1b1ddbcae5793da47c0fdc956c2d3b8f11,2002-07-01,Bastien Nocera,gtk-xine.c,2,True,DEBUG,Misto,Autor,100.0,Major
bb8d1f1b1ddbcae5793da47c0fdc956c2d3b8f11,2002-07-01,Bastien Nocera,gtk-xine.c,,,XShmGetEventBase,Misto,Autor,100.0,Major
