desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Bastien Nocera,! (__linux__),1,1.099,1.099,0.0,1,cd-drive.c,2,1,100.0,1.0,100.0,1.0,2,0.05405405405405406,0.8583690987124464,1.0095035098875704,1.0
Bastien Nocera,!( (__linux__)) || ( (__linux__) && ( (USE_HAL))),1,1.099,1.099,0.0,1,cd-drive.c,2,1,100.0,1.0,100.0,1.0,4,0.10810810810810811,1.7167381974248928,1.0095035098875704,1.0
Bastien Nocera,(GDK_WINDOWING_WIN32),1,1.099,1.099,0.0,1,eggsmclient.c,2,1,100.0,1.0,100.0,1.0,2,0.5,33.333333333333336,1.0095035098875704,1.0
Bastien Nocera,(NPVERS_HAS_NPOBJECT_ENUM) && (NP_VERSION_MINOR >= NPVERS_HAS_NPOBJECT_ENUM),0,1.099,0.693,0.693,1,totemNPNGlue.cpp,1,0,50.0,1.0,50.0,1.0,1,0.16666666666666666,4.761904761904762,0.9075700315670454,1.0
Christian Persch,(NPVERS_HAS_NPOBJECT_ENUM) && (NP_VERSION_MINOR >= NPVERS_HAS_NPOBJECT_ENUM),1,1.099,0.693,0.693,1,totemNPNGlue.cpp,1,1,50.0,1.0,50.0,1.0,2,0.3333333333333333,9.523809523809524,0.9075700315670454,1.0
Bastien Nocera,(NP_CLASS_STRUCT_VERSION_CTOR) && (NP_CLASS_STRUCT_VERSION >= NP_CLASS_STRUCT_VERSION_CTOR),0,1.099,0.693,0.693,1,totemNPClass.cpp,1,0,50.0,1.0,50.0,1.0,1,0.25,10.0,0.9075700315670454,1.0
Christian Persch,(NP_CLASS_STRUCT_VERSION_CTOR) && (NP_CLASS_STRUCT_VERSION >= NP_CLASS_STRUCT_VERSION_CTOR),1,1.099,0.693,0.693,1,totemNPClass.cpp,1,1,50.0,1.0,50.0,1.0,2,0.5,20.0,0.9075700315670454,1.0
Bastien Nocera,(NP_CLASS_STRUCT_VERSION_ENUM) && (NP_CLASS_STRUCT_VERSION >= NP_CLASS_STRUCT_VERSION_ENUM),0,1.099,0.693,0.693,1,totemNPClass.cpp,1,0,50.0,1.0,50.0,1.0,3,0.75,30.0,0.9075700315670454,1.0
Christian Persch,(NP_CLASS_STRUCT_VERSION_ENUM) && (NP_CLASS_STRUCT_VERSION >= NP_CLASS_STRUCT_VERSION_ENUM),1,1.099,0.693,0.693,1,totemNPClass.cpp,1,1,50.0,1.0,50.0,1.0,4,1.0,40.0,0.9075700315670454,1.0
Bastien Nocera,(TOTEM_BASIC_PLUGIN),0,1.792,0.693,1.609,1,totemPlugin.cpp,1,0,20.0,0.25,20.0,0.25,1,0.009259259259259259,0.04079967360261118,0.3595538342807926,0.3709415399256372
Christian Persch,(TOTEM_BASIC_PLUGIN),1,1.792,1.609,0.693,1,totemPlugin.cpp,4,1,80.0,1.0,80.0,1.0,5,0.046296296296296294,0.2039983680130559,0.9693005381734072,1.0
Bastien Nocera,(TOTEM_COMPLEX_PLUGIN) && (HAVE_NSTARRAY_H),0,1.386,0.693,1.099,1,totemPlugin.cpp,1,0,33.333,0.5,33.333,0.5,6,0.05555555555555555,0.24479804161566707,0.5643367126792015,0.6036421364237862
Christian Persch,(TOTEM_COMPLEX_PLUGIN) && (HAVE_NSTARRAY_H),1,1.386,1.099,0.693,1,totemPlugin.cpp,2,1,66.667,1.0,66.667,1.0,8,0.07407407407407407,0.3263973888208894,0.9348862159002924,1.0
