"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Roberto@Sirius","2009-04-01","Major",1,0,1,100,0
"Roberto@Sirius","2009-05-01","Major",1,0,1,100,0
"Roberto@Localhost.Localdomain","2009-08-01","Major",2,0,2,100,0
"Roberto@Localhost.Localdomain","2009-09-01","Major",2,0,2,100,0
"Roberto@Localhost.Localdomain","2009-11-01","Major",2,0,2,100,0
"Roberto@Sirius","2009-11-01","Major",2,0,2,100,0
"Roberto@Localhost.Localdomain","2009-12-01","Major",2,0,2,100,0
"Roberto@Sirius","2009-12-01","Major",2,0,2,100,0
"Roberto@Sirius","2010-01-01","Major",2,0,2,100,0
"Roberto@Sirius","2010-02-01","Major",2,0,2,100,0
"Roberto@Fierobecco","2010-03-01","Major",3,0,3,100,0
"Roberto@Fierobecco","2010-03-01","Minor",3,2,5,60,40
"Roberto@Sirius","2010-03-01","Major",3,2,5,60,40
"Roberto@Sirius.Local","2010-03-01","Minor",3,2,5,60,40
"Roberto@Unbit","2010-03-01","Major",3,2,5,60,40
"Roberto@Sirius","2010-04-01","Major",3,2,5,60,40
"Roberto@Solaris","2010-04-01","Major",4,2,6,66.6666666666667,33.3333333333333
"Roberto@Sirius","2010-05-01","Major",4,2,6,66.6666666666667,33.3333333333333
"Roberto@Silente","2010-06-01","Major",5,2,7,71.4285714285714,28.5714285714286
"Roberto@Sirius","2010-06-01","Major",5,2,7,71.4285714285714,28.5714285714286
"Roberto@Sirius","2010-07-01","Major",5,2,7,71.4285714285714,28.5714285714286
"Roberto@Sirius","2010-08-01","Major",5,2,7,71.4285714285714,28.5714285714286
"Roberto@Ubuntu64","2010-08-01","Major",8,2,10,80,20
"Roberto@Voldermort","2010-08-01","Major",8,2,10,80,20
"Roberto@Fiorenzo","2010-09-01","Major",8,2,10,80,20
"Roberto@Sirius","2010-09-01","Major",8,2,10,80,20
"Roberto@Sirius","2010-10-01","Major",8,2,10,80,20
"Roberto","2010-11-01","Major",9,2,11,81.8181818181818,18.1818181818182
"Roberto@Debian32","2010-11-01","Major",11,2,13,84.6153846153846,15.3846153846154
"Roberto@Fiorenzo","2010-11-01","Major",11,2,13,84.6153846153846,15.3846153846154
"Roberto@Mrspurr","2010-11-01","Major",11,2,13,84.6153846153846,15.3846153846154
"Roberto@Sirius","2010-11-01","Major",11,2,13,84.6153846153846,15.3846153846154
