"Desenvolvedor","Data","Commits","Total"
"Roberto@Sirius","2009-04-01",16,2454
"Roberto@Sirius","2009-05-01",2,2454
"Roberto@Localhost.Localdomain","2009-08-01",1,2454
"Roberto@Localhost.Localdomain","2009-09-01",1,2454
"Roberto@Localhost.Localdomain","2009-11-01",1,2454
"Roberto@Sirius","2009-11-01",3,2454
"Roberto@Localhost.Localdomain","2009-12-01",1,2454
"Roberto@Sirius","2009-12-01",8,2454
"Roberto@Sirius","2010-01-01",14,2454
"Roberto@Sirius","2010-02-01",12,2454
"Roberto@Fierobecco","2010-03-01",4,2454
"Roberto@Sirius","2010-03-01",39,2454
"Roberto@Sirius.Local","2010-03-01",1,2454
"Roberto@Unbit","2010-03-01",1,2454
"Roberto@Sirius","2010-04-01",13,2454
"Roberto@Solaris","2010-04-01",1,2454
"Roberto@Sirius","2010-05-01",4,2454
"Roberto@Silente","2010-06-01",1,2454
"Roberto@Sirius","2010-06-01",7,2454
"Roberto@Sirius","2010-07-01",8,2454
"Roberto@Sirius","2010-08-01",6,2454
"Roberto@Ubuntu64","2010-08-01",1,2454
"Roberto@Voldermort","2010-08-01",1,2454
"Roberto@Fiorenzo","2010-09-01",2,2454
"Roberto@Sirius","2010-09-01",12,2454
"Roberto@Sirius","2010-10-01",20,2454
"Roberto","2010-11-01",1,2454
"Roberto@Debian32","2010-11-01",1,2454
"Roberto@Fiorenzo","2010-11-01",2,2454
"Roberto@Mrspurr","2010-11-01",3,2454
"Roberto@Sirius","2010-11-01",9,2454
"Roberto@Sirius","2010-12-01",7,2454
"Roberto@Debian32","2011-01-01",2,2454
"Roberto@Maverick64","2011-01-01",1,2454
"Roberto@Sirius","2011-01-01",8,2454
"Roberto@Fiorenzo","2011-02-01",1,2454
"Roberto@Goyle","2011-02-01",3,2454
"Roberto@Maverick64","2011-02-01",5,2454
"Roberto@Sirius","2011-02-01",8,2454
"Roberto@Dj2","2011-03-01",3,2454
"Roberto@Maverick64","2011-03-01",2,2454
"Roberto@Natty32","2011-03-01",2,2454
"Roberto@Sirius","2011-03-01",4,2454
"Roberto@Debian32","2011-04-01",2,2454
"Roberto@Maverick64","2011-04-01",5,2454
"Roberto@Natty32","2011-04-01",17,2454
"Roberto@Sirius","2011-04-01",3,2454
"Roberto@Solarisexpress","2011-04-01",1,2454
"Roberto@Debian32","2011-05-01",5,2454
"Roberto@Fedora15","2011-05-01",1,2454
"Roberto@Natty32","2011-05-01",4,2454
"Roberto@Sirius","2011-05-01",1,2454
"Roberto@Debian32","2011-06-01",23,2454
"Roberto@Debian32","2011-07-01",9,2454
"Roberto@Natty32","2011-07-01",2,2454
"Roberto@Sirius","2011-07-01",2,2454
"Roberto@Debian32","2011-08-01",40,2454
"Roberto@Sirius","2011-08-01",2,2454
"Roberto@Debian32","2011-09-01",16,2454
"Roberto@Debian32","2011-10-01",27,2454
"Roberto@Debian32","2011-11-01",15,2454
"Roberto@Goyle","2011-11-01",1,2454
"Roberto@Oneiric64","2011-11-01",4,2454
"Roberto@Sirius","2011-11-01",1,2454
"Roberto@Oneiric64","2011-12-01",17,2454
"Roberto@Oneiric64","2012-01-01",15,2454
"Roberto@Goyle","2012-02-01",1,2454
"Roberto@Oneiric64","2012-02-01",7,2454
"Roberto@Precise64","2012-02-01",14,2454
"Roberto@Sirius","2012-02-01",2,2454
"Roberto@Goyle","2012-03-01",1,2454
"Roberto@Icarus","2012-03-01",1,2454
"Roberto@Openbsd50","2012-03-01",1,2454
"Roberto@Openindiana","2012-03-01",1,2454
"Roberto@Precise64","2012-03-01",22,2454
"Roberto@Precise64","2012-04-01",6,2454
"Roberto@Sirius","2012-04-01",1,2454
"Roberto@Precise64","2012-05-01",23,2454
"Roberto@Sirius","2012-05-01",1,2454
"Roberto@Quantal64","2012-06-01",2,2454
"Roberto@Quantal64","2012-07-01",6,2454
"Roberto@Quantal64","2012-08-01",10,2454
"Roberto@Arch","2012-09-01",1,2454
"Roberto@Quantal64","2012-09-01",12,2454
"Colin Ligertwood","2012-10-01",1,2454
"Colinlbc","2012-10-01",6,2454
"Lukasz Mierzwa","2012-10-01",1,2454
"Roberto De Ioris","2012-10-01",8,2454
"Unbit","2012-10-01",5,2454
"Roberto De Ioris","2012-11-01",7,2454
"Unbit","2012-11-01",5,2454
"Lukasz Mierzwa","2012-12-01",3,2454
"Roberto De Ioris","2012-12-01",35,2454
"Unbit","2012-12-01",6,2454
"Lukasz Mierzwa","2013-01-01",8,2454
"Roberto De Ioris","2013-01-01",37,2454
"Unbit","2013-01-01",48,2454
"Lukasz Mierzwa","2013-02-01",1,2454
"Unbit","2013-02-01",114,2454
"Lukasz Mierzwa","2013-03-01",2,2454
"Riccardo Magliocchetti","2013-03-01",4,2454
"Unbit","2013-03-01",174,2454
"Lukasz Mierzwa","2013-04-01",6,2454
"Unbit","2013-04-01",120,2454
"Lukasz Mierzwa","2013-05-01",4,2454
"Unbit","2013-05-01",92,2454
"Lukasz Mierzwa","2013-06-01",1,2454
"Unbit","2013-06-01",49,2454
"Guido Berhoerster","2013-07-01",6,2454
"Unbit","2013-07-01",67,2454
"Unbit","2013-08-01",49,2454
"Lukasz Mierzwa","2013-09-01",1,2454
"Unbit","2013-09-01",94,2454
"Lukasz Mierzwa","2013-10-01",1,2454
"Riccardo Magliocchetti","2013-10-01",2,2454
"Unbit","2013-10-01",93,2454
"Lukasz Mierzwa","2013-11-01",2,2454
"Riccardo Magliocchetti","2013-11-01",7,2454
"Unbit","2013-11-01",116,2454
"Lukasz Mierzwa","2013-12-01",2,2454
"Riccardo Magliocchetti","2013-12-01",2,2454
"Unbit","2013-12-01",97,2454
"Unbit","2014-01-01",65,2454
"Unbit","2014-02-01",33,2454
"Roberto De Ioris","2014-03-01",3,2454
"Unbit","2014-03-01",25,2454
"Getcwd","2014-04-01",9,2454
"Unbit","2014-04-01",21,2454
"Roberto De Ioris","2014-05-01",3,2454
"Unbit","2014-05-01",79,2454
"Marko Tiikkaja","2014-06-01",2,2454
"Unbit","2014-06-01",64,2454
"Unbit","2014-07-01",21,2454
"Mike Kaplinskiy","2014-08-01",1,2454
"Unbit","2014-08-01",38,2454
"Unbit","2014-09-01",33,2454
"Unbit","2014-10-01",20,2454
"Unbit","2014-11-01",18,2454
"Unbit","2014-12-01",14,2454
"Riccardo Magliocchetti","2015-01-01",1,2454
"Unbit","2015-01-01",6,2454
"Curtis Maloney","2015-02-01",1,2454
"Unbit","2015-02-01",8,2454
"Unbit","2015-03-01",1,2454
"Curtis Maloney","2015-04-01",1,2454
"Unbit","2015-04-01",3,2454
"Riccardo Magliocchetti","2015-05-01",1,2454
"Unbit","2015-05-01",11,2454
"Hleran","2015-06-01",1,2454
"Unbit","2015-06-01",3,2454
"Hleran","2015-07-01",10,2454
"Unbit","2015-07-01",2,2454
"Hleran","2015-08-01",13,2454
"Unbit","2015-08-01",26,2454
"Hleran","2015-09-01",9,2454
"Unbit","2015-09-01",7,2454
"Unbit","2015-10-01",1,2454
"Hleran","2015-11-01",2,2454
"Unbit","2015-11-01",2,2454
"Hleran","2015-12-01",2,2454
"Unbit","2015-12-01",3,2454
"Hleran","2016-01-01",3,2454
"Unbit","2016-02-01",1,2454
"Hleran","2016-04-01",3,2454
"Unbit","2016-05-01",4,2454
"Felicity Tarnell","2016-07-01",1,2454
"Unbit","2016-07-01",2,2454
"Unbit","2016-08-01",1,2454
"Unbit","2016-09-01",1,2454
"Unbit","2016-11-01",8,2454
"Unbit","2017-02-01",1,2454
"Unbit","2017-03-01",8,2454
"Unbit","2017-09-01",2,2454
"Unbit","2017-11-01",2,2454
"Paul J Stevens","2018-02-01",2,2454
"Unbit","2018-02-01",2,2454
"Unbit","2018-03-01",1,2454
"Unbit","2018-06-01",2,2454
"Unbit","2018-07-01",2,2454
"Unbit","2018-08-01",1,2454
"Unbit","2019-03-01",1,2454
