commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
241ec953de73a396e601c63c193d4d5086679473,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,BSD,Misto,Colaborador,100.0,Major
cc219db60eabb4d02659c92bdad7def038abe132,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
237a150297c8324192d6c3134a4a1cfeedf01b55,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
ecd76711593f2ec7a4022ce7128d596abd3b545e,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
10dd06fde59f41aee22c459fbaebe94714c2f863,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
bb06fcc811be3f081bc0ee40c7288092e9ab25be,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
ac10c21abd7f2903691e33b85734166bcb5e1f32,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
b6e03fae6da45f3fee4fc989d1993a8f6de57b78,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
e72b27bd9978fad9d3f79b4fe20a706d573feaac,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
9508c50badff2bcdc33ac4cd5afe6533ae84d6eb,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
e59c1ffb5d1ed67123e2d0eeb1caccaed57a79f8,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
daffc0069e11dfb2389a9b8ed9c487d86e1fc0db,2009-04-01,Roberto@Sirius,mod_uwsgi.c,1,True,,Misto,Colaborador,100.0,Major
241ec953de73a396e601c63c193d4d5086679473,2009-04-01,Roberto@Sirius,uwsgi_client.c,1,True,,Misto,Autor,100.0,Major
2f2fd04bf38450c638b146741720fd3aa9cf2b21,2009-04-01,Roberto@Sirius,uwsgi_client.c,1,True,,Misto,Autor,100.0,Major
d9e33232a2f857781910dbd80d061e858ad489c8,2009-04-01,Roberto@Sirius,uwsgi_client.c,1,True,,Misto,Autor,100.0,Major
