desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Unbit,!(PYTHREE),1,1.099,1.099,0.0,2,gil.c,1,1,100.0,1.0,100.0,1.0,1,0.14285714285714285,3.5714285714285716,1.0095035098875704,1.0
Unbit,!(PYTHREE),1,1.099,1.099,0.0,2,pyutils.c,1,1,100.0,1.0,100.0,1.0,1,0.023255813953488372,0.16129032258064516,1.0095035098875704,1.0
Roberto@Debian32,!(PYTHREE) && !(UWSGI_PYPY),1,2.197,1.609,1.609,4,python_plugin.c,2,1,100.0,1.0,50.0,1.0,2,0.025974025974025976,0.08233841086867023,0.8706618408871544,1.0
Roberto@Debian32,!(PYTHREE) && !(UWSGI_PYPY),1,2.197,1.609,1.609,4,symimporter.c,2,1,100.0,1.0,50.0,1.0,2,0.2857142857142857,8.333333333333334,0.8706618408871544,1.0
Roberto@Mrspurr,!(PYTHREE) && !(UWSGI_PYPY),0,2.197,1.099,1.946,4,gil.c,1,1,50.0,1.0,25.0,0.5,2,0.2857142857142857,7.142857142857143,0.8000262823417661,0.9188714203054831
Roberto@Mrspurr,!(PYTHREE) && !(UWSGI_PYPY),0,2.197,1.099,1.946,4,pyutils.c,1,1,50.0,1.0,25.0,0.5,2,0.046511627906976744,0.3225806451612903,0.8000262823417661,0.9188714203054831
Unbit,!(PYTHREE) && !(UWSGI_PYPY),0,2.197,1.099,1.946,4,gil.c,1,0,50.0,1.0,25.0,0.5,3,0.42857142857142855,10.714285714285714,0.8000262823417661,0.9188714203054831
Unbit,!(PYTHREE) && !(UWSGI_PYPY),0,2.197,1.099,1.946,4,pyutils.c,1,0,50.0,1.0,25.0,0.5,3,0.06976744186046512,0.4838709677419355,0.8000262823417661,0.9188714203054831
Dmitry Moiseev,!(_GNU_SOURCE) && !(__UCLIBC__),1,0.693,0.693,0.0,1,utils.c,1,1,100.0,1.0,100.0,1.0,1,0.004608294930875576,0.00570027931368637,0.9821873255543234,1.0
Riccardo Magliocchetti,!(__FreeBSD__) && !(__DragonFly__),1,1.099,1.099,0.0,2,pty.c,1,1,100.0,1.0,100.0,1.0,1,0.043478260869565216,0.4424778761061947,1.0095035098875704,1.0
Riccardo Magliocchetti,!(__FreeBSD__) && !(__DragonFly__),1,1.099,1.099,0.0,2,forkptyrouter.c,1,1,100.0,1.0,100.0,1.0,1,0.05555555555555555,0.7092198581560284,1.0095035098875704,1.0
Riccardo Magliocchetti,!(__FreeBSD__) || !(__DragonFly__),1,1.099,1.099,0.0,1,forkptyrouter.c,2,1,100.0,1.0,100.0,1.0,3,0.16666666666666666,2.127659574468085,1.0095035098875704,1.0
Roberto@Netbsd,!(__OpenBSD__) && !(__NetBSD__),1,1.099,0.693,0.693,1,uwsgi.c,1,1,50.0,1.0,50.0,1.0,1,0.0017391304347826088,0.0010456641535871508,0.9075700315670454,1.0
Roberto@Sirius,!(__OpenBSD__) && !(__NetBSD__),0,1.099,0.693,0.693,1,uwsgi.c,1,0,50.0,1.0,50.0,1.0,2,0.0034782608695652175,0.0020913283071743016,0.9075700315670454,1.0
Riccardo Magliocchetti,!(__ia64__),1,0.693,0.693,0.0,1,uwsgi.c,1,1,100.0,1.0,100.0,1.0,3,0.0052173913043478265,0.0031369924607614528,0.9821873255543234,1.0
Roberto@Sirius,!(__linux__) && !(__sun__),1,1.099,1.099,0.0,1,wsgi_handlers.c,2,1,100.0,1.0,100.0,1.0,2,0.025,0.12091898428053205,1.0095035098875704,1.0
Rosen Penev,(!(__UCLIBC__) && (__GLIBC__)) || ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO),1,0.693,0.693,0.0,1,uwsgi.c,1,1,100.0,1.0,100.0,1.0,4,0.006956521739130435,0.004182656614348603,0.9821873255543234,1.0
Natanael Copa,((__GLIBC__) && !(__UCLIBC__))|| ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO),1,1.099,0.693,0.693,1,uwsgi.c,1,1,50.0,1.0,50.0,1.0,5,0.008695652173913044,0.005228320767935755,0.9075700315670454,1.0
Riccardo Magliocchetti,((__GLIBC__) && !(__UCLIBC__))|| ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO),0,1.099,0.693,0.693,1,uwsgi.c,1,0,50.0,1.0,50.0,1.0,6,0.010434782608695653,0.0062739849215229055,0.9075700315670454,1.0
Dmitry Moiseev,((__linux__) && !(__UCLIBC__))|| ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO),0,1.099,0.693,0.693,1,uwsgi.c,1,0,50.0,1.0,50.0,1.0,7,0.01217391304347826,0.007319649075110056,0.9075700315670454,1.0
Natanael Copa,((__linux__) && !(__UCLIBC__))|| ((__APPLE__) && !(NO_EXECINFO)) || (UWSGI_HAS_EXECINFO),1,1.099,0.693,0.693,1,uwsgi.c,1,1,50.0,1.0,50.0,1.0,8,0.01391304347826087,0.008365313228697206,0.9075700315670454,1.0
Unbit,(CAP_LAST_CAP) && (PR_CAPBSET_READ) && (PR_CAPBSET_DROP),1,0.693,0.693,0.0,1,emperor.c,1,1,100.0,1.0,100.0,1.0,1,0.034482758620689655,0.4608294930875576,0.9821873255543234,1.0
Roberto@Sirius,(HAVE_IPV6) && (HAVE_INET_PTON),1,1.099,0.693,0.693,1,mod_uwsgi.c,1,1,50.0,1.0,50.0,1.0,1,0.0625,0.7352941176470589,0.9075700315670454,1.0
Unbit,(HAVE_IPV6) && (HAVE_INET_PTON),0,1.099,0.693,0.693,1,mod_uwsgi.c,1,0,50.0,1.0,50.0,1.0,2,0.125,1.4705882352941178,0.9075700315670454,1.0
Unbit,(MS_REC) && (MS_PRIVATE),1,1.099,1.099,0.0,2,linux_ns.c,1,1,100.0,1.0,100.0,1.0,1,0.2,6.666666666666667,1.0095035098875704,1.0
Unbit,(MS_REC) && (MS_PRIVATE),1,1.099,1.099,0.0,2,utils.c,1,1,100.0,1.0,100.0,1.0,2,0.009216589861751152,0.01140055862737274,1.0095035098875704,1.0
