desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Thomas E. Dickey,TekPrsTbl.c,1,True,__STDC__,7,"ac3ede58758f9b36fdc45cc2a36f8be309e5357a  -  1993-11-11 21:03:56-05:00, 64440b66bc527a55cf46a71df322e8796fdd5f8e  -  1996-02-02 19:29:22-05:00, 94d8bfe2bcae63908552b3794ea5743f7c496edc  -  1998-10-12 10:14:37-04:00, 6be8a622c35c453c660497974454007ec5600320  -  1998-10-25 18:31:39-05:00, 08b2b74033ba1e73ed7cec1a02f8d60b8839b92e  -  2001-03-11 01:43:01-05:00, 5db49cbf74adcf0fb072e4d31ef7e04fd5e68af2  -  2006-02-13 01:15:00-05:00, fc0813737afaaa86a54213068b3a732adb7769f1  -  2018-02-04 17:29:13+00:00",5.539,1.0,Misto,Autor
Thomas E. Dickey,Tekproc.c,19,True,(EAGAIN) && (EWOULDBLOCK),122,"ac3ede58758f9b36fdc45cc2a36f8be309e5357a  -  1993-11-11 21:03:56-05:00, 64440b66bc527a55cf46a71df322e8796fdd5f8e  -  1996-02-02 19:29:22-05:00, bbc85ba0dc0cae96cf02b46b3fcdadd884892612  -  1996-05-13 19:15:18-04:00, 5b1d5388811009e7b639017495421cdba6b1edd5  -  1996-08-23 16:47:18-04:00, 6f7cf350deb709cada4c89fbdc14c0aa42d94f98  -  1996-12-10 03:18:00-05:00, 51e685e3edbc918466b96b55e6beaef25f0b7e45  -  1997-01-26 16:17:56-05:00, 33450c78164d523ead3d8187cdf4964edcfdaaa2  -  1997-05-26 20:23:43-04:00, 6493994b490fc6d29036b81b116ce45c5838addf  -  1997-06-10 19:10:00-04:00, 8ded86b123e7de500b60a16cdaa8f51e80fbcaaa  -  1997-08-22 22:16:47-04:00, 6b086e81dcc8f7030a6e2049f3a8ebbf458273f1  -  1997-08-27 10:48:32-04:00, a872cec152ad6b010089b0e15902875c74e2919e  -  1997-09-16 01:03:39-04:00, 340a30579eda1c95047cde929ddab4bd629cb382  -  1997-09-19 17:58:52-04:00, 59b8ac618997b2dabeffaf4f5c5058d7e3a63049  -  1997-11-28 20:44:58-05:00, 0b730f9340a1f1505db4a7070824f9b17b506807  -  1997-12-06 15:24:45-05:00, f127170aaa7a61956414a252f5f353221baba653  -  1998-03-16 23:42:45-05:00, 9aed6c28750d81e1bd455d515a39f3985c1e57cc  -  1998-03-28 12:19:24-05:00, 2ea27de28e8deced84d236cf0b8ff50216c8a5a5  -  1998-04-25 19:12:30-04:00, f5c2544d13ff294fd26cf545cf7fa42ae105dd53  -  1998-04-28 19:01:01-04:00, 6cc0954036ea677db6a36f3743809011079f85c2  -  1998-05-09 00:34:13-04:00, ffeaa96e64e4d7641678e17bf135068544154129  -  1998-05-26 10:10:03-04:00, 9a65b577b2277ef2ced768d059e3a9ac90033c60  -  1998-06-05 20:23:53-04:00, d3f4d7000aedb198772dcc8c0b5bfca1bffb5fa8  -  1998-07-15 00:19:28-04:00, 2a4a4def71a62bb8198f3ee57bd1f868265e41fe  -  1998-08-20 21:39:43-04:00, 94d8bfe2bcae63908552b3794ea5743f7c496edc  -  1998-10-12 10:14:37-04:00, 6be8a622c35c453c660497974454007ec5600320  -  1998-10-25 18:31:39-05:00, 6db6d08def0525b33c7cefb5c50511a4ea379734  -  1999-03-27 23:15:56-05:00, 12dbd3fe76f57d8acc7cc49a6e98850156d5462a  -  1999-03-29 18:36:18-05:00, f22f6de53d3017b096a1f7e7be1f2c4d820d9ae7  -  1999-04-26 02:06:47-04:00, 444cb36a9e4f1469fbee93156df48aedc2b3ec4f  -  1999-05-04 01:28:04-04:00, 4db439c0788fada094f5049cf5298b70195bac8a  -  1999-05-10 09:51:43-04:00, 540fe663aa811feaa92580670a4f9f1df6f9ff4f  -  1999-05-16 19:55:44-04:00, 463091940c96a8a925693e6e604b389536668a99  -  1999-07-10 18:08:31-04:00, 86b02c4da4fb9fab71766045e60743bf43ed4efe  -  1999-07-12 17:43:45-04:00, e8a44480db898af9df7758cae7095d0c3428d310  -  1999-08-16 01:27:21-04:00, 7e8221446c82fb6b8880b43311eee5257fd03ae0  -  1999-08-22 18:20:13-04:00, fb5c61eea7d4fd8511b352e17fdde0d86bf41fb0  -  2000-02-01 01:34:27-05:00, 401681f981550daaf0b65f7db5599c94580795d2  -  2000-02-12 11:47:41-05:00, bd87d48f51cfbe6983fe4e0f9f446a0725c7c190  -  2000-03-03 10:35:00-05:00, 148d9034e9b910f194a21471a23b5b43951852f2  -  2000-04-11 23:44:44-04:00, 31361495ac10760d8d8fb88385047d89e9182896  -  2000-12-07 10:13:49-05:00, 14197bad52fb4436364d2bd7a71018b8deaef1d0  -  2000-12-30 19:15:48-05:00, 08b2b74033ba1e73ed7cec1a02f8d60b8839b92e  -  2001-03-11 01:43:01-05:00, e14728c493ea09bd39717fe68fe56a0614f050db  -  2001-04-12 01:02:51-04:00, aa4b915d7be4c0450d8e8d93726315d5234613b0  -  2002-01-06 01:34:24-05:00, 94177d75519b339073eb5e754df6da71427f9198  -  2002-03-26 01:46:43-05:00, edad4af368a5ffa51355edb8241c0912b06ba47e  -  2002-08-24 18:54:39-04:00, 4743fdd17c56b28110517c102f7c32a1f1fe78bc  -  2002-09-30 00:47:17-04:00, 3b22450b3972c140db6f12a3e36f28193ae44796  -  2002-10-05 17:57:14-04:00, 262d91079b5c05e79f8462fc67194a653efb17af  -  2003-02-25 23:45:00-05:00, ce3e6dfde59c6fd419450db81fbbf5d16b35485c  -  2003-03-09 23:39:15-05:00, 99231d670b996455723007f14be80d2671ba97c3  -  2003-03-23 02:01:41-05:00, aebf0551bd4c92c1f4b3429c1d7774f9615b759b  -  2003-05-21 22:59:14-04:00, 011276b2fe3f044678ef6f6aca1cd709e77a3dd1  -  2003-10-13 00:58:23-04:00, 1fdb4d227a43a95ab17cba4f40f17de871a3b184  -  2003-10-27 01:10:31-05:00, c65f0eea4c2387dc435671bcc5ef138882139067  -  2004-04-18 20:49:43-04:00, 24cf33f967f33a87595ca6e97e40780b5a0b72dd  -  2004-05-26 01:19:55-04:00, fcb7928ba92b37cb9e8f11e6eca645681310c4e4  -  2004-06-06 22:15:26-04:00, 397640c8657191140cea169903b94674c6c9db71  -  2004-12-01 01:27:49-05:00, 14778668705903b704190b1a55418f8040b336ea  -  2005-01-14 01:50:03-05:00, 4abcad01ed9cf9f1a91b94cb8d552e2d43ac6a44  -  2005-04-22 00:21:54-04:00, 7200a6bbd7d003bcc328f737f660d0ad32b29769  -  2005-07-05 00:21:46-04:00, a1896ddaea80fef1aed7cc820bd64f340d3c6901  -  2005-07-07 00:46:15-04:00, cf6d680f07190c1a9c72ea9ab6028220c21bc7ef  -  2005-08-05 01:25:40-04:00, ed0f44832cda8abaaac863d2112e78d37ed3c205  -  2005-11-03 13:17:28-05:00, 5db49cbf74adcf0fb072e4d31ef7e04fd5e68af2  -  2006-02-13 01:15:00-05:00, c2b9b5b813d1bcb34c7e3fdb6ea1a34dfbcbae5d  -  2006-08-03 23:58:30-04:00, 4a6445502c278a4a95d90676467060bd14af52e7  -  2006-09-05 00:22:17-04:00, 6b82b1b658103bd8888d471cca90ba62e87560a7  -  2006-09-10 23:11:14-04:00, baae68aea7fd5ba0318bbc8ced9381a9f6a2477d  -  2006-10-01 23:48:09-04:00, 53b39fa980a1dc57145ab49a1fa68f7b13e37c61  -  2006-10-17 22:36:34-04:00, 0d9d1eb8d790423f05a033c0880555d62fe8b567  -  2006-12-01 01:10:03-05:00, 54a56bb394941724ecdf5601e41a22fda9ff013e  -  2007-01-19 00:48:50-05:00, a0a9478bfefef91f765a5f686ee58f328d5f888e  -  2007-02-11 21:47:22-05:00, 264fcaf560c53fa2886d9fd81fc10da75851e7d7  -  2007-03-24 15:26:47-04:00, e96b0117821dc775b5f19bce81fc4b664366f3bb  -  2007-05-28 21:07:12-04:00, 7ad59d8d925c4dd98a4bea530e3f13e331580ef2  -  2007-07-10 20:50:34-04:00, 09933352e8502216d300a1b37c4a36c9824b8458  -  2008-01-26 19:24:38-05:00, a940857c6a80f76d6ac30cc3da79e9ff400cafda  -  2008-02-24 23:46:20-05:00, 60a358252809272697f75cf83cdbce39be4460b2  -  2008-07-27 15:54:43-04:00, 86f7e245c6684b590d97748ba6c03606a86c672a  -  2009-01-26 00:38:35-05:00, 9a3e6be4effd2788abe8fa082b5fa46ecb52f10c  -  2009-02-13 21:15:35-05:00, cb8f9ccf7b1398776df468dc9a4c698a0c04e7a6  -  2009-03-28 17:54:27-04:00, db2c56a3d21367ba920a201c363ce9c80a89a109  -  2009-04-11 18:12:00-04:00, f7162f85f2d5fee1938e7450fdfce720bcaff354  -  2009-06-01 23:08:53-04:00, 887f541295794bb8854d449bfb0c5f57b0a2dfe2  -  2009-07-19 23:09:34-04:00, ece81dc37c3ef0f4d4ccc73706886c14c6c88d3d  -  2009-08-09 13:59:06-04:00, 26445a531fa49442132bb68448194fdad311e838  -  2009-08-09 21:04:09-04:00, 46d91fe21b892eca4c8b7934f8efee6e1f7c28d5  -  2009-10-12 00:53:03-04:00, 64c858817c926d1a012de161a4410ded6f6c0108  -  2009-11-28 13:36:02-05:00, d5f0b7a3193a5a4aabd3486ae48f8cac4635bd3d  -  2009-11-30 01:18:21-05:00, 842fd0375676d209a60827775756f44ce7ff106a  -  2009-12-10 09:24:04-05:00, ed49a03c5c433fc8e2b100f83bc85c4b329a8078  -  2010-04-18 18:30:18-04:00, 9cec827052f681fe464898d0102242463c1ca6e1  -  2010-05-21 23:30:07-04:00, 0c2817cff681e9d78ff22ad2628833716b9671af  -  2010-06-05 15:32:00-04:00, 01d4d668f1ae61ccdd40d9badeddb8a9c6884723  -  2010-06-13 18:28:22-04:00, fbb76c708b845543640161c8eb9b1afbd26a3acb  -  2010-06-21 00:40:58-04:00, d7574a5012d396eb4b5660f835dd9c87ae246abe  -  2010-10-13 23:04:01-04:00, bde0dc28765f949fb6628c981d7a6876e1160cb5  -  2010-10-14 09:27:25-04:00, 1e778d0f9928ad0b0de55e497eb052a8bc6cffd8  -  2011-01-20 11:50:26-05:00, 0e65f33afe895dd3f11b905234cc40500574d502  -  2011-02-14 00:22:11-05:00, 622807fcb97c766b5ab02a0d02529072b325d6b8  -  2011-02-20 01:30:19-05:00, d549f18189266717fdc4d5f53913866457f2522f  -  2011-07-11 00:44:36-04:00, bbc6740ff231609de9593f19247e455916c57ee6  -  2011-09-04 18:50:30-04:00, d28b7ecbfd880b1efce6c8e5b8f0fb03f9a0e846  -  2011-12-29 01:00:14-05:00, 9d68ba480377411461519d56cf91b8a34b135caf  -  2012-09-10 00:37:21-04:00, 278857885383001e95011364a284e16176eb16ce  -  2012-10-29 23:55:09-04:00, f4d9b1271ccfcb8489106e9e84681538ea8a6d70  -  2012-11-19 10:36:06-05:00, e0f5b12342d3e450f819ec9aad16408218296873  -  2013-11-27 09:10:11-05:00, 300ab566c0c70c57fd364c6050e7deba5068e54d  -  2014-04-12 00:57:10-04:00, 1c4fb38d815735c46c78cf015335258d1ea7289b  -  2014-07-12 23:20:39-04:00, 29248df94e3c3bbaa51a6efec0065558b21fed6b  -  2016-05-25 00:54:25-04:00, 6a055e4a79f133973555e183d90c83fb3ea2d69c  -  2017-05-28 18:55:24+00:00, a1385335bc7ffc9e2d9c3a9d0bbbb172f13e05de  -  2017-05-29 23:19:51+00:00, fc0813737afaaa86a54213068b3a732adb7769f1  -  2018-02-04 17:29:13+00:00, 7a67cc212f3d6ecea4af497e17f57bd3d394d82a  -  2018-06-23 00:19:53+00:00, 5519016d9cc61e4a2493c0ef4ca51d8df50785bf  -  2018-06-25 22:01:44+00:00, f5ca22fbdaca890088dce579eaa6735314be519d  -  2019-03-21 00:32:54+00:00, a861a826534c7e0f65e39d6a84fcd7066c2f4f14  -  2019-06-11 20:45:28+00:00, 672738cd0d62f9b7e34316f3cb3137d59759b553  -  2019-07-22 20:03:12+00:00, e66e4b5c4d22c3772b5c8cd2aba74047d5c38031  -  2019-11-14 01:21:29+00:00, e6b20c59de3cadee9f43796a60f6be31a878cc05  -  2020-06-03 01:07:40+00:00, bb8c5b08dc82fc6bcd160f94a71d72eba34a3da4  -  2020-09-16 22:53:13+00:00",24.399,1.0,Misto,Autor
Thomas E. Dickey,Tekproc.c,,,ALLOWLOGGING,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,CRAY,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,EAGAIN,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,HAS_WAITPID,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,X_NOT_POSIX,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,X_NOT_STDC_ENV,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,lint,,,,,,Autor
Thomas E. Dickey,Tekproc.c,,,AMOEBA,,,,,,Autor
