commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,110,True,(EAGAIN) && (EWOULDBLOCK),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,ALLOWLOGGING,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,CRAY,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,EAGAIN,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,HAS_WAITPID,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,X_NOT_POSIX,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,X_NOT_STDC_ENV,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,lint,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,ALLOWLOGFILEONOFF,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,DEBUG,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,ENABLE_PRINT,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,!(SVR4) && !(SYSV386),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,((sgi) && OSMAJORVERSION < 4) || ((umips) &&  (SYSTYPE_SYSV)),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(CRAY) && (OSMAJORVERSION > 5),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(CRAY) && (OSMAJORVERSION >= 6),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(CRAY) && (TCSETCTTY),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SCO) || (ISC),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SVR4) || (SYSV),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SVR4) || (SYSV386),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SYSV),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SYSV) && !(SVR4),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(SYSV) && (SYSV386),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(USE_SYSV_SIGNALS) && !(SIGTSTP),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(USE_SYSV_SIGNALS) && ((CRAY) || !(SIGTSTP)),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(USE_SYSV_TERMIO) && !(SVR4),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(UTMP) && (USE_SYSV_UTMP),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(_POSIX_SOURCE) || (SVR4) || (__convex__),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(macII) && !(__STDC__)  /* stdlib.h fails to define these */,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(macII) || (ATT) || (CRAY),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(sgi) && OSMAJORVERSION >= 4,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(sony) && (bsd43) && !(KANJI),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,(umips) || (CRAY),Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,AIXV3,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,ATT,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,BAUD_0,Misto,Autor,100.0,Major
ac3ede58758f9b36fdc45cc2a36f8be309e5357a,1993-11-01,Thomas E. Dickey,TekPrsTbl.c,,,FIONREAD,Misto,Autor,100.0,Major
