desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Thomas E. Dickey,!((linux) && (!(__GLIBC__) || (__GLIBC__ < 2))) && !(SVR4),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,2,0.0017406440382941688,0.0006953039173422703,1.0095035098875704,1.0
Thomas E. Dickey,!((linux) && __GLIBC__ < 2) && !(SVR4),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,4,0.0034812880765883376,0.0013906078346845405,1.0095035098875704,1.0
Thomas E. Dickey,!(DGUX)			/* Intel DG/ux uses termios.h */,1,1.099,1.099,0.0,1,screen.c,2,1,100.0,1.0,100.0,1.0,2,0.024096385542168676,0.1360544217687075,1.0095035098875704,1.0
Thomas E. Dickey,!(DGUX)	/* Intel DG/ux uses termios.h */,1,1.099,1.099,0.0,1,screen.c,2,1,100.0,1.0,100.0,1.0,4,0.04819277108433735,0.272108843537415,1.0095035098875704,1.0
Thomas E. Dickey,!(DISABLE_SETGID),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,5,0.004351610095735422,0.0017382597933556757,0.9821873255543234,1.0
Thomas E. Dickey,!(DISABLE_SETUID),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,6,0.005221932114882507,0.002085911752026811,0.9821873255543234,1.0
Thomas E. Dickey,!(DISABLE_SETUID) || !(DISABLE_SETGID),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,7,0.006092254134029591,0.002433563710697946,0.9821873255543234,1.0
Thomas E. Dickey,!(HAVE_CONFIG_H) && (_X_DEPRECATED),1,0.693,0.693,0.0,1,input.c,1,1,100.0,1.0,100.0,1.0,1,0.02127659574468085,0.2053388090349076,0.9821873255543234,1.0
Thomas E. Dickey,!(HAVE_PUTENV) || !(HAVE_UNSETENV),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,1,0.00847457627118644,0.029036004645760744,0.9821873255543234,1.0
Thomas E. Dickey,!(MINIX) && !(WIN32),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,9,0.007832898172323759,0.003128867628040216,1.0095035098875704,1.0
Thomas E. Dickey,!(MINIX) && !(WIN32) && !(Lynx),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,11,0.009573542210617928,0.0038241715453824865,1.0095035098875704,1.0
Thomas E. Dickey,!(MINIX) && !(WIN32) && !(Lynx) && !(__GNU__),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,13,0.011314186248912098,0.004519475462724757,1.0095035098875704,1.0
Thomas E. Dickey,!(NO_ACTIVE_ICON) && !OPT_TOOLBAR,1,0.693,0.693,0.0,1,menu.c,1,1,100.0,1.0,100.0,1.0,1,0.017241379310344827,0.12836970474967907,0.9821873255543234,1.0
Thomas E. Dickey,!(NO_ACTIVE_ICON) || (HANDLE_STRUCT_NOTIFY),1,1.099,1.099,0.0,1,charproc.c,2,1,100.0,1.0,100.0,1.0,2,0.013157894736842105,0.054914881933003847,1.0095035098875704,1.0
Thomas E. Dickey,!(NO_TERMCAP_H),1,1.609,1.609,0.0,1,resize.c,4,1,100.0,1.0,100.0,1.0,4,0.015625,0.032693093583980384,1.0439178321606852,1.0
Thomas E. Dickey,!(SIGCONT),1,1.099,1.099,0.0,1,menu.c,2,1,100.0,1.0,100.0,1.0,3,0.05172413793103448,0.3851091142490372,1.0095035098875704,1.0
Thomas E. Dickey,!(SIGCONT) || (AMOEBA),1,1.609,1.609,0.0,1,menu.c,4,1,100.0,1.0,100.0,1.0,7,0.1206896551724138,0.8985879332477535,1.0439178321606852,1.0
Thomas E. Dickey,!(SIGTSTP),1,1.099,1.099,0.0,1,menu.c,2,1,100.0,1.0,100.0,1.0,9,0.15517241379310345,1.1553273427471116,1.0095035098875704,1.0
Thomas E. Dickey,!(SIGTSTP) || (AMOEBA),1,1.609,1.609,0.0,1,menu.c,4,1,100.0,1.0,100.0,1.0,13,0.22413793103448276,1.668806161745828,1.0439178321606852,1.0
Thomas E. Dickey,!(SVR4) && !((SYSV) && (i386)),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,14,0.012184508268059183,0.004867127421395892,0.9821873255543234,1.0
Thomas E. Dickey,!(SVR4) && !(SYSV386),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,16,0.01392515230635335,0.005562431338738162,1.0095035098875704,1.0
Thomas E. Dickey,!(SVR4) || (SCO325),1,1.609,1.609,0.0,1,main.c,4,1,100.0,1.0,100.0,1.0,20,0.017406440382941687,0.006953039173422703,1.0439178321606852,1.0
Thomas E. Dickey,!(SYSV) && !(i386),1,1.609,1.609,0.0,1,resize.c,4,1,100.0,1.0,100.0,1.0,8,0.03125,0.06538618716796077,1.0439178321606852,1.0
Thomas E. Dickey,!(TIOCSWINSZ),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,22,0.019147084421235857,0.007648343090764973,1.0095035098875704,1.0
Thomas E. Dickey,!(TIOCSWINSZ) || (__SCO__) || (__UNIXWARE__),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,23,0.020017406440382943,0.007995995049436109,0.9821873255543234,1.0
Thomas E. Dickey,!(USE_ANY_SYSV_TERMIO) && !(USE_POSIX_TERMIOS),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,25,0.02175805047867711,0.00869129896677838,1.0095035098875704,1.0
Thomas E. Dickey,!(USE_OPENPTY),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,26,0.022628372497824196,0.009038950925449514,0.9821873255543234,1.0
Thomas E. Dickey,!(USE_SYSV_PGRP),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,27,0.02349869451697128,0.009386602884120649,0.9821873255543234,1.0
Thomas E. Dickey,!(USE_SYSV_TERMIO) && !(USE_POSIX_TERMIOS),1,1.609,1.609,0.0,1,main.c,4,1,100.0,1.0,100.0,1.0,31,0.026979982593559618,0.01077721071880519,1.0439178321606852,1.0
Thomas E. Dickey,!(USE_TERMCAP) && !(USE_TERMINFO),1,1.386,1.386,0.0,1,resize.c,3,1,100.0,1.0,100.0,1.0,11,0.04296875,0.08990600735594606,1.028884651108647,1.0
Thomas E. Dickey,!(USE_TERMINFO && (HAVE_TIGETSTR)),1,1.792,1.792,0.0,1,xtermcap.c,5,1,100.0,1.0,100.0,1.0,5,0.19230769230769232,3.3783783783783785,1.056200835441894,1.0
Thomas E. Dickey,!(USE_USG_PTYS) && (HAVE_POSIX_OPENPT),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,32,0.0278503046127067,0.011124862677476324,0.9821873255543234,1.0
Thomas E. Dickey,!(USE_UTMP_SETGID),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,34,0.02959094865100087,0.011820166594818595,1.0095035098875704,1.0
Thomas E. Dickey,!(USE_UTMP_SETGID) && (!(USE_UTEMPTER) || !(DISABLE_SETUID)),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,35,0.030461270670147953,0.01216781855348973,0.9821873255543234,1.0
Thomas E. Dickey,!(USG),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,13,0.05078125,0.10625255414793625,1.0095035098875704,1.0
Thomas E. Dickey,!(USG) && !(AMOEBA) && !(MINIX) && !(SCO) && !(__EMX__),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,15,0.05859375,0.12259910093992644,1.0095035098875704,1.0
Thomas E. Dickey,!(USG) && !(AMOEBA) && !(MINIX) && !(__EMX__),1,1.792,1.792,0.0,1,resize.c,5,1,100.0,1.0,100.0,1.0,20,0.078125,0.1634654679199019,1.056200835441894,1.0
Thomas E. Dickey,!(USG) && !(AMOEBA) && !(MINIX) && !(__UNIXOS2__),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,22,0.0859375,0.17981201471189212,1.0095035098875704,1.0
Thomas E. Dickey,!(USG) && !(MINIX3),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,24,0.09375,0.1961585615038823,1.0095035098875704,1.0
Thomas E. Dickey,!(USG) && !(__UNIXOS2__),1,1.386,1.386,0.0,1,resize.c,3,1,100.0,1.0,100.0,1.0,27,0.10546875,0.2206783816918676,1.028884651108647,1.0
Thomas E. Dickey,!(USG) && !(__minix),1,0.693,0.693,0.0,1,resize.c,1,1,100.0,1.0,100.0,1.0,28,0.109375,0.22885165508786268,0.9821873255543234,1.0
Thomas E. Dickey,!(UTMP_FILENAME),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,36,0.031331592689295036,0.012515470512160865,0.9821873255543234,1.0
Thomas E. Dickey,!(WTMP_FILENAME),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,37,0.03220191470844212,0.012863122470832001,0.9821873255543234,1.0
Thomas E. Dickey,!(__NetBSD__) && !((sun) && !(SVR4)),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,30,0.1171875,0.2451982018798529,1.0095035098875704,1.0
Thomas E. Dickey,!(__NetBSD__) && !((sun) && !(SVR4)) && !(SCO325),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,32,0.125,0.2615447486718431,1.0095035098875704,1.0
Thomas E. Dickey,!(defined(VMS) || defined(MINIX) || defined(WIN32) || defined(Lynx) || defined(__GNU__) || defined(__MVS__)),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,39,0.033942558746736295,0.01355842638817427,1.0095035098875704,1.0
Thomas E. Dickey,!(defined(VMS) || defined(WIN32) || defined(Lynx) || defined(__GNU__) || defined(__MVS__)),1,0.693,0.693,0.0,1,main.c,1,1,100.0,1.0,100.0,1.0,40,0.034812880765883375,0.013906078346845405,0.9821873255543234,1.0
Thomas E. Dickey,!(lint) && 0,1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,42,0.03655352480417755,0.014601382264187676,1.0095035098875704,1.0
Thomas E. Dickey,!(linux) && !(SVR4),1,1.609,1.609,0.0,1,main.c,4,1,100.0,1.0,100.0,1.0,46,0.04003481288076589,0.015991990098872217,1.0439178321606852,1.0
Thomas E. Dickey,!(linux)||!(__alpha__),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,48,0.04177545691906005,0.016687294016214486,1.0095035098875704,1.0
Thomas E. Dickey,!(sun) || (SVR4),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,34,0.1328125,0.2778912954638333,1.0095035098875704,1.0
Thomas E. Dickey,!OPT_DOUBLE_BUFFER,1,1.099,1.099,0.0,1,charproc.c,2,1,100.0,1.0,100.0,1.0,4,0.02631578947368421,0.10982976386600769,1.0095035098875704,1.0
Thomas E. Dickey,!defined(HAVE_PUTENV) && defined(HAVE_UNSETENV),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,2,0.01694915254237288,0.05807200929152149,0.9821873255543234,1.0
Thomas E. Dickey,!defined(MINIX) && !defined(WIN32) && !defined(Lynx) && !defined(__GNU__),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,50,0.04351610095735422,0.01738259793355676,1.0095035098875704,1.0
Thomas E. Dickey,!defined(MINIX) && !defined(WIN32) && !defined(Lynx) && !defined(__GNU__) && !defined(__MVS__),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,52,0.04525674499564839,0.01807790185089903,1.0095035098875704,1.0
Thomas E. Dickey,!defined(USE_SYSV_PGRP),1,1.099,1.099,0.0,1,main.c,2,1,100.0,1.0,100.0,1.0,54,0.04699738903394256,0.018773205768241298,1.0095035098875704,1.0
Thomas E. Dickey,!defined(USE_TERMCAP),1,1.099,1.099,0.0,1,resize.c,2,1,100.0,1.0,100.0,1.0,36,0.140625,0.29423784225582345,1.0095035098875704,1.0
Thomas E. Dickey,!defined(__CYGWIN__),1,1.099,1.099,0.0,1,screen.c,2,1,100.0,1.0,100.0,1.0,6,0.07228915662650602,0.40816326530612246,1.0095035098875704,1.0
